id	code	country	indicator	citations	fsize	links
626	TLS	east timor	1.42665855143031E+01	287	1825108	4556
882	WSM	samoa		209	1577359	4175
392	JPN	japan	2.09395348837209E+01	3366	16441329	44822
31	AZE	azerbaijan	1.47504621072089E+02	2002	9390161	24439
408	PRK	north korea	1.29223880597015E+01	2085	8090788	17766
262	DJI	djibouti	6.33333333333333E+00	155	1819059	5571
470	MLT	malta	1.06732673267327E+02	685	4545131	14276
624	GNB	guinea-bissau	1.09375000000000E+00	286	1784413	5321
348	HUN	hungary	9.30500000000000E+01	1099	6609895	16810
196	CYP	cyprus	2.35897435897436E+01	860	4993330	13832
52	BRB	barbados	1.26250000000000E+02	342	2542869	7487
64	BTN	bhutan	4.33333333333333E-01	552	3132760	8245
398	KAZ	kazakhstan	3.28515928515929E+01	760	5030223	15433
440	LTU	lithuania	1.52827763496144E+01	505	2661259	8709
178	COG	republic of the congo	2.07207207207207E-02	141	1469208	3847
583	FSM	micronesia		159	1195659	3795
20	AND	andorra		394	2196134	6844
516	NAM	namibia	4.67532467532468E+00	704	4735890	11635
646	RWA	rwanda	1.57894736842105E+00	967	3336595	8388
32	ARG	argentina	1.29383561643836E+01	990	5511252	15099
288	GHA	ghana	3.24092409240924E+00	947	8538852	21475
688	SRB	serbia	4.90186749137623E+01	1151	9300724	29834
36	AUS	australia	4.58943089430894E+00	2755	11101694	28276
192	CUB	cuba	1.16054564533054E+01	1614	7528766	21710
894	ZMB	zambia	1.96009975062344E+00	402	2458163	5416
417	KGZ	kyrgyzstan	1.63641937461680E+01	533	3545032	10445
320	GTM	guatemala	3.04395604395604E+00	1322	4848474	13327
56	BEL	belgium	5.18000000000000E+01	1488	10269267	29189
332	HTI	haiti	9.22367409684858E+00	1113	5020928	12590
854	BFA	burkina faso	6.54400000000000E+00	259	1527119	4376
430	LBR	liberia	6.54000000000000E-02	365	1718839	3951
384	CIV	ivory coast	2.01587714731910E+00	262	2167518	5976
620	PRT	portugal	2.22710526315789E+01	647	4092352	13893
208	DNK	denmark	1.10000000000000E+01	2063	11934319	37996
608	PHL	philippines	1.70271398747390E+01	2188	15381963	47504
686	SEN	senegal	8.60852713178295E+00	623	2955926	7496
498	MDA	moldova	1.06500000000000E+02	644	2743879	7589
180	COD	democratic republic of the congo	7.59555555555556E-02	909	5917790	13487
428	LVA	latvia	2.49701314217443E+00	794	5572986	17451
191	HRV	croatia	1.66737400530504E+00	1843	9363305	26635
70	BIH	bosnia and herzegovina	9.26760563380282E-01	1276	9077454	26947
144	LKA	sri lanka	2.45265151515152E+01	1869	11872045	31454
780	TTO	trinidad and tobago	6.03125000000000E+00	216	3222597	9394
100	BGR	bulgaria	2.91380952380952E+01	1797	9396414	26534
388	JAM	jamaica	9.86814121650362E+00	363	3393538	9123
8	ALB	albania	4.87360594795539E+00	1535	8302985	23141
24	AGO	angola	4.76891891891892E-01	727	4117112	11212
422	LBN	lebanon	2.72916666666667E+01	2103	10491745	28502
458	MYS	malaysia	1.93103448275862E+00	1583	8991892	26779
508	MOZ	mozambique	8.81555333998006E-01	510	3320356	8927
764	THA	thailand	2.55278396436526E+01	1742	10201818	25955
300	GRC	greece	1.63293103448276E+01	3233	12349644	35028
558	NIC	nicaragua	9.89116517285531E-01	723	3757972	9785
562	NER	niger	2.81028571428571E+01	711	3238542	8754
124	CAN	canada	1.48070175438597E+00	3417	14180797	41982
4	AFG	afghanistan	4.30116648992577E+01	3010	12811496	34286
634	QAT	qatar	7.92857142857143E+02	325	2200454	5911
585	PLW	palau		120	1516509	4406
226	GNQ	equatorial guinea	6.69230769230769E-02	167	1412177	3962
729	SDN	sudan	6.73250000000000E+02	748	5011562	13750
