id	code	country	indicator	citations	fsize	links
626	TLS	east timor	8.21500000000000E+00	287	1825108	4556
882	WSM	samoa		209	1577359	4175
392	JPN	japan	4.30000000000000E+02	3366	16441329	44822
31	AZE	azerbaijan	8.11500000000000E+00	2002	9390161	24439
408	PRK	north korea	6.70000000000000E+01	2085	8090788	17766
262	DJI	djibouti	3.00000000000000E-01	155	1819059	5571
470	MLT	malta	5.05000000000000E-02	685	4545131	14276
624	GNB	guinea-bissau	1.60000000000000E+01	286	1784413	5321
348	HUN	hungary	6.00000000000000E+00	1099	6609895	16810
196	CYP	cyprus	7.80000000000000E-01	860	4993330	13832
52	BRB	barbados	8.00000000000000E-02	342	2542869	7487
64	BTN	bhutan	7.80000000000000E+01	552	3132760	8245
398	KAZ	kazakhstan	6.43500000000000E+01	760	5030223	15433
440	LTU	lithuania	1.55600000000000E+01	505	2661259	8709
178	COG	republic of the congo	2.22000000000000E+02	141	1469208	3847
583	FSM	micronesia		159	1195659	3795
20	AND	andorra	3.15600000000000E-01	394	2196134	6844
516	NAM	namibia	6.16000000000000E+00	704	4735890	11635
646	RWA	rwanda	9.50000000000000E+00	967	3336595	8388
32	ARG	argentina	2.92000000000000E+02	990	5511252	15099
288	GHA	ghana	3.03000000000000E+01	947	8538852	21475
688	SRB	serbia	8.40700000000000E+00	1151	9300724	29834
36	AUS	australia	4.92000000000000E+02	2755	11101694	28276
192	CUB	cuba	3.81200000000000E+01	1614	7528766	21710
894	ZMB	zambia	8.02000000000000E+01	402	2458163	5416
417	KGZ	kyrgyzstan	4.89300000000000E+01	533	3545032	10445
320	GTM	guatemala	1.09200000000000E+02	1322	4848474	13327
56	BEL	belgium	1.20000000000000E+01	1488	10269267	29189
332	HTI	haiti	1.30100000000000E+01	1113	5020928	12590
854	BFA	burkina faso	1.25000000000000E+01	259	1527119	4376
430	LBR	liberia	2.00000000000000E+02	365	1718839	3951
384	CIV	ivory coast	7.68400000000000E+01	262	2167518	5976
620	PRT	portugal	3.80000000000000E+01	647	4092352	13893
208	DNK	denmark	6.00000000000000E+00	2063	11934319	37996
608	PHL	philippines	4.79000000000000E+02	2188	15381963	47504
686	SEN	senegal	2.58000000000000E+01	623	2955926	7496
498	MDA	moldova	1.00000000000000E+00	644	2743879	7589
180	COD	democratic republic of the congo	9.00000000000000E+02	909	5917790	13487
428	LVA	latvia	1.67400000000000E+01	794	5572986	17451
191	HRV	croatia	3.77000000000000E+01	1843	9363305	26635
70	BIH	bosnia and herzegovina	3.55000000000000E+01	1276	9077454	26947
144	LKA	sri lanka	5.28000000000000E+01	1869	11872045	31454
780	TTO	trinidad and tobago	3.84000000000000E+00	216	3222597	9394
100	BGR	bulgaria	2.10000000000000E+01	1797	9396414	26534
388	JAM	jamaica	9.40400000000000E+00	363	3393538	9123
8	ALB	albania	2.69000000000000E+01	1535	8302985	23141
24	AGO	angola	1.48000000000000E+02	727	4117112	11212
422	LBN	lebanon	4.80000000000000E+00	2103	10491745	28502
458	MYS	malaysia	5.80000000000000E+02	1583	8991892	26779
508	MOZ	mozambique	1.00300000000000E+02	510	3320356	8927
764	THA	thailand	2.24500000000000E+02	1742	10201818	25955
300	GRC	greece	5.80000000000000E+01	3233	12349644	35028
558	NIC	nicaragua	1.56200000000000E+02	723	3757972	9785
562	NER	niger	3.50000000000000E+00	711	3238542	8754
124	CAN	canada	2.85000000000000E+03	3417	14180797	41982
4	AFG	afghanistan	4.71500000000000E+01	3010	12811496	34286
634	QAT	qatar	5.60000000000000E-02	325	2200454	5911
585	PLW	palau		120	1516509	4406
226	GNQ	equatorial guinea	2.60000000000000E+01	167	1412177	3962
729	SDN	sudan	4.00000000000000E+00	748	5011562	13750
324	GIN	guinea	2.26000000000000E+02	225	1499153	3969
591	PAN	panama	1.36600000000000E+02	453	3567520	10326
524	NPL	nepal	1.98200000000000E+02	1983	12359198	31019
140	CAF	central african republic	1.41000000000000E+02	557	2733055	6687
442	LUX	luxembourg	1.00000000000000E+00	445	4297239	12666
716	ZWE	zimbabwe	1.22600000000000E+01	1994	7759641	18564
748	SWZ	swaziland	2.64000000000000E+00	174	1305466	3510
706	SOM	somalia	6.00000000000000E+00	2758	11573292	30219
798	TUV	tuvalu		925	3622703	8914
862	VEN	venezuela	8.05000000000000E+02	1002	5647358	14170
662	LCA	saint lucia		150	1856218	4866
96	BRN	brunei	8.50000000000000E+00	491	3348866	9852
364	IRN	iran	1.28500000000000E+02	5882	20529075	53463
784	ARE	united arab emirates	1.50000000000000E-01	556	3552603	8937
466	MLI	mali	6.00000000000000E+01	625	3401409	9256
682	SAU	saudi arabia	2.40000000000000E+00	1666	10453381	29624
659	KNA	saint kitts and nevis	2.40000000000000E-02	59	1396862	3739
756	CHE	switzerland	4.04000000000000E+01	900	7055535	23274
