id	code	country	indicator	citations	fsize	links
626	TLS	east timor	6.96145733851156E+03	287	1825108	4556
882	WSM	samoa		209	1577359	4175
392	JPN	japan	3.37682312422717E+03	3366	16441329	44822
31	AZE	azerbaijan	8.61757618112563E+02	2002	9390161	24439
408	PRK	north korea	2.69125158462500E+03	2085	8090788	17766
262	DJI	djibouti	3.43669380891066E+02	155	1819059	5571
470	MLT	malta	1.19279880200485E+02	685	4545131	14276
624	GNB	guinea-bissau	9.38826642726587E+03	286	1784413	5321
348	HUN	hungary	6.06434328872773E+02	1099	6609895	16810
196	CYP	cyprus	6.83511426032672E+02	860	4993330	13832
52	BRB	barbados	2.81052823878248E+02	342	2542869	7487
64	BTN	bhutan	1.03455547936393E+05	552	3132760	8245
398	KAZ	kazakhstan	3.77745589666149E+03	760	5030223	15433
440	LTU	lithuania	5.26086414088838E+03	505	2661259	8709
178	COG	republic of the congo	4.99142015346593E+04	141	1469208	3847
583	FSM	micronesia		159	1195659	3795
20	AND	andorra	3.98394304324775E+03	394	2196134	6844
516	NAM	namibia	2.67440623622909E+03	704	4735890	11635
646	RWA	rwanda	8.06689784980659E+02	967	3336595	8388
32	ARG	argentina	7.04527015546836E+03	990	5511252	15099
288	GHA	ghana	1.16967651843121E+03	947	8538852	21475
688	SRB	serbia	1.17348479899589E+03	1151	9300724	29834
36	AUS	australia	2.12717202855253E+04	2755	11101694	28276
192	CUB	cuba	3.38374359745026E+03	1614	7528766	21710
894	ZMB	zambia	5.51633440266765E+03	402	2458163	5416
417	KGZ	kyrgyzstan	8.55479404154137E+03	533	3545032	10445
320	GTM	guatemala	7.05964357980045E+03	1322	4848474	13327
56	BEL	belgium	1.07307487907564E+03	1488	10269267	29189
332	HTI	haiti	1.26096914735127E+03	1113	5020928	12590
854	BFA	burkina faso	7.38123344426245E+02	259	1527119	4376
430	LBR	liberia	4.65757833406341E+04	365	1718839	3951
384	CIV	ivory coast	3.78222458794475E+03	262	2167518	5976
620	PRT	portugal	3.63382691221774E+03	647	4092352	13893
208	DNK	denmark	1.06857928110260E+03	2063	11934319	37996
608	PHL	philippines	4.86820409633662E+03	2188	15381963	47504
686	SEN	senegal	1.82547858671165E+03	623	2955926	7496
498	MDA	moldova	2.81012070592480E+02	644	2743879	7589
180	COD	democratic republic of the congo	1.33306322510030E+04	909	5917790	13487
428	LVA	latvia	8.31740489017697E+03	794	5572986	17451
191	HRV	croatia	8.85870714571046E+03	1843	9363305	26635
70	BIH	bosnia and herzegovina	9.27060692704972E+03	1276	9077454	26947
144	LKA	sri lanka	2.57774740028316E+03	1869	11872045	31454
780	TTO	trinidad and tobago	2.86321227065409E+03	216	3222597	9394
100	BGR	bulgaria	2.89052547688509E+03	1797	9396414	26534
388	JAM	jamaica	3.46405946217935E+03	363	3393538	9123
8	ALB	albania	9.28429476980126E+03	1535	8302985	23141
24	AGO	angola	6.89282009394914E+03	727	4117112	11212
422	LBN	lebanon	1.07445286845339E+03	2103	10491745	28502
458	MYS	malaysia	1.95174709126588E+04	1583	8991892	26779
508	MOZ	mozambique	3.88251772332567E+03	510	3320356	8927
764	THA	thailand	3.35022113399479E+03	1742	10201818	25955
300	GRC	greece	5.25955495640962E+03	3233	12349644	35028
558	NIC	nicaragua	2.56887698631588E+04	723	3757972	9785
562	NER	niger	1.96284392530650E+02	711	3238542	8754
124	CAN	canada	8.10712118430874E+04	3417	14180797	41982
4	AFG	afghanistan	1.54328695704203E+03	3010	12811496	34286
634	QAT	qatar	2.58222424496455E+01	325	2200454	5911
585	PLW	palau		120	1516509	4406
226	GNQ	equatorial guinea	3.43454678513211E+04	167	1412177	3962
729	SDN	sudan	8.12009968477976E+01	748	5011562	13750
324	GIN	guinea	1.92419210963740E+04	225	1499153	3969
591	PAN	panama	3.53504116019740E+04	453	3567520	10326
524	NPL	nepal	7.13014863194140E+03	1983	12359198	31019
140	CAF	central african republic	3.05431680023707E+04	557	2733055	6687
442	LUX	luxembourg	1.84040047114252E+03	445	4297239	12666
716	ZWE	zimbabwe	8.66452649564145E+02	1994	7759641	18564
748	SWZ	swaziland	2.11282146498559E+03	174	1305466	3510
706	SOM	somalia	5.71669053543762E+02	2758	11573292	30219
