id	code	country	indicator	citations	fsize	links
626	TLS	east timor	3.23312748009354E+00	287	1825108	4556
882	WSM	samoa	3.57937265821293E+01	209	1577359	4175
392	JPN	japan	1.28128826043460E+02	3366	16441329	44822
31	AZE	azerbaijan	3.35032716967746E+01	2002	9390161	24439
408	PRK	north korea		2085	8090788	17766
262	DJI	djibouti	5.44052458667731E+00	155	1819059	5571
470	MLT	malta	6.01636044026192E+01	685	4545131	14276
624	GNB	guinea-bissau	3.90833105913122E+00	286	1784413	5321
348	HUN	hungary	5.68913030468202E+01	1099	6609895	16810
196	CYP	cyprus	5.35666173017225E+01	860	4993330	13832
52	BRB	barbados	3.70483368252709E+01	342	2542869	7487
64	BTN	bhutan	2.01830431045758E+01	552	3132760	8245
398	KAZ	kazakhstan	7.15980651205506E+01	760	5030223	15433
440	LTU	lithuania	4.97662656256151E+01	505	2661259	8709
178	COG	republic of the congo	3.92071520803253E+00	141	1469208	3847
583	FSM	micronesia	1.50679566984915E+01	159	1195659	3795
20	AND	andorra		394	2196134	6844
516	NAM	namibia	5.26261049366137E+01	704	4735890	11635
646	RWA	rwanda	5.16490602619189E+00	967	3336595	8388
32	ARG	argentina	5.73875207277260E+01	990	5511252	15099
288	GHA	ghana	8.32009253532408E+00	947	8538852	21475
688	SRB	serbia	4.42882615934434E+01	1151	9300724	29834
36	AUS	australia	1.63875555369261E+02	2755	11101694	28276
192	CUB	cuba		1614	7528766	21710
894	ZMB	zambia	9.92300318686931E+00	402	2458163	5416
417	KGZ	kyrgyzstan	2.09966943803357E+01	533	3545032	10445
320	GTM	guatemala	3.49405920790863E+01	1322	4848474	13327
56	BEL	belgium		1488	10269267	29189
332	HTI	haiti		1113	5020928	12590
854	BFA	burkina faso	2.73934197825636E+00	259	1527119	4376
430	LBR	liberia	2.05353959251563E+00	365	1718839	3951
384	CIV	ivory coast	6.03826362081109E+00	262	2167518	5976
620	PRT	portugal	1.80895580570343E+02	647	4092352	13893
208	DNK	denmark	5.66333473048367E+01	2063	11934319	37996
608	PHL	philippines	2.29503100105322E+01	2188	15381963	47504
686	SEN	senegal	4.96815355708034E+00	623	2955926	7496
