id	code	country	indicator	citations	fsize	links
626	TLS	east timor	5.08062889728984E+00	287	1825108	4556
882	WSM	samoa	2.30102528027974E+01	209	1577359	4175
392	JPN	japan	3.38606204674671E+01	3366	16441329	44822
31	AZE	azerbaijan	1.02778409870783E+01	2002	9390161	24439
408	PRK	north korea		2085	8090788	17766
262	DJI	djibouti	5.08952300044007E+00	155	1819059	5571
470	MLT	malta	3.87970906895395E+01	685	4545131	14276
624	GNB	guinea-bissau	2.67412125098452E+00	286	1784413	5321
348	HUN	hungary	1.53476952111815E+01	1099	6609895	16810
196	CYP	cyprus	4.15916449707985E+01	860	4993330	13832
52	BRB	barbados	1.91779625919049E+01	342	2542869	7487
64	BTN	bhutan	1.64105116831598E+01	552	3132760	8245
398	KAZ	kazakhstan	3.32234189516442E+00	760	5030223	15433
440	LTU	lithuania		505	2661259	8709
178	COG	republic of the congo	3.56064952566219E+00	141	1469208	3847
583	FSM	micronesia	1.50679566984915E+01	159	1195659	3795
20	AND	andorra		394	2196134	6844
516	NAM	namibia	1.27028529157343E+01	704	4735890	11635
646	RWA	rwanda	5.98448692256366E+00	967	3336595	8388
32	ARG	argentina	1.34468795061712E+01	990	5511252	15099
288	GHA	ghana	5.99611607098201E+00	947	8538852	21475
688	SRB	serbia	3.34523008444303E+01	1151	9300724	29834
36	AUS	australia	3.07300659753179E+01	2755	11101694	28276
192	CUB	cuba		1614	7528766	21710
894	ZMB	zambia	4.85480263443606E+00	402	2458163	5416
417	KGZ	kyrgyzstan	7.98285079741370E+00	533	3545032	10445
320	GTM	guatemala	3.80314906091593E+01	1322	4848474	13327
56	BEL	belgium	4.14847348018087E+01	1488	10269267	29189
332	HTI	haiti	2.78244137331362E+00	1113	5020928	12590
854	BFA	burkina faso	2.41509333593214E+00	259	1527119	4376
430	LBR	liberia	3.89753432865212E+00	365	1718839	3951
384	CIV	ivory coast	4.83233365374468E+00	262	2167518	5976
620	PRT	portugal	5.79687602963351E+01	647	4092352	13893
208	DNK	denmark	3.02826567483477E+01	2063	11934319	37996
608	PHL	philippines	8.62571527649802E+00	2188	15381963	47504
686	SEN	senegal	4.72297195296469E+00	623	2955926	7496
498	MDA	moldova	1.20476948635719E+01	644	2743879	7589
180	COD	democratic republic of the congo	6.87658939728403E-01	909	5917790	13487
428	LVA	latvia	2.14407350962854E+01	794	5572986	17451
191	HRV	croatia	3.45129116136537E+01	1843	9363305	26635
70	BIH	bosnia and herzegovina	3.10237430468635E+01	1276	9077454	26947
144	LKA	sri lanka	1.85735783162797E+01	1869	11872045	31454
780	TTO	trinidad and tobago	1.26392199648011E+01	216	3222597	9394
100	BGR	bulgaria	6.01621500996855E+01	1797	9396414	26534
388	JAM	jamaica	6.12698443860851E+00	363	3393538	9123
8	ALB	albania	2.19084468782645E+01	1535	8302985	23141
24	AGO	angola	1.27728844097760E+01	727	4117112	11212
422	LBN	lebanon	3.00220400530396E+01	2103	10491745	28502
458	MYS	malaysia	1.12791182634001E+01	1583	8991892	26779
508	MOZ	mozambique	3.90844930772896E+00	510	3320356	8927
764	THA	thailand	1.21574270709495E+01	1742	10201818	25955
300	GRC	greece	3.15559755646852E+01	3233	12349644	35028
558	NIC	nicaragua	7.61423669226667E+00	723	3757972	9785
562	NER	niger	1.56178523570008E+00	711	3238542	8754
124	CAN	canada	2.44069143648602E+01	3417	14180797	41982
4	AFG	afghanistan	2.48675289469960E+00	3010	12811496	34286
634	QAT	qatar	1.31596780028043E+01	325	2200454	5911
585	PLW	palau		120	1516509	4406
226	GNQ	equatorial guinea	6.45171335345346E+00	167	1412177	3962
729	SDN	sudan	3.11013515323305E+00	748	5011562	13750
324	GIN	guinea	1.80588301850929E+00	225	1499153	3969
591	PAN	panama	2.46498522720659E+01	453	3567520	10326
524	NPL	nepal	8.57049848871714E+00	1983	12359198	31019
140	CAF	central african republic	9.58646943142426E-01	557	2733055	6687
442	LUX	luxembourg	8.34331727047286E+01	445	4297239	12666
716	ZWE	zimbabwe	5.12126598240167E+00	1994	7759641	18564
748	SWZ	swaziland		174	1305466	3510
706	SOM	somalia		2758	11573292	30219
798	TUV	tuvalu		925	3622703	8914
862	VEN	venezuela	1.67987677287681E+01	1002	5647358	14170
662	LCA	saint lucia	2.11827267933171E+01	150	1856218	4866
96	BRN	brunei	2.28708091143522E+01	491	3348866	9852
364	IRN	iran	2.77236533252053E+01	5882	20529075	53463
784	ARE	united arab emirates	1.24255167551489E+01	556	3552603	8937
466	MLI	mali	5.51454089098098E+00	625	3401409	9256
682	SAU	saudi arabia	9.00439371032053E+00	1666	10453381	29624
659	KNA	saint kitts and nevis	5.46064558263439E+01	59	1396862	3739
756	CHE	switzerland	4.79732051913900E+01	900	7055535	23274
600	PRY	paraguay	1.02546193905221E+01	192	2667817	6873
156	CHN	china	7.84559404673204E+00	3598	15920522	47263
51	ARM	armenia	2.13951498070091E+01	3008	13593125	39051
296	KIR	kiribati	5.86785578364610E+00	112	990189	3050
84	BLZ	belize	2.58721261007059E+01	414	3294506	10922
788	TUN	tunisia	1.83451834815480E+01	1217	5287228	14404
804	UKR	ukraine	9.12373853896123E-01	3680	18180124	51204
434	LBY	libya		1912	8030270	20645
270	GMB	gambia		363	2260222	6453
246	FIN	finland	1.22637853833044E+01	656	5122395	13520
480	MUS	mauritius	2.16307931073256E+01	224	2507536	7547
28	ATG	antigua and barbuda	3.60994537906341E+01	55	1282394	3375
233	EST	estonia	1.37257600520503E+01	981	5722888	17295
760	SYR	syria	3.86047001821326E+00	3049	14605831	40095
214	DOM	dominican republic	1.16680311890873E+01	428	3088770	8806
104	MMR	burma	2.56520221569823E+00	2410	9196976	20975
586	PAK	pakistan	9.33192969853190E+00	4205	21477320	68229
642	ROU	romania	2.94415934961155E+01	789	5283644	15969
690	SYC	seychelles	5.12119033576574E+01	66	1450952	4500
203	CZE	czech republic	2.42536622615688E+01	348	3304578	9155
818	EGY	egypt	4.87406826997658E+00	3001	11672118	30922
598	PNG	papua new guinea	1.87912769692172E+00	387	3195466	8519
840	USA	united states	3.38801071953377E+01	15304	52182114	151469
40	AUT	austria	1.56200993297949E+01	1311	10892096	32445
496	MNG	mongolia	7.19606788617537E+01	1667	8899314	27064
170	COL	colombia	1.46853772058522E+02	1023	7038812	20089
340	HND	honduras	2.39935646905513E+01	722	3315102	6948
554	NZL	new zealand	3.08913609176662E+01	1427	6201233	15155
242	FJI	fiji	1.10908760326762E+01	343	2428571	6108
174	COM	comoros	1.92787810779198E+00	109	1375712	3984
792	TUR	turkey	2.01123867361441E+01	2857	14049568	44033
826	GBR	united kingdom		8628	35289924	107339
450	MDG	madagascar	1.73834929064120E+00	635	4426741	10294
368	IRQ	iraq	5.51051848856541E+00	2568	11919538	33762
50	BGD	bangladesh	8.19185613365464E+00	3254	19238292	57315
478	MRT	mauritania		494	2817073	7565
858	URY	uruguay	1.26571995326444E+01	454	3979898	10642
250	FRA	france	3.87105764073814E+01	1730	10752330	34546
44	BHS	bahamas	3.46442106585024E+01	400	2513540	6910
703	SVK	slovakia	2.68562878881955E+01	567	4087803	11688
372	IRL	ireland	2.29709129749715E+01	1615	6484724	16329
418	LAO	laos	2.73391698093114E+00	410	2605137	6778
410	KOR	south korea	1.83070867865145E+01	1484	6604974	14929
68	BOL	bolivia	1.17090266192898E+01	402	3681253	10308
454	MWI	malawi	3.30727990193689E+00	750	3050315	7024
218	ECU	ecuador	8.01384141107860E+01	898	5252818	12692
376	ISR	israel	1.98917336356673E+01	7951	25677910	65553
604	PER	peru	8.83641905894143E+01	633	5381479	16059
