id	code	country	indicator	citations	fsize	links
626	TLS	east timor	1.11566224609702E+01	287	1825108	4556
882	WSM	samoa	6.10085720906440E-01	209	1577359	4175
392	JPN	japan	3.59471660257853E-01	3366	16441329	44822
31	AZE	azerbaijan	2.42380140385646E+00	2002	9390161	24439
408	PRK	north korea		2085	8090788	17766
262	DJI	djibouti	2.42059320836981E+00	155	1819059	5571
470	MLT	malta	1.37490620310190E+00	685	4545131	14276
624	GNB	guinea-bissau	7.03179935932170E-01	286	1784413	5321
348	HUN	hungary	1.72583948748917E+00	1099	6609895	16810
196	CYP	cyprus	-4.00053061138721E-01	860	4993330	13832
52	BRB	barbados	1.80400550374493E+00	342	2542869	7487
64	BTN	bhutan	7.00666666666703E+00	552	3132760	8245
398	KAZ	kazakhstan	5.83670233282419E+00	760	5030223	15433
440	LTU	lithuania	1.07910876484713E+00	505	2661259	8709
178	COG	republic of the congo	5.96892886345042E+00	141	1469208	3847
583	FSM	micronesia		159	1195659	3795
20	AND	andorra		394	2196134	6844
516	NAM	namibia	5.60092502322360E+00	704	4735890	11635
646	RWA	rwanda	8.03916175484886E+00	967	3336595	8388
32	ARG	argentina		990	5511252	15099
288	GHA	ghana	1.16083333333328E+01	947	8538852	21475
688	SRB	serbia	7.69426362896593E+00	1151	9300724	29834
36	AUS	australia	2.44988864142537E+00	2755	11101694	28276
192	CUB	cuba		1614	7528766	21710
894	ZMB	zambia	6.97767605490374E+00	402	2458163	5416
417	KGZ	kyrgyzstan	6.60653572214989E+00	533	3545032	10445
320	GTM	guatemala	4.34337131279557E+00	1322	4848474	13327
56	BEL	belgium	1.11223458038423E+00	1488	10269267	29189
332	HTI	haiti	5.85347272188577E+00	1113	5020928	12590
854	BFA	burkina faso	5.37634408602131E-01	259	1527119	4376
430	LBR	liberia	7.57489785727381E+00	365	1718839	3951
384	CIV	ivory coast	2.56842750900807E+00	262	2167518	5976
620	PRT	portugal	2.74416666667150E-01	647	4092352	13893
208	DNK	denmark	7.82614319901185E-01	2063	11934319	37996
608	PHL	philippines	2.99769408147618E+00	2188	15381963	47504
686	SEN	senegal	6.98626836906087E-01	623	2955926	7496
498	MDA	moldova	4.64179022137057E+00	644	2743879	7589
180	COD	democratic republic of the congo	1.63292541106681E+00	909	5917790	13487
428	LVA	latvia	0.00000000000000E+00	794	5572986	17451
191	HRV	croatia	2.20646178092956E+00	1843	9363305	26635
70	BIH	bosnia and herzegovina	-8.66414618780738E-02	1276	9077454	26947
144	LKA	sri lanka	6.91154652887862E+00	1869	11872045	31454
780	TTO	trinidad and tobago	5.19981740465599E+00	216	3222597	9394
100	BGR	bulgaria	8.90093540913099E-01	1797	9396414	26534
388	JAM	jamaica	9.34440283355191E+00	363	3393538	9123
8	ALB	albania	1.93761754903915E+00	1535	8302985	23141
