id	code	country	indicator	citations	fsize	links
626	TLS	east timor	4.43100000000000E+01	287	1825108	4556
882	WSM	samoa	6.62300000000000E+01	209	1577359	4175
392	JPN	japan	7.49400000000000E+01	3366	16441329	44822
31	AZE	azerbaijan	6.19700000000000E+01	2002	9390161	24439
408	PRK	north korea		2085	8090788	17766
262	DJI	djibouti	4.93500000000000E+01	155	1819059	5571
470	MLT	malta	6.19100000000000E+01	685	4545131	14276
624	GNB	guinea-bissau	4.35500000000000E+01	286	1784413	5321
348	HUN	hungary	6.68200000000000E+01	1099	6609895	16810
196	CYP	cyprus	6.58800000000000E+01	860	4993330	13832
52	BRB	barbados	6.05700000000000E+01	342	2542869	7487
64	BTN	bhutan	5.75300000000000E+01	552	3132760	8245
398	KAZ	kazakhstan	6.35900000000000E+01	760	5030223	15433
440	LTU	lithuania	7.58600000000000E+01	505	2661259	8709
178	COG	republic of the congo	4.18300000000000E+01	141	1469208	3847
583	FSM	micronesia	5.10200000000000E+01	159	1195659	3795
20	AND	andorra		394	2196134	6844
516	NAM	namibia	6.30400000000000E+01	704	4735890	11635
646	RWA	rwanda	6.94000000000000E+01	967	3336595	8388
32	ARG	argentina	5.72900000000000E+01	990	5511252	15099
288	GHA	ghana	6.44100000000000E+01	947	8538852	21475
688	SRB	serbia	6.34600000000000E+01	1151	9300724	29834
36	AUS	australia	8.07000000000000E+01	2755	11101694	28276
192	CUB	cuba		1614	7528766	21710
894	ZMB	zambia	5.98400000000000E+01	402	2458163	5416
417	KGZ	kyrgyzstan	6.09600000000000E+01	533	3545032	10445
320	GTM	guatemala	6.42200000000000E+01	1322	4848474	13327
56	BEL	belgium	7.11100000000000E+01	1488	10269267	29189
332	HTI	haiti	4.14600000000000E+01	1113	5020928	12590
854	BFA	burkina faso	4.78900000000000E+01	259	1527119	4376
430	LBR	liberia	4.65600000000000E+01	365	1718839	3951
384	CIV	ivory coast	4.89000000000000E+01	262	2167518	5976
620	PRT	portugal	7.60200000000000E+01	647	4092352	13893
208	DNK	denmark	8.40700000000000E+01	2063	11934319	37996
608	PHL	philippines	6.20800000000000E+01	2188	15381963	47504
686	SEN	senegal	4.60900000000000E+01	623	2955926	7496
498	MDA	moldova	6.28100000000000E+01	644	2743879	7589
180	COD	democratic republic of the congo	3.83800000000000E+01	909	5917790	13487
428	LVA	latvia	7.65900000000000E+01	794	5572986	17451
191	HRV	croatia	6.44400000000000E+01	1843	9363305	26635
70	BIH	bosnia and herzegovina	6.02400000000000E+01	1276	9077454	26947
