id	code	country	indicator	citations	fsize	links
626	TLS	east timor	1.28500000000000E+03	287	1825108	4556
882	WSM	samoa	4.55000000000000E+02	209	1577359	4175
392	JPN	japan	3.60000000000000E+02	3366	16441329	44822
31	AZE	azerbaijan	2.77000000000000E+02	2002	9390161	24439
408	PRK	north korea		2085	8090788	17766
262	DJI	djibouti	1.22500000000000E+03	155	1819059	5571
470	MLT	malta	5.05000000000000E+02	685	4545131	14276
624	GNB	guinea-bissau	1.71500000000000E+03	286	1784413	5321
348	HUN	hungary	3.95000000000000E+02	1099	6609895	16810
196	CYP	cyprus	7.35000000000000E+02	860	4993330	13832
52	BRB	barbados	1.34000000000000E+03	342	2542869	7487
64	BTN	bhutan	2.25000000000000E+02	552	3132760	8245
398	KAZ	kazakhstan	3.70000000000000E+02	760	5030223	15433
440	LTU	lithuania	3.00000000000000E+02	505	2661259	8709
178	COG	republic of the congo	5.60000000000000E+02	141	1469208	3847
583	FSM	micronesia	8.85000000000000E+02	159	1195659	3795
20	AND	andorra		394	2196134	6844
516	NAM	namibia	4.60000000000000E+02	704	4735890	11635
646	RWA	rwanda	2.30000000000000E+02	967	3336595	8388
32	ARG	argentina	5.90000000000000E+02	990	5511252	15099
288	GHA	ghana	7.10000000000000E+02	947	8538852	21475
688	SRB	serbia	6.35000000000000E+02	1151	9300724	29834
36	AUS	australia	3.95000000000000E+02	2755	11101694	28276
192	CUB	cuba		1614	7528766	21710
894	ZMB	zambia	6.11000000000000E+02	402	2458163	5416
417	KGZ	kyrgyzstan	2.60000000000000E+02	533	3545032	10445
320	GTM	guatemala	1.40200000000000E+03	1322	4848474	13327
56	BEL	belgium	5.05000000000000E+02	1488	10269267	29189
332	HTI	haiti	5.30000000000000E+02	1113	5020928	12590
854	BFA	burkina faso	4.46000000000000E+02	259	1527119	4376
430	LBR	liberia	1.28000000000000E+03	365	1718839	3951
384	CIV	ivory coast	5.85000000000000E+02	262	2167518	5976
620	PRT	portugal	5.47000000000000E+02	647	4092352	13893
208	DNK	denmark	4.10000000000000E+02	2063	11934319	37996
608	PHL	philippines	8.42000000000000E+02	2188	15381963	47504
686	SEN	senegal	7.70000000000000E+02	623	2955926	7496
498	MDA	moldova	5.67000000000000E+02	644	2743879	7589
180	COD	democratic republic of the congo	6.10000000000000E+02	909	5917790	13487
428	LVA	latvia	4.69000000000000E+02	794	5572986	17451
191	HRV	croatia	5.72000000000000E+02	1843	9363305	26635
70	BIH	bosnia and herzegovina	5.95000000000000E+02	1276	9077454	26947
144	LKA	sri lanka	1.31800000000000E+03	1869	11872045	31454
780	TTO	trinidad and tobago	1.34000000000000E+03	216	3222597	9394
100	BGR	bulgaria	5.64000000000000E+02	1797	9396414	26534
388	JAM	jamaica	6.55000000000000E+02	363	3393538	9123
8	ALB	albania	5.25000000000000E+02	1535	8302985	23141
