id	code	country	indicator	citations	fsize	links
626	TLS	east timor	2.76000000000000E+02	287	1825108	4556
882	WSM	samoa	2.24000000000000E+02	209	1577359	4175
392	JPN	japan	3.30000000000000E+02	3366	16441329	44822
31	AZE	azerbaijan	2.14000000000000E+02	2002	9390161	24439
408	PRK	north korea		2085	8090788	17766
262	DJI	djibouti	8.20000000000000E+01	155	1819059	5571
470	MLT	malta	1.39000000000000E+02	685	4545131	14276
624	GNB	guinea-bissau	2.08000000000000E+02	286	1784413	5321
348	HUN	hungary	2.77000000000000E+02	1099	6609895	16810
196	CYP	cyprus	1.46500000000000E+02	860	4993330	13832
52	BRB	barbados	2.37000000000000E+02	342	2542869	7487
64	BTN	bhutan	2.74000000000000E+02	552	3132760	8245
398	KAZ	kazakhstan	1.88000000000000E+02	760	5030223	15433
440	LTU	lithuania	1.75000000000000E+02	505	2661259	8709
178	COG	republic of the congo	6.02000000000000E+02	141	1469208	3847
583	FSM	micronesia	1.28000000000000E+02	159	1195659	3795
20	AND	andorra		394	2196134	6844
516	NAM	namibia	3.14000000000000E+02	704	4735890	11635
646	RWA	rwanda	1.13000000000000E+02	967	3336595	8388
32	ARG	argentina	4.05000000000000E+02	990	5511252	15099
288	GHA	ghana	2.24000000000000E+02	947	8538852	21475
688	SRB	serbia	2.79000000000000E+02	1151	9300724	29834
36	AUS	australia	1.05000000000000E+02	2755	11101694	28276
192	CUB	cuba		1614	7528766	21710
894	ZMB	zambia	1.83000000000000E+02	402	2458163	5416
417	KGZ	kyrgyzstan	2.10000000000000E+02	533	3545032	10445
320	GTM	guatemala	3.26000000000000E+02	1322	4848474	13327
56	BEL	belgium	1.60000000000000E+02	1488	10269267	29189
332	HTI	haiti	1.84000000000000E+02	1113	5020928	12590
854	BFA	burkina faso	2.70000000000000E+02	259	1527119	4376
430	LBR	liberia	1.50500000000000E+02	365	1718839	3951
384	CIV	ivory coast	2.70000000000000E+02	262	2167518	5976
620	PRT	portugal	2.75000000000000E+02	647	4092352	13893
208	DNK	denmark	1.30000000000000E+02	2063	11934319	37996
608	PHL	philippines	1.93000000000000E+02	2188	15381963	47504
