id	code	country	indicator	citations	fsize	links
626	TLS	east timor	5.73759421791736E+01	287	1825108	4556
882	WSM	samoa		209	1577359	4175
392	JPN	japan	1.17631586690376E+02	3366	16441329	44822
31	AZE	azerbaijan	1.07613407242001E+02	2002	9390161	24439
408	PRK	north korea	9.72064005192911E+00	2085	8090788	17766
262	DJI	djibouti	2.79658667570899E+01	155	1819059	5571
470	MLT	malta	1.29754501123533E+02	685	4545131	14276
624	GNB	guinea-bissau	7.40910251106789E+01	286	1784413	5321
348	HUN	hungary	1.16427872350022E+02	1099	6609895	16810
196	CYP	cyprus	9.63594253596760E+01	860	4993330	13832
52	BRB	barbados	1.08102752912410E+02	342	2542869	7487
64	BTN	bhutan	7.21983110218623E+01	552	3132760	8245
398	KAZ	kazakhstan	1.84694754797670E+02	760	5030223	15433
440	LTU	lithuania	1.51344958605312E+02	505	2661259	8709
178	COG	republic of the congo	1.04769504311508E+02	141	1469208	3847
583	FSM	micronesia	3.03170479676289E+01	159	1195659	3795
20	AND	andorra	8.07026180918478E+01	394	2196134	6844
516	NAM	namibia	1.18434213296922E+02	704	4735890	11635
646	RWA	rwanda	5.68007939865437E+01	967	3336595	8388
32	ARG	argentina	1.62527421663231E+02	990	5511252	15099
288	GHA	ghana	1.08191148150610E+02	947	8538852	21475
688	SRB	serbia	1.19391710437835E+02	1151	9300724	29834
36	AUS	australia	1.06843497367233E+02	2755	11101694	28276
192	CUB	cuba	1.77149274132851E+01	1614	7528766	21710
894	ZMB	zambia	7.15046317949960E+01	402	2458163	5416
417	KGZ	kyrgyzstan	1.21449818910986E+02	533	3545032	10445
320	GTM	guatemala	1.40393535047348E+02	1322	4848474	13327
56	BEL	belgium	1.10903179942935E+02	1488	10269267	29189
332	HTI	haiti	6.93988569474602E+01	1113	5020928	12590
854	BFA	burkina faso	6.63772829490732E+01	259	1527119	4376
430	LBR	liberia	5.94021718753530E+01	365	1718839	3951
384	CIV	ivory coast	9.54460519609929E+01	262	2167518	5976
620	PRT	portugal	1.13035602040543E+02	647	4092352	13893
208	DNK	denmark	1.27117671596997E+02	2063	11934319	37996
608	PHL	philippines	1.04502321462578E+02	2188	15381963	47504
686	SEN	senegal	9.29279827471047E+01	623	2955926	7496
498	MDA	moldova	1.06011406272762E+02	644	2743879	7589
180	COD	democratic republic of the congo	4.18165640718991E+01	909	5917790	13487
