id	code	country	indicator	citations	fsize	links
626	TLS	east timor	6.50000000000000E+05	287	1825108	4556
882	WSM	samoa		209	1577359	4175
392	JPN	japan	1.49561007000000E+08	3366	16441329	44822
31	AZE	azerbaijan	1.01301020000000E+07	2002	9390161	24439
408	PRK	north korea	2.42000000000000E+06	2085	8090788	17766
262	DJI	djibouti	2.44123000000000E+05	155	1819059	5571
470	MLT	malta	5.56652000000000E+05	685	4545131	14276
624	GNB	guinea-bissau	1.26270000000000E+06	286	1784413	5321
348	HUN	hungary	1.15903260000000E+07	1099	6609895	16810
196	CYP	cyprus	1.09962100000000E+06	860	4993330	13832
52	BRB	barbados	3.07708000000000E+05	342	2542869	7487
64	BTN	bhutan	5.44337000000000E+05	552	3132760	8245
398	KAZ	kazakhstan	3.03649000000000E+07	760	5030223	15433
440	LTU	lithuania	4.56597600000000E+06	505	2661259	8709
178	COG	republic of the congo	4.65976200000000E+06	141	1469208	3847
583	FSM	micronesia	3.13930000000000E+04	159	1195659	3795
20	AND	andorra	6.39310000000000E+04	394	2196134	6844
516	NAM	namibia	2.72791300000000E+06	704	4735890	11635
646	RWA	rwanda	6.68915800000000E+06	967	3336595	8388
32	ARG	argentina	6.73615150000000E+07	990	5511252	15099
288	GHA	ghana	2.80264820000000E+07	947	8538852	21475
688	SRB	serbia	9.19871700000000E+06	1151	9300724	29834
36	AUS	australia	2.49400000000000E+07	2755	11101694	28276
192	CUB	cuba	1.99569800000000E+06	1614	7528766	21710
894	ZMB	zambia	1.03958010000000E+07	402	2458163	5416
417	KGZ	kyrgyzstan	6.73748700000000E+06	533	3545032	10445
320	GTM	guatemala	2.17163570000000E+07	1322	4848474	13327
56	BEL	belgium	1.23152170000000E+07	1488	10269267	29189
332	HTI	haiti	7.16020000000000E+06	1113	5020928	12590
854	BFA	burkina faso	1.12408860000000E+07	259	1527119	4376
430	LBR	liberia	2.55077500000000E+06	365	1718839	3951
384	CIV	ivory coast	1.93909020000000E+07	262	2167518	5976
620	PRT	portugal	1.19909930000000E+07	647	4092352	13893
208	DNK	denmark	7.14286400000000E+06	2063	11934319	37996
608	PHL	philippines	1.02823569000000E+08	2188	15381963	47504
686	SEN	senegal	1.31337720000000E+07	623	2955926	7496
498	MDA	moldova	3.69683400000000E+06	644	2743879	7589
180	COD	democratic republic of the congo	2.82319000000000E+07	909	5917790	13487
428	LVA	latvia	4.68294600000000E+06	794	5572986	17451
191	HRV	croatia	4.91213300000000E+06	1843	9363305	26635
70	BIH	bosnia and herzegovina	3.48831900000000E+06	1276	9077454	26947
144	LKA	sri lanka	2.03151500000000E+07	1869	11872045	31454
780	TTO	trinidad and tobago	1.94387300000000E+06	216	3222597	9394
100	BGR	bulgaria	1.04868240000000E+07	1797	9396414	26534
388	JAM	jamaica	2.84619600000000E+06	363	3393538	9123
8	ALB	albania	3.68598300000000E+06	1535	8302985	23141
24	AGO	angola	1.32851980000000E+07	727	4117112	11212
422	LBN	lebanon	3.88475700000000E+06	2103	10491745	28502
458	MYS	malaysia	4.29960000000000E+07	1583	8991892	26779
508	MOZ	mozambique	1.24012900000000E+07	510	3320356	8927
764	THA	thailand	9.38490000000000E+07	1742	10201818	25955
