id	code	country	indicator	citations	fsize	links
626	TLS	east timor	2.64812040826955E-01	287	1825108	4556
882	WSM	samoa		209	1577359	4175
392	JPN	japan	4.79921522107247E+01	3366	16441329	44822
31	AZE	azerbaijan	1.86739250984233E+01	2002	9390161	24439
408	PRK	north korea	4.73981622366791E+00	2085	8090788	17766
262	DJI	djibouti	2.36971493770420E+00	155	1819059	5571
470	MLT	malta	5.39228072465525E+01	685	4545131	14276
624	GNB	guinea-bissau	2.93383325852059E-01	286	1784413	5321
348	HUN	hungary	2.99149738808095E+01	1099	6609895	16810
196	CYP	cyprus	3.05922188358223E+01	860	4993330	13832
52	BRB	barbados	5.22529896994140E+01	342	2542869	7487
64	BTN	bhutan	3.51284639371202E+00	552	3132760	8245
398	KAZ	kazakhstan	2.67143762393871E+01	760	5030223	15433
440	LTU	lithuania	2.07090777289386E+01	505	2661259	8709
178	COG	republic of the congo	3.52524669307173E-01	141	1469208	3847
583	FSM	micronesia	9.70265285034138E+00	159	1195659	3795
20	AND	andorra	4.86909540760938E+01	394	2196134	6844
516	NAM	namibia	7.96816761927917E+00	704	4735890	11635
646	RWA	rwanda	3.84986331278454E-01	967	3336595	8388
32	ARG	argentina	2.33123260427494E+01	990	5511252	15099
288	GHA	ghana	1.04391506094787E+00	947	8538852	21475
688	SRB	serbia	3.93483911605104E+01	1151	9300724	29834
36	AUS	australia	4.43396230052471E+01	2755	11101694	28276
192	CUB	cuba	1.09827511628512E+01	1614	7528766	21710
894	ZMB	zambia	7.96236786934679E-01	402	2458163	5416
417	KGZ	kyrgyzstan	8.31497086640801E+00	533	3545032	10445
320	GTM	guatemala	1.20443984346469E+01	1322	4848474	13327
56	BEL	belgium	4.13923358472746E+01	1488	10269267	29189
332	HTI	haiti	3.97384589096096E-01	1113	5020928	12590
854	BFA	burkina faso	8.11469184915192E-01	259	1527119	4376
430	LBR	liberia	1.07613347408535E-01	365	1718839	3951
384	CIV	ivory coast	1.33955428225693E+00	262	2167518	5976
620	PRT	portugal	4.27010500222659E+01	647	4092352	13893
208	DNK	denmark	3.72756222709133E+01	2063	11934319	37996
608	PHL	philippines	3.20024456068645E+00	2188	15381963	47504
686	SEN	senegal	2.43197615840060E+00	623	2955926	7496
498	MDA	moldova	3.50273170138598E+01	644	2743879	7589
180	COD	democratic republic of the congo	0.00000000000000E+00	909	5917790	13487
428	LVA	latvia	2.06309560911800E+01	794	5572986	17451
191	HRV	croatia	3.67778131595719E+01	1843	9363305	26635
70	BIH	bosnia and herzegovina	2.21054096733430E+01	1276	9077454	26947
144	LKA	sri lanka	1.27239128918282E+01	1869	11872045	31454
780	TTO	trinidad and tobago	2.17194782690391E+01	216	3222597	9394
100	BGR	bulgaria	2.68924176751776E+01	1797	9396414	26534
388	JAM	jamaica	8.99245946676016E+00	363	3393538	9123
8	ALB	albania	8.86151860335912E+00	1535	8302985	23141
24	AGO	angola	1.00108897242863E+00	727	4117112	11212
422	LBN	lebanon	1.80424146059775E+01	2103	10491745	28502
458	MYS	malaysia	1.52633352699376E+01	1583	8991892	26779
508	MOZ	mozambique	3.00258359683874E-01	510	3320356	8927
764	THA	thailand	9.03738939308349E+00	1742	10201818	25955
300	GRC	greece	4.79198938891929E+01	3233	12349644	35028
558	NIC	nicaragua	5.34449758719627E+00	723	3757972	9785
562	NER	niger	5.63616612838009E-01	711	3238542	8754
124	CAN	canada	4.80960217276571E+01	3417	14180797	41982
4	AFG	afghanistan	3.13465638576793E-01	3010	12811496	34286
634	QAT	qatar	1.90247215693652E+01	325	2200454	5911
585	PLW	palau	3.47212926666029E+01	120	1516509	4406
226	GNQ	equatorial guinea	1.96469285904884E+00	167	1412177	3962
729	SDN	sudan	1.09463610371279E+00	748	5011562	13750
324	GIN	guinea	0.00000000000000E+00	225	1499153	3969
591	PAN	panama	1.51726761503764E+01	453	3567520	10326
524	NPL	nepal	2.98263614545748E+00	1983	12359198	31019
140	CAF	central african republic	1.73294570226217E-02	557	2733055	6687
442	LUX	luxembourg	5.04543911912214E+01	445	4297239	12666
716	ZWE	zimbabwe	2.14960824467153E+00	1994	7759641	18564
748	SWZ	swaziland	3.68143134050519E+00	174	1305466	3510
706	SOM	somalia	6.09780323780013E-01	2758	11573292	30219
798	TUV	tuvalu	1.46820575131632E+01	925	3622703	8914
862	VEN	venezuela	2.55672556348654E+01	1002	5647358	14170
662	LCA	saint lucia	1.83790248692895E+01	150	1856218	4866
96	BRN	brunei	1.35751967523888E+01	491	3348866	9852
364	IRN	iran	3.83339491509877E+01	5882	20529075	53463
784	ARE	united arab emirates	2.23195613927435E+01	556	3552603	8937
466	MLI	mali	8.25806367287188E-01	625	3401409	9256
682	SAU	saudi arabia	1.71346119358823E+01	1666	10453381	29624
659	KNA	saint kitts and nevis	3.54302374933107E+01	59	1396862	3739
756	CHE	switzerland	5.68632825164868E+01	900	7055535	23274
600	PRY	paraguay	6.43375507824933E+00	192	2667817	6873
156	CHN	china	1.92690132787178E+01	3598	15920522	47263
51	ARM	armenia	1.94334679627463E+01	3008	13593125	39051
296	KIR	kiribati	8.79327021719377E+00	112	990189	3050
84	BLZ	belize	7.24645977704128E+00	414	3294506	10922
788	TUN	tunisia	9.29366258310019E+00	1217	5287228	14404
804	UKR	ukraine	2.61522580006258E+01	3680	18180124	51204
434	LBY	libya	1.27226852896249E+01	1912	8030270	20645
270	GMB	gambia	3.47139570158196E+00	363	2260222	6453
246	FIN	finland	1.38620572347057E+01	656	5122395	13520
480	MUS	mauritius	2.91706143427812E+01	224	2507536	7547
28	ATG	antigua and barbuda	3.68205812079791E+01	55	1282394	3375
233	EST	estonia	3.31318445276018E+01	981	5722888	17295
760	SYR	syria	2.02245029822503E+01	3049	14605831	40095
214	DOM	dominican republic	1.12560159734542E+01	428	3088770	8806
104	MMR	burma	1.00416797020178E+00	2410	9196976	20975
586	PAK	pakistan	3.49773211201769E+00	4205	21477320	68229
642	ROU	romania	2.17525705017170E+01	789	5283644	15969
690	SYC	seychelles	2.34300609664146E+01	66	1450952	4500
203	CZE	czech republic	1.86970955589773E+01	348	3304578	9155
818	EGY	egypt	8.31244586496372E+00	3001	11672118	30922
598	PNG	papua new guinea	1.91223862771200E+00	387	3195466	8519
840	USA	united states	4.22204960791277E+01	15304	52182114	151469
40	AUT	austria	3.92459457725560E+01	1311	10892096	32445
496	MNG	mongolia	6.18856929709099E+00	1667	8899314	27064
170	COL	colombia	1.47790839277128E+01	1023	7038812	20089
340	HND	honduras	7.64533037084165E+00	722	3315102	6948
554	NZL	new zealand	4.10585470467697E+01	1427	6201233	15155
242	FJI	fiji	7.97046755914717E+00	343	2428571	6108
174	COM	comoros	3.12960511186978E+00	109	1375712	3984
792	TUR	turkey	1.80851826642544E+01	2857	14049568	44033
826	GBR	united kingdom	5.28758756952126E+01	8628	35289924	107339
450	MDG	madagascar	1.07133956944802E+00	635	4426741	10294
368	IRQ	iraq	5.62709001969837E+00	2568	11919538	33762
50	BGD	bangladesh	6.91176769786502E-01	3254	19238292	57315
478	MRT	mauritania	1.38803767725483E+00	494	2817073	7565
858	URY	uruguay	3.07727009370537E+01	454	3979898	10642
250	FRA	france	6.07858484074357E+01	1730	10752330	34546
44	BHS	bahamas	3.60385188168766E+01	400	2513540	6910
703	SVK	slovakia	1.77443381674475E+01	567	4087803	11688
372	IRL	ireland	4.39679475999709E+01	1615	6484724	16329
418	LAO	laos	1.03654401425641E+01	410	2605137	6778
410	KOR	south korea	6.15741285627515E+01	1484	6604974	14929
68	BOL	bolivia	8.19383949321538E+00	402	3681253	10308
454	MWI	malawi	2.05157295918177E-01	750	3050315	7024
218	ECU	ecuador	1.52166067115274E+01	898	5252818	12692
376	ISR	israel	3.75009181259265E+01	7951	25677910	65553
604	PER	peru	1.12596283273784E+01	633	5381479	16059
12	DZA	algeria	7.98302518090989E+00	721	6797727	19565
752	SWE	sweden	4.06107758717515E+01	2004	10834574	30870
356	IND	india	2.31866910788116E+00	5042	24381167	70861
834	TZA	tanzania	3.35002086974134E-01	556	4721413	11868
499	MNE	montenegro	2.72025465775536E+01	1239	6874308	19854
762	TJK	tajikistan	5.17797996401974E+00	569	3856874	11733
768	TGO	togo	9.17370766124951E-01	74	1478904	4415
400	JOR	jordan	5.20238461359738E+00	914	5592938	15060
152	CHL	chile	1.81799721085049E+01	1430	7410887	19636
512	OMN	oman	9.67423035289739E+00	244	2740041	7050
566	NGA	nigeria	2.07664247650460E-01	1168	7926035	20332
724	ESP	spain	4.13072650791401E+01	3334	16565176	45770
268	GEO	georgia	2.76506572953273E+01	1722	7851210	21567
578	NOR	norway	2.45246616326943E+01	1151	7215017	20016
694	SLE	sierra leone	2.62636293873598E-01	610	3195183	7907
504	MAR	morocco	8.86102674642475E+00	1463	8889048	23442
266	GAB	gabon	1.15163446313388E+00	185	2259207	6708
328	GUY	guyana	1.96101113913856E+01	569	3495270	9188
308	GRD	grenada	2.69932103836747E+01	124	1579737	4471
887	YEM	yemen	4.68300961909842E+00	925	5317491	14964
643	RUS	russia	2.83358556957806E+01	3858	19559146	53313
728	SSD	south sudan	0.00000000000000E+00	971	4079530	9758
48	BHR	bahrain	2.18815001977974E+01	984	5534198	14791
360	IDN	indonesia	1.22956690270060E+01	1109	6315182	17660
148	TCD	chad	2.44227938590821E-01	446	2572952	6902
484	MEX	mexico	1.68307906722241E+01	1935	10624402	27978
426	LSO	lesotho	2.78139182873657E+00	83	1161694	3443
112	BLR	belarus	4.77584031426538E+01	996	4888728	12776
670	VCT	saint vincent and the grenadines	1.74348330940909E+01	47	1275427	3160
800	UGA	uganda	5.52102729203502E-01	668	3381652	9634
108	BDI	burundi	2.09130952797984E-01	210	1796598	4801
404	KEN	kenya	4.60737303689111E-01	1096	8286607	20012
72	BWA	botswana	8.61714949553322E+00	139	1154682	2889
380	ITA	italy	3.45924531544594E+01	1847	9978083	33234
116	KHM	cambodia	2.78121770559681E+00	851	5165635	13715
231	ETH	ethiopia	8.09185847561097E-01	1109	6232319	16459
548	VUT	vanuatu	2.17476450271598E+00	265	2451779	7239
584	MHL	marshall islands		97	1014048	3239
120	CMR	cameroon	3.59044428903639E+00	956	4537626	11383
204	BEN	benin	1.54447039823997E+00	86	1013683	2666
76	BRA	brazil	2.24783810596749E+01	2424	12102945	32005
702	SGP	singapore	3.63469252108889E+01	1270	7965260	19928
90	SLB	solomon islands	1.35737334537828E+00	286	2615725	7016
352	ISL	iceland	5.09879072025733E+01	744	5735302	17749
674	SMR	san marino	5.96285932332740E+01	66	802513	1998
492	MCO	monaco	1.23840236842801E+02	288	2060126	5928
188	CRI	costa rica	1.98773810251950E+01	273	2105051	5162
705	SVN	slovenia	4.76523855970834E+01	587	3362613	9659
276	DEU	germany	5.88685920782022E+01	809	4940123	15076
710	ZAF	south africa	7.34343726984150E+00	3528	20480119	48536
212	DMA	dominica	2.38101190228185E+01	92	1002182	2597
795	TKM	turkmenistan	1.14883917625559E+01	707	4104779	12388
740	SUR	suriname	1.57509327320333E+01	156	1635993	4679
232	ERI	eritrea	9.77951677960441E-01	275	2382397	6381
776	TON	tonga	2.94332671876038E+01	155	1499371	3416
462	MDV	maldives	6.53782501456425E+00	178	1780819	5626
860	UZB	uzbekistan	6.91225875957719E+00	740	4951129	14191
222	SLV	el salvador	1.49781387894305E+01	398	2716148	7133
616	POL	poland	1.43326250466583E+01	2953	15472218	44481
132	CPV	cape verde	1.32646618440279E+01	97	1324986	3651
438	LIE	liechtenstein	4.95599187542316E+01	175	1092252	2825
704	VNM	vietnam	1.01320103102831E+01	2330	11515107	29006
414	KWT	kuwait	1.50805742017686E+01	837	5585031	12697
