id	code	country	indicator	citations	fsize	links
626	TLS	east timor	3.00000000000000E+03	287	1825108	4556
882	WSM	samoa		209	1577359	4175
392	JPN	japan	6.10189390000000E+07	3366	16441329	44822
31	AZE	azerbaijan	1.75785500000000E+06	2002	9390161	24439
408	PRK	north korea	1.18000000000000E+06	2085	8090788	17766
262	DJI	djibouti	2.06860000000000E+04	155	1819059	5571
470	MLT	malta	2.31331000000000E+05	685	4545131	14276
624	GNB	guinea-bissau	5.00000000000000E+03	286	1784413	5321
348	HUN	hungary	2.97801800000000E+06	1099	6609895	16810
196	CYP	cyprus	3.49108000000000E+05	860	4993330	13832
52	BRB	barbados	1.48735000000000E+05	342	2542869	7487
64	BTN	bhutan	2.64850000000000E+04	552	3132760	8245
398	KAZ	kazakhstan	4.39200000000000E+06	760	5030223	15433
440	LTU	lithuania	6.24779000000000E+05	505	2661259	8709
178	COG	republic of the congo	1.56790000000000E+04	141	1469208	3847
583	FSM	micronesia	1.00470000000000E+04	159	1195659	3795
20	AND	andorra	3.85720000000000E+04	394	2196134	6844
516	NAM	namibia	1.83532000000000E+05	704	4735890	11635
646	RWA	rwanda	4.53380000000000E+04	967	3336595	8388
32	ARG	argentina	9.66208400000000E+06	990	5511252	15099
288	GHA	ghana	2.70422000000000E+05	947	8538852	21475
688	SRB	serbia	3.03165700000000E+06	1151	9300724	29834
36	AUS	australia	1.03500000000000E+07	2755	11101694	28276
192	CUB	cuba	1.23727600000000E+06	1614	7528766	21710
894	ZMB	zambia	1.15762000000000E+05	402	2458163	5416
417	KGZ	kyrgyzstan	4.61277000000000E+05	533	3545032	10445
320	GTM	guatemala	1.86305200000000E+06	1322	4848474	13327
56	BEL	belgium	4.59640200000000E+06	1488	10269267	29189
332	HTI	haiti	4.10000000000000E+04	1113	5020928	12590
854	BFA	burkina faso	1.37421000000000E+05	259	1527119	4376
430	LBR	liberia	4.62100000000000E+03	365	1718839	3951
384	CIV	ivory coast	2.72145000000000E+05	262	2167518	5976
620	PRT	portugal	4.52979400000000E+06	647	4092352	13893
208	DNK	denmark	2.09455300000000E+06	2063	11934319	37996
608	PHL	philippines	3.14883500000000E+06	2188	15381963	47504
686	SEN	senegal	3.43718000000000E+05	623	2955926	7496
498	MDA	moldova	1.22147400000000E+06	644	2743879	7589
180	COD	democratic republic of the congo	0.00000000000000E+00	909	5917790	13487
428	LVA	latvia	4.23000000000000E+05	794	5572986	17451
191	HRV	croatia	1.57766300000000E+06	1843	9363305	26635
70	BIH	bosnia and herzegovina	8.46484000000000E+05	1276	9077454	26947
144	LKA	sri lanka	2.70678700000000E+06	1869	11872045	31454
780	TTO	trinidad and tobago	2.91291000000000E+05	216	3222597	9394
100	BGR	bulgaria	1.94242400000000E+06	1797	9396414	26534
388	JAM	jamaica	2.50340000000000E+05	363	3393538	9123
8	ALB	albania	2.81200000000000E+05	1535	8302985	23141
24	AGO	angola	2.14950000000000E+05	727	4117112	11212
422	LBN	lebanon	8.70000000000000E+05	2103	10491745	28502
458	MYS	malaysia	4.53580000000000E+06	1583	8991892	26779
508	MOZ	mozambique	7.75680000000000E+04	510	3320356	8927
764	THA	thailand	6.05600000000000E+06	1742	10201818	25955
300	GRC	greece	5.33252100000000E+06	3233	12349644	35028
558	NIC	nicaragua	3.24971000000000E+05	723	3757972	9785
562	NER	niger	1.00500000000000E+05	711	3238542	8754
124	CAN	canada	1.69210000000000E+07	3417	14180797	41982
4	AFG	afghanistan	9.57690000000000E+04	3010	12811496	34286
634	QAT	qatar	4.12584000000000E+05	325	2200454	5911
585	PLW	palau	7.26300000000000E+03	120	1516509	4406
226	GNQ	equatorial guinea	1.48730000000000E+04	167	1412177	3962
729	SDN	sudan	4.15571000000000E+05	748	5011562	13750
324	GIN	guinea	0.00000000000000E+00	225	1499153	3969
591	PAN	panama	5.86298000000000E+05	453	3567520	10326
524	NPL	nepal	8.29097000000000E+05	1983	12359198	31019
140	CAF	central african republic	8.00000000000000E+02	557	2733055	6687
442	LUX	luxembourg	2.67600000000000E+05	445	4297239	12666
716	ZWE	zimbabwe	3.04162000000000E+05	1994	7759641	18564
748	SWZ	swaziland	4.60000000000000E+04	174	1305466	3510
706	SOM	somalia	6.40000000000000E+04	2758	11573292	30219
798	TUV	tuvalu	1.45000000000000E+03	925	3622703	8914
862	VEN	venezuela	7.77377700000000E+06	1002	5647358	14170
662	LCA	saint lucia	3.35000000000000E+04	150	1856218	4866
96	BRN	brunei	5.67150000000000E+04	491	3348866	9852
364	IRN	iran	2.96885580000000E+07	5882	20529075	53463
784	ARE	united arab emirates	2.08601500000000E+06	556	3552603	8937
466	MLI	mali	1.26362000000000E+05	625	3401409	9256
682	SAU	saudi arabia	4.93971500000000E+06	1666	10453381	29624
659	KNA	saint kitts and nevis	1.92000000000000E+04	59	1396862	3739
756	CHE	switzerland	4.59332100000000E+06	900	7055535	23274
600	PRY	paraguay	4.37643000000000E+05	192	2667817	6873
156	CHN	china	2.66985000000000E+08	3598	15920522	47263
51	ARM	armenia	5.78450000000000E+05	3008	13593125	39051
296	KIR	kiribati	9.00000000000000E+03	112	990189	3050
84	BLZ	belize	2.40510000000000E+04	414	3294506	10922
788	TUN	tunisia	1.02197900000000E+06	1217	5287228	14404
804	UKR	ukraine	1.18309690000000E+07	3680	18180124	51204
434	LBY	libya	7.89000000000000E+05	1912	8030270	20645
270	GMB	gambia	6.41960000000000E+04	363	2260222	6453
246	FIN	finland	7.52200000000000E+05	656	5122395	13520
480	MUS	mauritius	3.63000000000000E+05	224	2507536	7547
28	ATG	antigua and barbuda	3.31330000000000E+04	55	1282394	3375
233	EST	estonia	4.26490000000000E+05	981	5722888	17295
760	SYR	syria	4.42877400000000E+06	3049	14605831	40095
214	DOM	dominican republic	1.17104900000000E+06	428	3088770	8806
104	MMR	burma	5.34810000000000E+05	2410	9196976	20975
586	PAK	pakistan	6.37086000000000E+06	4205	21477320	68229
642	ROU	romania	4.72000000000000E+06	789	5283644	15969
690	SYC	seychelles	2.17520000000000E+04	66	1450952	4500
203	CZE	czech republic	2.00100000000000E+06	348	3304578	9155
818	EGY	egypt	6.82089200000000E+06	3001	11672118	30922
598	PNG	papua new guinea	1.40000000000000E+05	387	3195466	8519
840	USA	united states	1.35127000000000E+08	15304	52182114	151469
40	AUT	austria	3.33400000000000E+06	1311	10892096	32445
496	MNG	mongolia	1.75698000000000E+05	1667	8899314	27064
170	COL	colombia	7.14146100000000E+06	1023	7038812	20089
340	HND	honduras	6.19095000000000E+05	722	3315102	6948
554	NZL	new zealand	1.85000000000000E+06	1427	6201233	15155
242	FJI	fiji	7.02250000000000E+04	343	2428571	6108
174	COM	comoros	2.30000000000000E+04	109	1375712	3984
792	TUR	turkey	1.35517050000000E+07	2857	14049568	44033
826	GBR	united kingdom	3.33838530000000E+07	8628	35289924	107339
450	MDG	madagascar	2.45603000000000E+05	635	4426741	10294
368	IRQ	iraq	1.90000000000000E+06	2568	11919538	33762
50	BGD	bangladesh	1.08234800000000E+06	3254	19238292	57315
478	MRT	mauritania	5.39930000000000E+04	494	2817073	7565
858	URY	uruguay	1.04844500000000E+06	454	3979898	10642
250	FRA	france	3.90800000000000E+07	1730	10752330	34546
44	BHS	bahamas	1.36000000000000E+05	400	2513540	6910
703	SVK	slovakia	9.67106000000000E+05	567	4087803	11688
372	IRL	ireland	2.03447300000000E+06	1615	6484724	16329
418	LAO	laos	7.01712000000000E+05	410	2605137	6778
410	KOR	south korea	3.03330770000000E+07	1484	6604974	14929
68	BOL	bolivia	8.74381000000000E+05	402	3681253	10308
454	MWI	malawi	3.35690000000000E+04	750	3050315	7024
218	ECU	ecuador	2.39477100000000E+06	898	5252818	12692
376	ISR	israel	2.90000000000000E+06	7951	25677910	65553
604	PER	peru	3.42018000000000E+06	633	5381479	16059
12	DZA	algeria	3.13000000000000E+06	721	6797727	19565
752	SWE	sweden	3.88690000000000E+06	2004	10834574	30870
356	IND	india	2.90329740000000E+07	5042	24381167	70861
834	TZA	tanzania	1.64999000000000E+05	556	4721413	11868
499	MNE	montenegro	1.69032000000000E+05	1239	6874308	19854
762	TJK	tajikistan	4.25000000000000E+05	569	3856874	11733
768	TGO	togo	6.25370000000000E+04	74	1478904	4415
400	JOR	jordan	3.78411000000000E+05	914	5592938	15060
152	CHL	chile	3.20325800000000E+06	1430	7410887	19636
512	OMN	oman	3.51411000000000E+05	244	2740041	7050
566	NGA	nigeria	3.60537000000000E+05	1168	7926035	20332
724	ESP	spain	1.93842450000000E+07	3334	16565176	45770
268	GEO	georgia	1.20028600000000E+06	1722	7851210	21567
578	NOR	norway	1.23669800000000E+06	1151	7215017	20016
694	SLE	sierra leone	1.60000000000000E+04	610	3195183	7907
504	MAR	morocco	2.92486100000000E+06	1463	8889048	23442
266	GAB	gabon	1.92520000000000E+04	185	2259207	6708
328	GUY	guyana	1.56805000000000E+05	569	3495270	9188
308	GRD	grenada	2.85850000000000E+04	124	1579737	4471
887	YEM	yemen	1.14300000000000E+06	925	5317491	14964
643	RUS	russia	4.04731480000000E+07	3858	19559146	53313
728	SSD	south sudan	0.00000000000000E+00	971	4079530	9758
48	BHR	bahrain	2.91499000000000E+05	984	5534198	14791
360	IDN	indonesia	3.07226510000000E+07	1109	6315182	17660
148	TCD	chad	3.13230000000000E+04	446	2572952	6902
484	MEX	mexico	2.05895100000000E+07	1935	10624402	27978
426	LSO	lesotho	5.76990000000000E+04	83	1161694	3443
112	BLR	belarus	4.46860000000000E+06	996	4888728	12776
670	VCT	saint vincent and the grenadines	1.90690000000000E+04	47	1275427	3160
800	UGA	uganda	2.07474000000000E+05	668	3381652	9634
108	BDI	burundi	2.12530000000000E+04	210	1796598	4801
404	KEN	kenya	2.04354000000000E+05	1096	8286607	20012
72	BWA	botswana	1.74165000000000E+05	139	1154682	2889
380	ITA	italy	2.10980330000000E+07	1847	9978083	33234
116	KHM	cambodia	4.20942000000000E+05	851	5165635	13715
231	ETH	ethiopia	7.61450000000000E+05	1109	6232319	16459
548	VUT	vanuatu	5.49700000000000E+03	265	2451779	7239
584	MHL	marshall islands		97	1014048	3239
120	CMR	cameroon	7.99016000000000E+05	956	4537626	11383
204	BEN	benin	1.59443000000000E+05	86	1013683	2666
76	BRA	brazil	4.50381170000000E+07	2424	12102945	32005
702	SGP	singapore	1.96700000000000E+06	1270	7965260	19928
90	SLB	solomon islands	7.61800000000000E+03	286	2615725	7016
352	ISL	iceland	1.68023000000000E+05	744	5735302	17749
674	SMR	san marino	1.87520000000000E+04	66	802513	1998
492	MCO	monaco	4.68500000000000E+04	288	2060126	5928
188	CRI	costa rica	9.68459000000000E+05	273	2105051	5162
705	SVN	slovenia	9.87356000000000E+05	587	3362613	9659
276	DEU	germany	4.87000000000000E+07	809	4940123	15076
710	ZAF	south africa	3.87558200000000E+06	3528	20480119	48536
212	DMA	dominica	1.71440000000000E+04	92	1002182	2597
795	TKM	turkmenistan	6.02000000000000E+05	707	4104779	12388
740	SUR	suriname	8.49410000000000E+04	156	1635993	4679
232	ERI	eritrea	6.19350000000000E+04	275	2382397	6381
776	TON	tonga	3.10000000000000E+04	155	1499371	3416
462	MDV	maldives	2.25570000000000E+04	178	1780819	5626
860	UZB	uzbekistan	2.00000000000000E+06	740	4951129	14191
222	SLV	el salvador	9.49682000000000E+05	398	2716148	7133
616	POL	poland	5.47744700000000E+06	2953	15472218	44481
132	CPV	cape verde	6.61770000000000E+04	97	1324986	3651
438	LIE	liechtenstein	1.83000000000000E+04	175	1092252	2825
704	VNM	vietnam	9.28900000000000E+06	2330	11515107	29006
414	KWT	kuwait	5.08000000000000E+05	837	5585031	12697
