id	code	country	indicator	citations	fsize	links
626	TLS	east timor	6.17894761929562E-02	287	1825108	4556
882	WSM	samoa	1.05057466434139E-01	209	1577359	4175
392	JPN	japan	2.89046130894996E+01	3366	16441329	44822
31	AZE	azerbaijan	1.70326831268551E+01	2002	9390161	24439
408	PRK	north korea	0.00000000000000E+00	2085	8090788	17766
262	DJI	djibouti	2.02845124247937E+00	155	1819059	5571
470	MLT	malta	3.27619322896756E+01	685	4545131	14276
624	GNB	guinea-bissau	0.00000000000000E+00	286	1784413	5321
348	HUN	hungary	2.48884749794097E+01	1099	6609895	16810
196	CYP	cyprus	1.99134043601019E+01	860	4993330	13832
52	BRB	barbados	2.38185241916218E+01	342	2542869	7487
64	BTN	bhutan	2.71650394523753E+00	552	3132760	8245
398	KAZ	kazakhstan	1.13373270271510E+01	760	5030223	15433
440	LTU	lithuania	2.20146751684575E+01	505	2661259	8709
178	COG	republic of the congo	9.84793705954090E-03	141	1469208	3847
583	FSM	micronesia	1.99229350355870E+00	159	1195659	3795
20	AND	andorra	3.50097200131283E+01	394	2196134	6844
516	NAM	namibia	1.46949071229945E+00	704	4735890	11635
646	RWA	rwanda	2.36147820213812E-02	967	3336595	8388
32	ARG	argentina	1.44375150405660E+01	990	5511252	15099
288	GHA	ghana	2.65570614143481E-01	947	8538852	21475
688	SRB	serbia	1.41960578886551E+01	1151	9300724	29834
36	AUS	australia	2.50144018094336E+01	2755	11101694	28276
192	CUB	cuba	4.75783464909061E-02	1614	7528766	21710
894	ZMB	zambia	9.22988670191985E-02	402	2458163	5416
417	KGZ	kyrgyzstan	2.44946055446478E+00	533	3545032	10445
320	GTM	guatemala	2.30909821910147E+00	1322	4848474	13327
56	BEL	belgium	3.43950763638014E+01	1488	10269267	29189
332	HTI	haiti		1113	5020928	12590
854	BFA	burkina faso	7.65404383236239E-02	259	1527119	4376
430	LBR	liberia	0.00000000000000E+00	365	1718839	3951
384	CIV	ivory coast	2.77026785572772E-01	262	2167518	5976
620	PRT	portugal	2.38406656161542E+01	647	4092352	13893
208	DNK	denmark	4.01586482950282E+01	2063	11934319	37996
608	PHL	philippines	9.12485199490772E+00	2188	15381963	47504
686	SEN	senegal	7.55189170525172E-01	623	2955926	7496
498	MDA	moldova	1.33938823194743E+01	644	2743879	7589
180	COD	democratic republic of the congo	0.00000000000000E+00	909	5917790	13487
428	LVA	latvia	2.35085598958600E+01	794	5572986	17451
