id	code	country	indicator	citations	fsize	links
626	TLS	east timor	7.00000000000000E+02	287	1825108	4556
882	WSM	samoa	2.00000000000000E+02	209	1577359	4175
392	JPN	japan	3.67503590000000E+07	3366	16441329	44822
31	AZE	azerbaijan	1.60335800000000E+06	2002	9390161	24439
408	PRK	north korea	0.00000000000000E+00	2085	8090788	17766
262	DJI	djibouti	1.77070000000000E+04	155	1819059	5571
470	MLT	malta	1.40550000000000E+05	685	4545131	14276
624	GNB	guinea-bissau	0.00000000000000E+00	286	1784413	5321
348	HUN	hungary	2.47763300000000E+06	1099	6609895	16810
196	CYP	cyprus	2.27245000000000E+05	860	4993330	13832
52	BRB	barbados	6.77980000000000E+04	342	2542869	7487
64	BTN	bhutan	2.04810000000000E+04	552	3132760	8245
398	KAZ	kazakhstan	1.86392300000000E+06	760	5030223	15433
440	LTU	lithuania	6.64168000000000E+05	505	2661259	8709
178	COG	republic of the congo	4.38000000000000E+02	141	1469208	3847
583	FSM	micronesia	2.06300000000000E+03	159	1195659	3795
20	AND	andorra	2.77340000000000E+04	394	2196134	6844
516	NAM	namibia	3.38470000000000E+04	704	4735890	11635
646	RWA	rwanda	2.78100000000000E+03	967	3336595	8388
32	ARG	argentina	5.98380800000000E+06	990	5511252	15099
288	GHA	ghana	6.87950000000000E+04	947	8538852	21475
688	SRB	serbia	1.09375700000000E+06	1151	9300724	29834
36	AUS	australia	5.83900000000000E+06	2755	11101694	28276
192	CUB	cuba	5.36000000000000E+03	1614	7528766	21710
894	ZMB	zambia	1.34190000000000E+04	402	2458163	5416
417	KGZ	kyrgyzstan	1.35885000000000E+05	533	3545032	10445
320	GTM	guatemala	3.57176000000000E+05	1322	4848474	13327
56	BEL	belgium	3.81939300000000E+06	1488	10269267	29189
332	HTI	haiti		1113	5020928	12590
854	BFA	burkina faso	1.29620000000000E+04	259	1527119	4376
430	LBR	liberia	0.00000000000000E+00	365	1718839	3951
384	CIV	ivory coast	5.62810000000000E+04	262	2167518	5976
620	PRT	portugal	2.52905500000000E+06	647	4092352	13893
208	DNK	denmark	2.25655300000000E+06	2063	11934319	37996
608	PHL	philippines	8.97826800000000E+06	2188	15381963	47504
686	SEN	senegal	1.06733000000000E+05	623	2955926	7496
498	MDA	moldova	4.67072000000000E+05	644	2743879	7589
180	COD	democratic republic of the congo	0.00000000000000E+00	909	5917790	13487
428	LVA	latvia	4.82000000000000E+05	794	5572986	17451
191	HRV	croatia	9.23885000000000E+05	1843	9363305	26635
70	BIH	bosnia and herzegovina	4.50279000000000E+05	1276	9077454	26947
144	LKA	sri lanka	4.24357000000000E+05	1869	11872045	31454
780	TTO	trinidad and tobago	1.95212000000000E+05	216	3222597	9394
100	BGR	bulgaria	1.39657900000000E+06	1797	9396414	26534
388	JAM	jamaica	1.40816000000000E+05	363	3393538	9123
8	ALB	albania	1.82556000000000E+05	1535	8302985	23141
24	AGO	angola	2.22820000000000E+04	727	4117112	11212
422	LBN	lebanon	4.80000000000000E+05	2103	10491745	28502
458	MYS	malaysia	2.44310000000000E+06	1583	8991892	26779
508	MOZ	mozambique	1.79830000000000E+04	510	3320356	8927
764	THA	thailand	4.93000000000000E+06	1742	10201818	25955
300	GRC	greece	2.91007400000000E+06	3233	12349644	35028
558	NIC	nicaragua	1.31687000000000E+05	723	3757972	9785
562	NER	niger	6.40000000000000E+03	711	3238542	8754
124	CAN	canada	1.16814490000000E+07	3417	14180797	41982
4	AFG	afghanistan	1.50000000000000E+03	3010	12811496	34286
634	QAT	qatar	2.15487000000000E+05	325	2200454	5911
585	PLW	palau	1.08600000000000E+03	120	1516509	4406
226	GNQ	equatorial guinea	3.51800000000000E+03	167	1412177	3962
729	SDN	sudan	4.46620000000000E+04	748	5011562	13750
324	GIN	guinea	8.00000000000000E+02	225	1499153	3969
591	PAN	panama	2.97827000000000E+05	453	3567520	10326
524	NPL	nepal	3.11457000000000E+05	1983	12359198	31019
140	CAF	central african republic	0.00000000000000E+00	557	2733055	6687
442	LUX	luxembourg	1.76500000000000E+05	445	4297239	12666
716	ZWE	zimbabwe	1.03574000000000E+05	1994	7759641	18564
748	SWZ	swaziland	4.20000000000000E+03	174	1305466	3510
706	SOM	somalia	6.00000000000000E+04	2758	11573292	30219
798	TUV	tuvalu	7.00000000000000E+02	925	3622703	8914
862	VEN	venezuela	2.22283200000000E+06	1002	5647358	14170
662	LCA	saint lucia	2.50000000000000E+04	150	1856218	4866
96	BRN	brunei	2.38410000000000E+04	491	3348866	9852
364	IRN	iran	4.35120200000000E+06	5882	20529075	53463
784	ARE	united arab emirates	1.03875900000000E+06	556	3552603	8937
466	MLI	mali	2.90900000000000E+03	625	3401409	9256
682	SAU	saudi arabia	2.12000000000000E+06	1666	10453381	29624
659	KNA	saint kitts and nevis	1.33000000000000E+04	59	1396862	3739
756	CHE	switzerland	3.43448300000000E+06	900	7055535	23274
600	PRY	paraguay	1.15772000000000E+05	192	2667817	6873
156	CHN	china	1.88909000000000E+08	3598	15920522	47263
51	ARM	armenia	2.34420000000000E+05	3008	13593125	39051
296	KIR	kiribati	1.10000000000000E+03	112	990189	3050
84	BLZ	belize		414	3294506	10922
788	TUN	tunisia	5.33989000000000E+05	1217	5287228	14404
804	UKR	ukraine	3.99483100000000E+06	3680	18180124	51204
434	LBY	libya	6.47000000000000E+04	1912	8030270	20645
270	GMB	gambia	4.38000000000000E+02	363	2260222	6453
246	FIN	finland	1.67270000000000E+06	656	5122395	13520
480	MUS	mauritius	1.56000000000000E+05	224	2507536	7547
