id	code	country	indicator	citations	fsize	links
626	TLS	east timor	8.47408075290513E-01	287	1825108	4556
882	WSM	samoa	2.62643666085349E+01	209	1577359	4175
392	JPN	japan	7.36665744165708E+02	3366	16441329	44822
31	AZE	azerbaijan	8.49545402945225E+00	2002	9390161	24439
408	PRK	north korea	4.01679340988806E-02	2085	8090788	17766
262	DJI	djibouti	4.58225841188088E+00	155	1819059	5571
470	MLT	malta	1.46915020761785E+03	685	4545131	14276
624	GNB	guinea-bissau	1.17353330340823E+00	286	1784413	5321
348	HUN	hungary	2.49547726331146E+02	1099	6609895	16810
196	CYP	cyprus	6.21294360329698E+02	860	4993330	13832
52	BRB	barbados	3.40776548952376E+02	342	2542869	7487
64	BTN	bhutan	9.28447225070197E+00	552	3132760	8245
398	KAZ	kazakhstan	9.39227573373485E+00	760	5030223	15433
440	LTU	lithuania	2.56619272682152E+02	505	2661259	8709
178	COG	republic of the congo	1.12419372825809E+00	141	1469208	3847
583	FSM	micronesia	1.93145274218003E+01	159	1195659	3795
20	AND	andorra	6.43793077330910E+02	394	2196134	6844
516	NAM	namibia	1.82345879742892E+01	704	4735890	11635
646	RWA	rwanda	2.54744142625471E+00	967	3336595	8388
32	ARG	argentina	4.28748118707784E+01	990	5511252	15099
288	GHA	ghana	2.62501660902053E+00	947	8538852	21475
688	SRB	serbia	3.47564785238463E+01	1151	9300724	29834
36	AUS	australia	1.25235091420838E+03	2755	11101694	28276
192	CUB	cuba	4.43827859056960E-01	1614	7528766	21710
894	ZMB	zambia	2.75128897888661E+00	402	2458163	5416
417	KGZ	kyrgyzstan	5.41995943772292E+00	533	3545032	10445
320	GTM	guatemala	1.33176426505393E+01	1322	4848474	13327
56	BEL	belgium	7.38275516804040E+02	1488	10269267	29189
332	HTI	haiti	1.06615377562367E+00	1113	5020928	12590
854	BFA	burkina faso	8.26698145757394E-01	259	1527119	4376
430	LBR	liberia	9.31515666812682E-01	365	1718839	3951
384	CIV	ivory coast	1.96888317956520E+00	262	2167518	5976
620	PRT	portugal	2.18412122829087E+02	647	4092352	13893
208	DNK	denmark	2.10260783211622E+03	2063	11934319	37996
608	PHL	philippines	8.05946941209799E+00	2188	15381963	47504
686	SEN	senegal	2.19340450341322E+00	623	2955926	7496
498	MDA	moldova	2.47290622121383E+01	644	2743879	7589
180	COD	democratic republic of the congo	3.40671713081188E-01	909	5917790	13487
428	LVA	latvia	2.72278248495638E+02	794	5572986	17451
191	HRV	croatia	1.93152712832202E+02	1843	9363305	26635
70	BIH	bosnia and herzegovina	2.40252348531993E+01	1276	9077454	26947
144	LKA	sri lanka	8.98305912219890E+00	1869	11872045	31454
780	TTO	trinidad and tobago	9.32035244353544E+01	216	3222597	9394
100	BGR	bulgaria	1.45902714547533E+02	1797	9396414	26534
388	JAM	jamaica	4.45715860191091E+01	363	3393538	9123
8	ALB	albania	1.76021945449764E+01	1535	8302985	23141
24	AGO	angola	3.86556802566066E+00	727	4117112	11212
422	LBN	lebanon	4.29781147381357E+01	2103	10491745	28502
458	MYS	malaysia	6.68305124698972E+01	1583	8991892	26779
508	MOZ	mozambique	1.58707105340332E+00	510	3320356	8927
764	THA	thailand	1.81016402473750E+01	1742	10201818	25955
300	GRC	greece	1.36295018956615E+02	3233	12349644	35028
558	NIC	nicaragua	8.38749848284954E+00	723	3757972	9785
562	NER	niger	1.68243765026271E-01	711	3238542	8754
124	CAN	canada	1.03537893637358E+03	3417	14180797	41982
4	AFG	afghanistan	9.81942920705425E-01	3010	12811496	34286
634	QAT	qatar	1.61850126782599E+02	325	2200454	5911
585	PLW	palau	9.56114351276413E+01	120	1516509	4406
226	GNQ	equatorial guinea	1.32097953274312E+00	167	1412177	3962
729	SDN	sudan	4.06004984238988E-02	748	5011562	13750
324	GIN	guinea	8.51412437892655E-02	225	1499153	3969
591	PAN	panama	8.97993618293191E+01	453	3567520	10326
524	NPL	nepal	2.37431790972822E+00	1983	12359198	31019
140	CAF	central african republic	2.16618212782771E-01	557	2733055	6687
442	LUX	luxembourg	2.19007656065960E+03	445	4297239	12666
716	ZWE	zimbabwe	3.18029112809025E+00	1994	7759641	18564
748	SWZ	swaziland	8.80342277077328E+00	174	1305466	3510
706	SOM	somalia		2758	11573292	30219
798	TUV	tuvalu		925	3622703	8914
862	VEN	venezuela	1.10836278799220E+01	1002	5647358	14170
662	LCA	saint lucia	7.13215890450039E+01	150	1856218	4866
96	BRN	brunei	1.17285487237424E+02	491	3348866	9852
364	IRN	iran	1.26537874180241E+00	5882	20529075	53463
784	ARE	united arab emirates	1.94198047127319E+02	556	3552603	8937
466	MLI	mali	1.04563886901086E+00	625	3401409	9256
682	SAU	saudi arabia	3.42365136059790E+01	1666	10453381	29624
659	KNA	saint kitts and nevis	1.38399365208245E+03	59	1396862	3739
756	CHE	switzerland	2.21108758481060E+03	900	7055535	23274
600	PRY	paraguay	1.54359668317825E+01	192	2667817	6873
156	CHN	china	3.87363892204099E+00	3598	15920522	47263
51	ARM	armenia	4.03149132255089E+01	3008	13593125	39051
296	KIR	kiribati	9.77030024132642E+00	112	990189	3050
84	BLZ	belize	1.77764386863513E+02	414	3294506	10922
788	TUN	tunisia	1.69935240894686E+01	1217	5287228	14404
804	UKR	ukraine	2.64895712426577E+01	3680	18180124	51204
434	LBY	libya	3.38626604666823E+00	1912	8030270	20645
270	GMB	gambia	4.32599626342073E+00	363	2260222	6453
246	FIN	finland	1.54698351085462E+03	656	5122395	13520
480	MUS	mauritius	1.31092525104219E+02	224	2507536	7547
28	ATG	antigua and barbuda	6.89003722842696E+02	55	1282394	3375
233	EST	estonia	7.52657251875384E+02	981	5722888	17295
760	SYR	syria	4.37722007130492E-01	3049	14605831	40095
214	DOM	dominican republic	2.03772462669990E+01	428	3088770	8806
104	MMR	burma	1.31433140581000E-01	2410	9196976	20975
586	PAK	pakistan	1.27921753436761E+00	4205	21477320	68229
642	ROU	romania	6.89642816068858E+01	789	5283644	15969
690	SYC	seychelles	6.16778621331569E+02	66	1450952	4500
203	CZE	czech republic	5.63900192043729E+02	348	3304578	9155
818	EGY	egypt	3.47322178904850E+00	3001	11672118	30922
598	PNG	papua new guinea	7.78554298425599E+00	387	3195466	8519
840	USA	united states	1.30597069633372E+03	15304	52182114	151469
40	AUT	austria	1.07856024825046E+03	1311	10892096	32445
496	MNG	mongolia	2.21903417066063E+01	1667	8899314	27064
170	COL	colombia	3.34841257202683E+01	1023	7038812	20089
340	HND	honduras	9.13841086492836E+00	722	3315102	6948
554	NZL	new zealand	1.10803448819252E+03	1427	6201233	15155
242	FJI	fiji	3.06447310924847E+01	343	2428571	6108
174	COM	comoros	1.36069787472599E+00	109	1375712	3984
792	TUR	turkey	5.04319606191379E+01	2857	14049568	44033
826	GBR	united kingdom	1.19327473932203E+03	8628	35289924	107339
450	MDG	madagascar	6.54311777206317E-01	635	4426741	10294
368	IRQ	iraq	2.69320160505240E-01	2568	11919538	33762
50	BGD	bangladesh	7.66308177909325E-01	3254	19238292	57315
478	MRT	mauritania	2.05661871317367E+00	494	2817073	7565
858	URY	uruguay	7.51380514942200E+01	454	3979898	10642
250	FRA	france	4.86776846043333E+02	1730	10752330	34546
44	BHS	bahamas	2.67639000037098E+02	400	2513540	6910
703	SVK	slovakia	2.62866560768819E+02	567	4087803	11688
372	IRL	ireland	7.18207361386197E+02	1615	6484724	16329
418	LAO	laos	1.03401510873334E+00	410	2605137	6778
410	KOR	south korea	1.99489566528206E+03	1484	6604974	14929
68	BOL	bolivia	8.90246645175800E+00	402	3681253	10308
454	MWI	malawi	9.16726574748327E-01	750	3050315	7024
218	ECU	ecuador	2.44632726216330E+01	898	5252818	12692
376	ISR	israel	2.70364166511570E+02	7951	25677910	65553
604	PER	peru	2.13658309927214E+01	633	5381479	16059
12	DZA	algeria	1.53029236694758E+00	721	6797727	19565
752	SWE	sweden	1.43796406371040E+03	2004	10834574	30870
356	IND	india	3.90451672929925E+00	5042	24381167	70861
834	TZA	tanzania	1.07607383133408E+00	556	4721413	11868
499	MNE	montenegro	3.70142086281730E+01	1239	6874308	19854
762	TJK	tajikistan	1.21834822682817E+00	569	3856874	11733
768	TGO	togo	3.08054209326062E+00	74	1478904	4415
400	JOR	jordan	2.69349845201238E+01	914	5592938	15060
152	CHL	chile	9.35883840980793E+01	1430	7410887	19636
512	OMN	oman	6.27676572577581E+01	244	2740041	7050
566	NGA	nigeria	1.67611912414770E+00	1168	7926035	20332
724	ESP	spain	2.69210328881710E+02	3334	16565176	45770
268	GEO	georgia	2.87484400071314E+01	1722	7851210	21567
578	NOR	norway	1.72710891730703E+03	1151	7215017	20016
694	SLE	sierra leone	8.20738418354994E-01	610	3195183	7907
504	MAR	morocco	3.63546578648001E+00	1463	8889048	23442
266	GAB	gabon	9.57103231359966E+00	185	2259207	6708
328	GUY	guyana	1.25060498015915E+01	569	3495270	9188
308	GRD	grenada	2.83294144310037E+01	124	1579737	4471
887	YEM	yemen	6.55539404248248E-01	925	5317491	14964
643	RUS	russia	5.11359380341142E+01	3858	19559146	53313
728	SSD	south sudan		971	4079530	9758
48	BHR	bahrain	1.41873678379127E+02	984	5534198	14791
360	IDN	indonesia	4.11821344088735E+00	1109	6315182	17660
148	TCD	chad		446	2572952	6902
484	MEX	mexico	2.64525181101043E+01	1935	10624402	27978
426	LSO	lesotho	4.82051998949127E-01	83	1161694	3443
112	BLR	belarus	2.60933868582295E+01	996	4888728	12776
670	VCT	saint vincent and the grenadines	2.37718632569281E+02	47	1275427	3160
800	UGA	uganda	1.17087057100910E+00	668	3381652	9634
