id	code	country	indicator	citations	fsize	links
626	TLS	east timor	1.1	287	1825108	4556
882	WSM	samoa	15.3	209	1577359	4175
392	JPN	japan	86.25	3366	16441329	44822
31	AZE	azerbaijan	58.7	2002	9390161	24439
408	PRK	north korea		2085	8090788	17766
262	DJI	djibouti	9.5	155	1819059	5571
470	MLT	malta	68.9138	685	4545131	14276
624	GNB	guinea-bissau	3.1	286	1784413	5321
348	HUN	hungary	72.6439	1099	6609895	16810
196	CYP	cyprus	65.4548	860	4993330	13832
52	BRB	barbados	75	342	2542869	7487
64	BTN	bhutan	29.9	552	3132760	8245
398	KAZ	kazakhstan	54	760	5030223	15433
440	LTU	lithuania	68.4529	505	2661259	8709
178	COG	republic of the congo	6.6	141	1469208	3847
583	FSM	micronesia	27.8	159	1195659	3795
20	AND	andorra	94	394	2196134	6844
516	NAM	namibia	13.9	704	4735890	11635
646	RWA	rwanda	8.7	967	3336595	8388
32	ARG	argentina	59.9	990	5511252	15099
288	GHA	ghana	12.3	947	8538852	21475
688	SRB	serbia	51.5	1151	9300724	29834
36	AUS	australia	83	2755	11101694	28276
192	CUB	cuba	25.70893209	1614	7528766	21710
894	ZMB	zambia	15.4	402	2458163	5416
320	GTM	guatemala	19.7	1322	4848474	13327
56	BEL	belgium	82.1702	1488	10269267	29189
332	HTI	haiti	10.6	1113	5020928	12590
854	BFA	burkina faso	4.4	259	1527119	4376
430	LBR	liberia	4.6	365	1718839	3951
417	KGZ	kyrgyzstan	23.4	533	3545032	10445
620	PRT	portugal	62.0956	647	4092352	13893
208	DNK	denmark	94.6297	2063	11934319	37996
608	PHL	philippines	37	2188	15381963	47504
686	SEN	senegal	20.9	623	2955926	7496
498	MDA	moldova	48.8	644	2743879	7589
180	COD	democratic republic of the congo	2.2	909	5917790	13487
428	LVA	latvia	75.2344	794	5572986	17451
191	HRV	croatia	66.7476	1843	9363305	26635
70	BIH	bosnia and herzegovina	67.9	1276	9077454	26947
144	LKA	sri lanka	21.9	1869	11872045	31454
780	TTO	trinidad and tobago	63.8	216	3222597	9394
100	BGR	bulgaria	53.0615	1797	9396414	26534
388	JAM	jamaica	37.8	363	3393538	9123
8	ALB	albania	60.1	1535	8302985	23141
24	AGO	angola	19.1	727	4117112	11212
384	CIV	ivory coast	2.6	262	2167518	5976
422	LBN	lebanon	70.5	2103	10491745	28502
458	MYS	malaysia	66.97	1583	8991892	26779
508	MOZ	mozambique	5.4	510	3320356	8927
764	THA	thailand	28.94	1742	10201818	25955
300	GRC	greece	59.8663	3233	12349644	35028
558	NIC	nicaragua	15.5	723	3757972	9785
562	NER	niger	1.7	711	3238542	8754
124	CAN	canada	85.8	3417	14180797	41982
4	AFG	afghanistan	5.9	3010	12811496	34286
634	QAT	qatar	85.3	325	2200454	5911
585	PLW	palau		120	1516509	4406
226	GNQ	equatorial guinea	16.4	167	1412177	3962
729	SDN	sudan	22.7	748	5011562	13750
324	GIN	guinea	1.6	225	1499153	3969
591	PAN	panama	42.9	453	3567520	10326
524	NPL	nepal	13.3	1983	12359198	31019
140	CAF	central african republic	3.5	557	2733055	6687
442	LUX	luxembourg	93.7765	445	4297239	12666
716	ZWE	zimbabwe	18.5	1994	7759641	18564
748	SWZ	swaziland	24.7	174	1305466	3510
706	SOM	somalia	1.5	2758	11573292	30219
798	TUV	tuvalu	37	925	3622703	8914
862	VEN	venezuela	54.9	1002	5647358	14170
96	BRN	brunei	64.5	491	3348866	9852
364	IRN	iran	31.4	5882	20529075	53463
784	ARE	united arab emirates	88	556	3552603	8937
466	MLI	mali	2.3	625	3401409	9256
682	SAU	saudi arabia	60.5	1666	10453381	29624
659	KNA	saint kitts and nevis	80	59	1396862	3739
756	CHE	switzerland	86.7	900	7055535	23274
600	PRY	paraguay	36.9	192	2667817	6873
156	CHN	china	45.8	3598	15920522	47263
51	ARM	armenia	46.3	3008	13593125	39051
296	KIR	kiribati	11.5	112	990189	3050
84	BLZ	belize	31.7	414	3294506	10922
788	TUN	tunisia	43.8	1217	5287228	14404
804	UKR	ukraine	41.8	3680	18180124	51204
434	LBY	libya	16.5	1912	8030270	20645
270	GMB	gambia	14	363	2260222	6453
246	FIN	finland	91.5144	656	5122395	13520
480	MUS	mauritius	39	224	2507536	7547
28	ATG	antigua and barbuda	63.4	55	1282394	3375
233	EST	estonia	80.0043	981	5722888	17295
760	SYR	syria	26.2	3049	14605831	40095
214	DOM	dominican republic	45.9	428	3088770	8806
104	MMR	burma	1.2	2410	9196976	20975
586	PAK	pakistan	10.9	4205	21477320	68229
642	ROU	romania	49.7645	789	5283644	15969
690	SYC	seychelles	50.4	66	1450952	4500
203	CZE	czech republic	74.1104	348	3304578	9155
818	EGY	egypt	49.56	3001	11672118	30922
598	PNG	papua new guinea	6.5	387	3195466	8519
840	USA	united states	84.2	15304	52182114	151469
40	AUT	austria	80.6188	1311	10892096	32445
496	MNG	mongolia	17.7	1667	8899314	27064
170	COL	colombia	51.7	1023	7038812	20089
340	HND	honduras	17.8	722	3315102	6948
554	NZL	new zealand	82.78	1427	6201233	15155
242	FJI	fiji	37.1	343	2428571	6108
174	COM	comoros	6.5	109	1375712	3984
792	TUR	turkey	46.25	2857	14049568	44033
826	GBR	united kingdom	89.8441	8628	35289924	107339
450	MDG	madagascar	2.2	635	4426741	10294
368	IRQ	iraq	9.2	2568	11919538	33762
50	BGD	bangladesh	6.5	3254	19238292	57315
478	MRT	mauritania	6.2	494	2817073	7565
858	URY	uruguay	58.1	454	3979898	10642
250	FRA	france	81.9198	1730	10752330	34546
44	BHS	bahamas	72	400	2513540	6910
703	SVK	slovakia	77.8826	567	4087803	11688
372	IRL	ireland	78.2477	1615	6484724	16329
418	LAO	laos	12.5	410	2605137	6778
410	KOR	south korea	84.77	1484	6604974	14929
68	BOL	bolivia	39.5	402	3681253	10308
454	MWI	malawi	5.4	750	3050315	7024
218	ECU	ecuador	40.35368423	898	5252818	12692
376	ISR	israel	70.8	7951	25677910	65553
604	PER	peru	39.2	633	5381479	16059
12	DZA	algeria	16.5	721	6797727	19565
674	SMR	san marino	50.8	66	802513	1998
834	TZA	tanzania	4.4	556	4721413	11868
499	MNE	montenegro	56.8	1239	6874308	19854
762	TJK	tajikistan	16	569	3856874	11733
768	TGO	togo	4.5	74	1478904	4415
400	JOR	jordan	44.2	914	5592938	15060
152	CHL	chile	66.5	1430	7410887	19636
512	OMN	oman	66.45	244	2740041	7050
566	NGA	nigeria	38	1168	7926035	20332
724	ESP	spain	71.5719	3334	16565176	45770
268	GEO	georgia	43.1	1722	7851210	21567
578	NOR	norway	95.0534	1151	7215017	20016
694	SLE	sierra leone	1.7	610	3195183	7907
504	MAR	morocco	56	1463	8889048	23442
752	SWE	sweden	94.7836	2004	10834574	30870
266	GAB	gabon	9.2	185	2259207	6708
328	GUY	guyana	33	569	3495270	9188
308	GRD	grenada	35	124	1579737	4471
887	YEM	yemen	20	925	5317491	14964
643	RUS	russia	61.4	3858	19559146	53313
728	SSD	south sudan		971	4079530	9758
48	BHR	bahrain	90	984	5534198	14791
360	IDN	indonesia	15.82	1109	6315182	17660
148	TCD	chad	2.3	446	2572952	6902
