id	code	country	indicator	citations	fsize	links
626	TLS	east timor	1.33000000000000E+03	287	1825108	4556
882	WSM	samoa		209	1577359	4175
392	JPN	japan	2.59800000000000E+05	3366	16441329	44822
31	AZE	azerbaijan	8.19500000000000E+04	2002	9390161	24439
408	PRK	north korea	1.37900000000000E+06	2085	8090788	17766
262	DJI	djibouti	1.29500000000000E+04	155	1819059	5571
470	MLT	malta	2.13000000000000E+03	685	4545131	14276
624	GNB	guinea-bissau	6.45000000000000E+03	286	1784413	5321
348	HUN	hungary	3.85000000000000E+04	1099	6609895	16810
196	CYP	cyprus	1.27500000000000E+04	860	4993330	13832
52	BRB	barbados	6.10000000000000E+02	342	2542869	7487
64	BTN	bhutan		552	3132760	8245
398	KAZ	kazakhstan	7.05000000000000E+04	760	5030223	15433
440	LTU	lithuania	2.19500000000000E+04	505	2661259	8709
178	COG	republic of the congo	1.20000000000000E+04	141	1469208	3847
583	FSM	micronesia		159	1195659	3795
20	AND	andorra		394	2196134	6844
516	NAM	namibia	1.52000000000000E+04	704	4735890	11635
646	RWA	rwanda	3.50000000000000E+04	967	3336595	8388
32	ARG	argentina	1.05650000000000E+05	990	5511252	15099
288	GHA	ghana	1.55000000000000E+04	947	8538852	21475
688	SRB	serbia	2.81500000000000E+04	1151	9300724	29834
36	AUS	australia	5.67500000000000E+04	2755	11101694	28276
192	CUB	cuba	7.55000000000000E+04	1614	7528766	21710
894	ZMB	zambia	1.65000000000000E+04	402	2458163	5416
417	KGZ	kyrgyzstan	2.04000000000000E+04	533	3545032	10445
320	GTM	guatemala	4.23000000000000E+04	1322	4848474	13327
56	BEL	belgium	3.75000000000000E+04	1488	10269267	29189
332	HTI	haiti	1.20000000000000E+02	1113	5020928	12590
854	BFA	burkina faso	1.14500000000000E+04	259	1527119	4376
430	LBR	liberia	2.05000000000000E+03	365	1718839	3951
384	CIV	ivory coast		262	2167518	5976
620	PRT	portugal	7.98500000000000E+04	647	4092352	13893
208	DNK	denmark	1.72000000000000E+04	2063	11934319	37996
