id	code	country	indicator	citations	fsize	links
626	TLS	east timor		287	1825108	4556
882	WSM	samoa	4.80000004172325E+00	209	1577359	4175
392	JPN	japan	3.18515822291374E+00	3366	16441329	44822
31	AZE	azerbaijan	2.59999986737967E+00	2002	9390161	24439
408	PRK	north korea		2085	8090788	17766
262	DJI	djibouti		155	1819059	5571
470	MLT	malta	7.00000002980232E+00	685	4545131	14276
624	GNB	guinea-bissau	2.30000000447035E+00	286	1784413	5321
348	HUN	hungary	4.50000017881393E+00	1099	6609895	16810
196	CYP	cyprus	6.70000016689301E+00	860	4993330	13832
52	BRB	barbados		342	2542869	7487
64	BTN	bhutan	3.40000018477440E+00	552	3132760	8245
398	KAZ	kazakhstan	4.41339761018753E+00	760	5030223	15433
440	LTU	lithuania	4.90000024437904E+00	505	2661259	8709
178	COG	republic of the congo	2.50000003725290E+00	141	1469208	3847
583	FSM	micronesia	2.36288294196129E+01	159	1195659	3795
20	AND	andorra		394	2196134	6844
516	NAM	namibia	8.30000042915344E+00	704	4735890	11635
646	RWA	rwanda	4.30000014603137E+00	967	3336595	8388
32	ARG	argentina	5.69999963045120E+00	990	5511252	15099
288	GHA	ghana	8.19999948143959E+00	947	8538852	21475
688	SRB	serbia	4.80000004172325E+00	1151	9300724	29834
36	AUS	australia	4.90000024437904E+00	2755	11101694	28276
192	CUB	cuba		1614	7528766	21710
894	ZMB	zambia	1.29999993368983E+00	402	2458163	5416
417	KGZ	kyrgyzstan	7.00000002980232E+00	533	3545032	10445
320	GTM	guatemala	2.93403994292021E+00	1322	4848474	13327
56	BEL	belgium	6.30000010132790E+00	1488	10269267	29189
332	HTI	haiti	1.46165201440454E+00	1113	5020928	12590
854	BFA	burkina faso	3.09999994933605E+00	259	1527119	4376
430	LBR	liberia	3.70000004768372E+00	365	1718839	3951
384	CIV	ivory coast	4.30000014603137E+00	262	2167518	5976
620	PRT	portugal	5.69999963045120E+00	647	4092352	13893
208	DNK	denmark	8.10000002384186E+00	2063	11934319	37996
608	PHL	philippines	2.40000002086163E+00	2188	15381963	47504
686	SEN	senegal	5.19999973475933E+00	623	2955926	7496
498	MDA	moldova	7.29999989271164E+00	644	2743879	7589
180	COD	democratic republic of the congo	2.40000002086163E+00	909	5917790	13487
428	LVA	latvia	5.57347796857357E+00	794	5572986	17451
191	HRV	croatia	4.19999994337559E+00	1843	9363305	26635
70	BIH	bosnia and herzegovina		1276	9077454	26947
144	LKA	sri lanka	1.39999995008111E+00	1869	11872045	31454
780	TTO	trinidad and tobago	2.90000010281801E+00	216	3222597	9394
100	BGR	bulgaria	4.09999974071980E+00	1797	9396414	26534
388	JAM	jamaica	6.30000010132790E+00	363	3393538	9123
8	ALB	albania	2.84280404448509E+00	1535	8302985	23141
24	AGO	angola	3.59999984502792E+00	727	4117112	11212
422	LBN	lebanon	1.79999992251396E+00	2103	10491745	28502
458	MYS	malaysia	4.39999997615814E+00	1583	8991892	26779
508	MOZ	mozambique	3.99999991059303E+00	510	3320356	8927
764	THA	thailand	4.09999974071980E+00	1742	10201818	25955
300	GRC	greece	3.20000015199184E+00	3233	12349644	35028
558	NIC	nicaragua	4.19999994337559E+00	723	3757972	9785
562	NER	niger	3.79999987781048E+00	711	3238542	8754
124	CAN	canada	5.00000007450581E+00	3417	14180797	41982
4	AFG	afghanistan	1.60000007599592E+00	3010	12811496	34286
634	QAT	qatar	1.79999992251396E+00	325	2200454	5911
585	PLW	palau		120	1516509	4406
226	GNQ	equatorial guinea	9.99999977648258E-01	167	1412177	3962
729	SDN	sudan	2.19999998807907E+00	748	5011562	13750
324	GIN	guinea	2.59999986737967E+00	225	1499153	3969
591	PAN	panama	2.99999993294477E+00	453	3567520	10326
524	NPL	nepal	4.19999994337559E+00	1983	12359198	31019
140	CAF	central african republic	1.20000001043081E+00	557	2733055	6687
442	LUX	luxembourg	3.50000001490116E+00	445	4297239	12666
716	ZWE	zimbabwe	2.40000002086163E+00	1994	7759641	18564
748	SWZ	swaziland	8.79999995231628E+00	174	1305466	3510
706	SOM	somalia		2758	11573292	30219
798	TUV	tuvalu		925	3622703	8914
862	VEN	venezuela	5.80000020563602E+00	1002	5647358	14170
662	LCA	saint lucia	4.09999974071980E+00	150	1856218	4866
96	BRN	brunei		491	3348866	9852
364	IRN	iran	3.22062969207764E+00	5882	20529075	53463
784	ARE	united arab emirates		556	3552603	8937
466	MLI	mali	4.19999994337559E+00	625	3401409	9256
682	SAU	saudi arabia	7.18618705868721E+00	1666	10453381	29624
659	KNA	saint kitts and nevis	3.29999998211861E+00	59	1396862	3739
756	CHE	switzerland	4.80000004172325E+00	900	7055535	23274
600	PRY	paraguay	4.60000000894070E+00	192	2667817	6873
156	CHN	china	1.79999992251396E+00	3598	15920522	47263
51	ARM	armenia	2.90000010281801E+00	3008	13593125	39051
296	KIR	kiribati	6.10000006854534E+00	112	990189	3050
84	BLZ	belize	6.70000016689301E+00	414	3294506	10922
788	TUN	tunisia	5.80000020563602E+00	1217	5287228	14404
804	UKR	ukraine	5.90000003576279E+00	3680	18180124	51204
434	LBY	libya		1912	8030270	20645
270	GMB	gambia	2.50000003725290E+00	363	2260222	6453
246	FIN	finland	6.30000010132790E+00	656	5122395	13520
480	MUS	mauritius	3.20000015199184E+00	224	2507536	7547
28	ATG	antigua and barbuda	2.09999997168779E+00	55	1282394	3375
