id	code	country	indicator	citations	fsize	links
626	TLS	east timor		287	1825108	4556
882	WSM	samoa	2.25070074200630E-01	209	1577359	4175
392	JPN	japan	2.41380602121353E-01	3366	16441329	44822
31	AZE	azerbaijan	7.28000402450562E-01	2002	9390161	24439
408	PRK	north korea		2085	8090788	17766
262	DJI	djibouti		155	1819059	5571
470	MLT	malta	3.11885148286819E-01	685	4545131	14276
624	GNB	guinea-bissau	2.71349340677261E-01	286	1784413	5321
348	HUN	hungary	4.06215578317642E-01	1099	6609895	16810
196	CYP	cyprus	3.40280205011368E-01	860	4993330	13832
52	BRB	barbados		342	2542869	7487
64	BTN	bhutan	3.38326126337051E-01	552	3132760	8245
398	KAZ	kazakhstan	1.47191643714905E+00	760	5030223	15433
440	LTU	lithuania	3.55163156986237E-01	505	2661259	8709
178	COG	republic of the congo	2.08207547664642E-01	141	1469208	3847
583	FSM	micronesia	3.00713181495667E-01	159	1195659	3795
20	AND	andorra		394	2196134	6844
516	NAM	namibia	2.90246814489365E-01	704	4735890	11635
646	RWA	rwanda	1.00648067891598E-01	967	3336595	8388
32	ARG	argentina	3.47084939479828E-01	990	5511252	15099
288	GHA	ghana	2.63283669948578E-01	947	8538852	21475
688	SRB	serbia	1.10812127590179E+00	1151	9300724	29834
36	AUS	australia	2.72659689188004E-01	2755	11101694	28276
192	CUB	cuba		1614	7528766	21710
894	ZMB	zambia	1.15314126014709E-01	402	2458163	5416
417	KGZ	kyrgyzstan	1.10298192501068E+00	533	3545032	10445
320	GTM	guatemala	2.40374073386192E-01	1322	4848474	13327
56	BEL	belgium	2.18571797013283E-01	1488	10269267	29189
332	HTI	haiti	2.87778407335281E-01	1113	5020928	12590
854	BFA	burkina faso	1.65488749742508E-01	259	1527119	4376
430	LBR	liberia	6.24602019786835E-01	365	1718839	3951
384	CIV	ivory coast	2.28298947215080E-01	262	2167518	5976
620	PRT	portugal	2.25296482443810E-01	647	4092352	13893
208	DNK	denmark	1.36143565177917E-01	2063	11934319	37996
608	PHL	philippines	3.03130298852921E-01	2188	15381963	47504
686	SEN	senegal	5.35996735095978E-01	623	2955926	7496
498	MDA	moldova	6.47570490837097E-01	644	2743879	7589
180	COD	democratic republic of the congo	1.29053369164467E-01	909	5917790	13487
428	LVA	latvia	2.90039420127869E-01	794	5572986	17451
191	HRV	croatia	3.65447491407394E-01	1843	9363305	26635
70	BIH	bosnia and herzegovina	1.79800558090210E+00	1276	9077454	26947
144	LKA	sri lanka	2.45271831750870E-01	1869	11872045	31454
780	TTO	trinidad and tobago	2.47695875167847E+00	216	3222597	9394
100	BGR	bulgaria	8.97578775882720E-01	1797	9396414	26534
388	JAM	jamaica		363	3393538	9123
8	ALB	albania	3.57102245092392E-01	1535	8302985	23141
24	AGO	angola	3.23004931211472E-01	727	4117112	11212
422	LBN	lebanon	4.88070160150528E-01	2103	10491745	28502
458	MYS	malaysia	8.52722465991974E-01	1583	8991892	26779
508	MOZ	mozambique	2.33655512332916E-01	510	3320356	8927
764	THA	thailand	9.15750741958618E-01	1742	10201818	25955
300	GRC	greece	3.01201403141022E-01	3233	12349644	35028
558	NIC	nicaragua	4.92642551660538E-01	723	3757972	9785
562	NER	niger	2.36179858446121E-01	711	3238542	8754
124	CAN	canada	3.01442116498947E-01	3417	14180797	41982
4	AFG	afghanistan	5.09313046932220E-01	3010	12811496	34286
634	QAT	qatar	4.82470780611038E-01	325	2200454	5911
585	PLW	palau	1.03068411350250E+00	120	1516509	4406
226	GNQ	equatorial guinea	4.59303528070450E-01	167	1412177	3962
729	SDN	sudan	1.85562968254089E-01	748	5011562	13750
324	GIN	guinea	2.44888082146645E-01	225	1499153	3969
591	PAN	panama	3.07248026132584E-01	453	3567520	10326
524	NPL	nepal	2.22061291337013E-01	1983	12359198	31019
140	CAF	central african republic	1.20781011879444E-01	557	2733055	6687
442	LUX	luxembourg	3.02679985761642E-01	445	4297239	12666
716	ZWE	zimbabwe	9.98433589935303E-01	1994	7759641	18564
748	SWZ	swaziland	3.16706746816635E-01	174	1305466	3510
706	SOM	somalia		2758	11573292	30219
798	TUV	tuvalu		925	3622703	8914
862	VEN	venezuela	5.33217370510101E-01	1002	5647358	14170
662	LCA	saint lucia	3.11984270811081E-01	150	1856218	4866
96	BRN	brunei		491	3348866	9852
364	IRN	iran	1.58053314685822E+00	5882	20529075	53463
784	ARE	united arab emirates		556	3552603	8937
466	MLI	mali	6.47966191172600E-02	625	3401409	9256
682	SAU	saudi arabia	7.57180929183959E-01	1666	10453381	29624
659	KNA	saint kitts and nevis	3.54990750551224E-01	59	1396862	3739
756	CHE	switzerland	5.79005181789398E-02	900	7055535	23274
600	PRY	paraguay	2.21884414553642E-01	192	2667817	6873
156	CHN	china	1.16640949249268E+00	3598	15920522	47263
51	ARM	armenia	4.56527113914490E-01	3008	13593125	39051
296	KIR	kiribati	2.73876339197159E-01	112	990189	3050
84	BLZ	belize	3.07849079370499E-01	414	3294506	10922
788	TUN	tunisia	6.30035638809204E-01	1217	5287228	14404
804	UKR	ukraine	1.84787547588348E+00	3680	18180124	51204
434	LBY	libya		1912	8030270	20645
270	GMB	gambia	5.85778534412384E-01	363	2260222	6453
246	FIN	finland	2.35310688614845E-01	656	5122395	13520
480	MUS	mauritius	3.89822214841843E-01	224	2507536	7547
28	ATG	antigua and barbuda	4.57764506340027E-01	55	1282394	3375
233	EST	estonia	8.98639202117920E-01	981	5722888	17295
760	SYR	syria		3049	14605831	40095
214	DOM	dominican republic	4.05609846115112E-01	428	3088770	8806
104	MMR	burma		2410	9196976	20975
586	PAK	pakistan	7.49563097953796E-01	4205	21477320	68229
642	ROU	romania	4.65092241764069E-01	789	5283644	15969
690	SYC	seychelles	6.03176653385162E-01	66	1450952	4500
203	CZE	czech republic	5.90882658958435E-01	348	3304578	9155
818	EGY	egypt	8.39970350265503E-01	3001	11672118	30922
598	PNG	papua new guinea	2.76198506355286E-01	387	3195466	8519
840	USA	united states	3.47139716148376E-01	15304	52182114	151469
40	AUT	austria	1.66464105248451E-01	1311	10892096	32445
496	MNG	mongolia	1.61449742317200E+00	1667	8899314	27064
170	COL	colombia	2.46461480855942E-01	1023	7038812	20089
340	HND	honduras	5.31496405601501E-01	722	3315102	6948
554	NZL	new zealand		1427	6201233	15155
242	FJI	fiji	3.78082126379013E-01	343	2428571	6108
174	COM	comoros	2.52201378345490E-01	109	1375712	3984
792	TUR	turkey	4.33290511369705E-01	2857	14049568	44033
826	GBR	united kingdom	1.97449445724487E-01	8628	35289924	107339
450	MDG	madagascar	2.14205592870712E-01	635	4426741	10294
368	IRQ	iraq	6.47996246814728E-01	2568	11919538	33762
50	BGD	bangladesh	4.25634711980820E-01	3254	19238292	57315
478	MRT	mauritania	6.90112471580505E-01	494	2817073	7565
858	URY	uruguay	1.46506428718567E-01	454	3979898	10642
250	FRA	france	1.32786348462105E-01	1730	10752330	34546
44	BHS	bahamas	3.14930796623230E-01	400	2513540	6910
703	SVK	slovakia	4.07542794942856E-01	567	4087803	11688
372	IRL	ireland	2.12420687079430E-01	1615	6484724	16329
418	LAO	laos	2.28685840964317E-01	410	2605137	6778
410	KOR	south korea	4.81142848730087E-01	1484	6604974	14929
68	BOL	bolivia	6.50052547454833E-01	402	3681253	10308
454	MWI	malawi	3.95395517349243E-01	750	3050315	7024
218	ECU	ecuador	4.25702840089798E-01	898	5252818	12692
376	ISR	israel	2.81409531831741E-01	7951	25677910	65553
604	PER	peru	3.66101890802383E-01	633	5381479	16059
12	DZA	algeria	6.67661428451538E-01	721	6797727	19565
752	SWE	sweden	9.30190831422806E-02	2004	10834574	30870
356	IND	india	1.32749235630035E+00	5042	24381167	70861
834	TZA	tanzania	1.95956364274025E-01	556	4721413	11868
499	MNE	montenegro	6.08910739421844E-01	1239	6874308	19854
762	TJK	tajikistan	4.28434282541275E-01	569	3856874	11733
768	TGO	togo	4.97099906206131E-01	74	1478904	4415
400	JOR	jordan	6.90776526927947E-01	914	5592938	15060
152	CHL	chile	3.22078377008438E-01	1430	7410887	19636
512	OMN	oman		244	2740041	7050
566	NGA	nigeria	1.86233088374138E-01	1168	7926035	20332
724	ESP	spain	1.91413402557373E-01	3334	16565176	45770
268	GEO	georgia	4.73593086004257E-01	1722	7851210	21567
578	NOR	norway	1.17721423506737E-01	1151	7215017	20016
694	SLE	sierra leone	1.83384522795677E-01	610	3195183	7907
504	MAR	morocco	5.76191067695618E-01	1463	8889048	23442
266	GAB	gabon	1.82081520557404E-01	185	2259207	6708
328	GUY	guyana	6.69661641120911E-01	569	3495270	9188
308	GRD	grenada	3.36687207221985E-01	124	1579737	4471
887	YEM	yemen	5.82713365554810E-01	925	5317491	14964
643	RUS	russia	9.63710248470306E-01	3858	19559146	53313
728	SSD	south sudan		971	4079530	9758
48	BHR	bahrain		984	5534198	14791
360	IDN	indonesia	6.30732178688049E-01	1109	6315182	17660
148	TCD	chad	4.18343171477318E-02	446	2572952	6902
484	MEX	mexico	4.01635378599167E-01	1935	10624402	27978
426	LSO	lesotho		83	1161694	3443
112	BLR	belarus	9.98081922531128E-01	996	4888728	12776
670	VCT	saint vincent and the grenadines	3.09766232967377E-01	47	1275427	3160
800	UGA	uganda	1.90180510282516E-01	668	3381652	9634
108	BDI	burundi	1.31493136286736E-01	210	1796598	4801
404	KEN	kenya	2.70915508270264E-01	1096	8286607	20012
72	BWA	botswana	4.26942199468613E-01	139	1154682	2889
380	ITA	italy	1.86520621180534E-01	1847	9978083	33234
116	KHM	cambodia	3.63854587078094E-01	851	5165635	13715
231	ETH	ethiopia	1.86754360795021E-01	1109	6232319	16459
548	VUT	vanuatu	1.58598631620407E-01	265	2451779	7239
584	MHL	marshall islands	4.99622195959091E-01	97	1014048	3239
120	CMR	cameroon	2.93596893548965E-01	956	4537626	11383
204	BEN	benin	7.39054262638092E-01	86	1013683	2666
76	BRA	brazil	2.07070723176003E-01	2424	12102945	32005
702	SGP	singapore	5.36367930471897E-02	1270	7965260	19928
90	SLB	solomon islands	2.56386876106262E-01	286	2615725	7016
352	ISL	iceland	1.42370402812958E-01	744	5735302	17749
674	SMR	san marino		66	802513	1998
492	MCO	monaco		288	2060126	5928
188	CRI	costa rica	1.86046928167343E-01	273	2105051	5162
705	SVN	slovenia	3.18839073181152E-01	587	3362613	9659
276	DEU	germany	2.07169443368912E-01	809	4940123	15076
710	ZAF	south africa	1.42223739624023E+00	3528	20480119	48536
212	DMA	dominica	2.69275575876236E-01	92	1002182	2597
795	TKM	turkmenistan	1.97113919258118E+00	707	4104779	12388
740	SUR	suriname	5.16310036182404E-01	156	1635993	4679
232	ERI	eritrea	1.81130036711693E-01	275	2382397	6381
776	TON	tonga	3.50731432437897E-01	155	1499371	3416
462	MDV	maldives	6.29149436950684E-01	178	1780819	5626
860	UZB	uzbekistan	2.32360577583312E+00	740	4951129	14191
222	SLV	el salvador	2.88660019636154E-01	398	2716148	7133
616	POL	poland	6.93324446678162E-01	2953	15472218	44481
132	CPV	cape verde	2.11586564779282E-01	97	1324986	3651
438	LIE	liechtenstein		175	1092252	2825
704	VNM	vietnam	1.10200047492981E+00	2330	11515107	29006
414	KWT	kuwait		837	5585031	12697
