id	code	country	indicator	citations	fsize	links
626	TLS	east timor	0.00000000000000E+00	287	1825108	4556
882	WSM	samoa	0.00000000000000E+00	209	1577359	4175
392	JPN	japan	2.55588912000000E+08	3366	16441329	44822
31	AZE	azerbaijan	9.67385520000000E+07	2002	9390161	24439
408	PRK	north korea	3.87757088000000E+08	2085	8090788	17766
262	DJI	djibouti	0.00000000000000E+00	155	1819059	5571
470	MLT	malta	0.00000000000000E+00	685	4545131	14276
624	GNB	guinea-bissau	0.00000000000000E+00	286	1784413	5321
348	HUN	hungary	3.09967281250000E+05	1099	6609895	16810
196	CYP	cyprus	8.06168000000000E+05	860	4993330	13832
52	BRB	barbados	0.00000000000000E+00	342	2542869	7487
64	BTN	bhutan	0.00000000000000E+00	552	3132760	8245
398	KAZ	kazakhstan	4.50924288000000E+09	760	5030223	15433
440	LTU	lithuania	0.00000000000000E+00	505	2661259	8709
178	COG	republic of the congo	4.88482100000000E+06	141	1469208	3847
583	FSM	micronesia	0.00000000000000E+00	159	1195659	3795
20	AND	andorra	0.00000000000000E+00	394	2196134	6844
516	NAM	namibia	1.33188096000000E+08	704	4735890	11635
646	RWA	rwanda	5.09447300000000E+06	967	3336595	8388
32	ARG	argentina	2.15369190400000E+09	990	5511252	15099
288	GHA	ghana	1.85187648000000E+09	947	8538852	21475
688	SRB	serbia	1.02162840000000E+08	1151	9300724	29834
36	AUS	australia	3.84479232000000E+10	2755	11101694	28276
192	CUB	cuba	2.15371792000000E+08	1614	7528766	21710
894	ZMB	zambia	2.72854732800000E+09	402	2458163	5416
417	KGZ	kyrgyzstan	5.06415296000000E+08	533	3545032	10445
320	GTM	guatemala	3.83441152000000E+08	1322	4848474	13327
56	BEL	belgium	0.00000000000000E+00	1488	10269267	29189
332	HTI	haiti	0.00000000000000E+00	1113	5020928	12590
854	BFA	burkina faso	1.31772441600000E+09	259	1527119	4376
430	LBR	liberia	1.03981820000000E+07	365	1718839	3951
384	CIV	ivory coast	3.45283136000000E+08	262	2167518	5976
620	PRT	portugal	1.72836800000000E+08	647	4092352	13893
208	DNK	denmark	2.03843425000000E+06	2063	11934319	37996
608	PHL	philippines	5.71469414400000E+09	2188	15381963	47504
686	SEN	senegal	2.09595264000000E+08	623	2955926	7496
498	MDA	moldova	0.00000000000000E+00	644	2743879	7589
180	COD	democratic republic of the congo	3.22187392000000E+09	909	5917790	13487
428	LVA	latvia	0.00000000000000E+00	794	5572986	17451
191	HRV	croatia	0.00000000000000E+00	1843	9363305	26635
70	BIH	bosnia and herzegovina	9.00050560000000E+07	1276	9077454	26947
144	LKA	sri lanka	2.07122875000000E+06	1869	11872045	31454
780	TTO	trinidad and tobago	0.00000000000000E+00	216	3222597	9394
100	BGR	bulgaria	4.53113664000000E+08	1797	9396414	26534
388	JAM	jamaica	6.30029520000000E+07	363	3393538	9123
8	ALB	albania	1.12600820000000E+07	1535	8302985	23141
24	AGO	angola	0.00000000000000E+00	727	4117112	11212
422	LBN	lebanon	0.00000000000000E+00	2103	10491745	28502
458	MYS	malaysia	6.04743168000000E+08	1583	8991892	26779
508	MOZ	mozambique	1.44357580000000E+07	510	3320356	8927
764	THA	thailand	1.94094016000000E+08	1742	10201818	25955
300	GRC	greece	1.66427776000000E+08	3233	12349644	35028
558	NIC	nicaragua	1.43051776000000E+08	723	3757972	9785
562	NER	niger	2.28927420000000E+07	711	3238542	8754
