id	code	country	indicator	citations	fsize	links
626	TLS	east timor	2.14632320000000E+09	287	1825108	4556
882	WSM	samoa	0.00000000000000E+00	209	1577359	4175
392	JPN	japan	5.75057600000000E+08	3366	16441329	44822
31	AZE	azerbaijan	1.79364618240000E+10	2002	9390161	24439
408	PRK	north korea	1.72861516800000E+09	2085	8090788	17766
262	DJI	djibouti	0.00000000000000E+00	155	1819059	5571
470	MLT	malta	0.00000000000000E+00	685	4545131	14276
624	GNB	guinea-bissau	0.00000000000000E+00	286	1784413	5321
348	HUN	hungary	5.53172416000000E+08	1099	6609895	16810
196	CYP	cyprus	0.00000000000000E+00	860	4993330	13832
52	BRB	barbados	2.93366620000000E+07	342	2542869	7487
64	BTN	bhutan	0.00000000000000E+00	552	3132760	8245
398	KAZ	kazakhstan	3.11145082880000E+10	760	5030223	15433
440	LTU	lithuania	4.56128560000000E+07	505	2661259	8709
178	COG	republic of the congo	6.01016320000000E+09	141	1469208	3847
583	FSM	micronesia	0.00000000000000E+00	159	1195659	3795
20	AND	andorra	0.00000000000000E+00	394	2196134	6844
516	NAM	namibia	0.00000000000000E+00	704	4735890	11635
646	RWA	rwanda	0.00000000000000E+00	967	3336595	8388
32	ARG	argentina	1.61855180800000E+10	990	5511252	15099
288	GHA	ghana	1.39025369600000E+09	947	8538852	21475
688	SRB	serbia	7.21756160000000E+08	1151	9300724	29834
36	AUS	australia	1.96535459840000E+10	2755	11101694	28276
192	CUB	cuba	1.38439628800000E+09	1614	7528766	21710
894	ZMB	zambia	1.28686880000000E+07	402	2458163	5416
417	KGZ	kyrgyzstan	4.42512840000000E+07	533	3545032	10445
320	GTM	guatemala	1.85237872000000E+08	1322	4848474	13327
56	BEL	belgium	0.00000000000000E+00	1488	10269267	29189
332	HTI	haiti	0.00000000000000E+00	1113	5020928	12590
854	BFA	burkina faso	0.00000000000000E+00	259	1527119	4376
430	LBR	liberia	0.00000000000000E+00	365	1718839	3951
384	CIV	ivory coast	1.28104153600000E+09	262	2167518	5976
620	PRT	portugal	0.00000000000000E+00	647	4092352	13893
208	DNK	denmark	5.04473702400000E+09	2063	11934319	37996
608	PHL	philippines	8.50884160000000E+08	2188	15381963	47504
686	SEN	senegal	2.67294300000000E+06	623	2955926	7496
498	MDA	moldova	5.03720900000000E+06	644	2743879	7589
180	COD	democratic republic of the congo	5.38944768000000E+08	909	5917790	13487
428	LVA	latvia	0.00000000000000E+00	794	5572986	17451
191	HRV	croatia	4.00928896000000E+08	1843	9363305	26635
70	BIH	bosnia and herzegovina	0.00000000000000E+00	1276	9077454	26947
144	LKA	sri lanka	0.00000000000000E+00	1869	11872045	31454
780	TTO	trinidad and tobago	6.21998131200000E+09	216	3222597	9394
100	BGR	bulgaria	2.69225440000000E+07	1797	9396414	26534
388	JAM	jamaica	0.00000000000000E+00	363	3393538	9123
8	ALB	albania	4.32873600000000E+08	1535	8302985	23141
24	AGO	angola	3.44989736960000E+10	727	4117112	11212
422	LBN	lebanon	0.00000000000000E+00	2103	10491745	28502
458	MYS	malaysia	2.37615595520000E+10	1583	8991892	26779
508	MOZ	mozambique	6.09984960000000E+08	510	3320356	8927
764	THA	thailand	1.38019041280000E+10	1742	10201818	25955
300	GRC	greece	2.45110880000000E+07	3233	12349644	35028
558	NIC	nicaragua	0.00000000000000E+00	723	3757972	9785
562	NER	niger	4.36688480000000E+08	711	3238542	8754
124	CAN	canada	3.36417894400000E+10	3417	14180797	41982
4	AFG	afghanistan	0.00000000000000E+00	3010	12811496	34286
634	QAT	qatar	3.30484490240000E+10	325	2200454	5911
585	PLW	palau	0.00000000000000E+00	120	1516509	4406
226	GNQ	equatorial guinea	7.25248512000000E+09	167	1412177	3962
729	SDN	sudan	2.13161164800000E+09	748	5011562	13750
324	GIN	guinea	0.00000000000000E+00	225	1499153	3969
591	PAN	panama	0.00000000000000E+00	453	3567520	10326
524	NPL	nepal	9.36745437500000E+05	1983	12359198	31019
140	CAF	central african republic	0.00000000000000E+00	557	2733055	6687
442	LUX	luxembourg	3.57896593750000E+05	445	4297239	12666
716	ZWE	zimbabwe	1.22431264000000E+08	1994	7759641	18564
748	SWZ	swaziland	0.00000000000000E+00	174	1305466	3510
706	SOM	somalia	0.00000000000000E+00	2758	11573292	30219
798	TUV	tuvalu	0.00000000000000E+00	925	3622703	8914
862	VEN	venezuela	4.12167987200000E+10	1002	5647358	14170
662	LCA	saint lucia	0.00000000000000E+00	150	1856218	4866
96	BRN	brunei	3.74930611200000E+09	491	3348866	9852
364	IRN	iran	6.26546933760000E+10	5882	20529075	53463
784	ARE	united arab emirates	4.25783787520000E+10	556	3552603	8937
466	MLI	mali	0.00000000000000E+00	625	3401409	9256
682	SAU	saudi arabia	1.54245529600000E+11	1666	10453381	29624
659	KNA	saint kitts and nevis	0.00000000000000E+00	59	1396862	3739
756	CHE	switzerland	1.04403618750000E+06	900	7055535	23274
600	PRY	paraguay	0.00000000000000E+00	192	2667817	6873
156	CHN	china	2.52996681728000E+11	3598	15920522	47263
51	ARM	armenia	0.00000000000000E+00	3008	13593125	39051
296	KIR	kiribati	0.00000000000000E+00	112	990189	3050
84	BLZ	belize	8.89588320000000E+07	414	3294506	10922
788	TUN	tunisia	1.71694412800000E+09	1217	5287228	14404
804	UKR	ukraine	4.72560435200000E+09	3680	18180124	51204
434	LBY	libya	1.36953231360000E+10	1912	8030270	20645
270	GMB	gambia	0.00000000000000E+00	363	2260222	6453
246	FIN	finland	2.68435125000000E+05	656	5122395	13520
480	MUS	mauritius	0.00000000000000E+00	224	2507536	7547
28	ATG	antigua and barbuda	0.00000000000000E+00	55	1282394	3375
233	EST	estonia	1.55496640000000E+08	981	5722888	17295
760	SYR	syria	9.85258944000000E+08	3049	14605831	40095
214	DOM	dominican republic	0.00000000000000E+00	428	3088770	8806
104	MMR	burma	1.95361664000000E+09	2410	9196976	20975
586	PAK	pakistan	5.45752422400000E+09	4205	21477320	68229
642	ROU	romania	2.75942041600000E+09	789	5283644	15969
690	SYC	seychelles	0.00000000000000E+00	66	1450952	4500
203	CZE	czech republic	3.83811360000000E+08	348	3304578	9155
818	EGY	egypt	1.93507819520000E+10	3001	11672118	30922
598	PNG	papua new guinea	7.02427136000000E+08	387	3195466	8519
840	USA	united states	1.49380464640000E+11	15304	52182114	151469
40	AUT	austria	5.83483776000000E+08	1311	10892096	32445
496	MNG	mongolia	1.21744332800000E+09	1667	8899314	27064
170	COL	colombia	3.13018654720000E+10	1023	7038812	20089
340	HND	honduras	0.00000000000000E+00	722	3315102	6948
554	NZL	new zealand	1.67336652800000E+09	1427	6201233	15155
242	FJI	fiji	0.00000000000000E+00	343	2428571	6108
174	COM	comoros	0.00000000000000E+00	109	1375712	3984
792	TUR	turkey	1.18326720000000E+09	2857	14049568	44033
826	GBR	united kingdom	2.30619258880000E+10	8628	35289924	107339
450	MDG	madagascar	0.00000000000000E+00	635	4426741	10294
368	IRQ	iraq	4.45976002560000E+10	2568	11919538	33762
50	BGD	bangladesh	3.01663052800000E+09	3254	19238292	57315
478	MRT	mauritania	1.98148160000000E+08	494	2817073	7565
858	URY	uruguay	0.00000000000000E+00	454	3979898	10642
250	FRA	france	3.84346208000000E+08	1730	10752330	34546
44	BHS	bahamas	0.00000000000000E+00	400	2513540	6910
703	SVK	slovakia	9.16062500000000E+06	567	4087803	11688
372	IRL	ireland	2.23194300000000E+07	1615	6484724	16329
418	LAO	laos	0.00000000000000E+00	410	2605137	6778
410	KOR	south korea	1.42481056000000E+08	1484	6604974	14929
68	BOL	bolivia	3.18447052800000E+09	402	3681253	10308
454	MWI	malawi	0.00000000000000E+00	750	3050315	7024
218	ECU	ecuador	7.60276428800000E+09	898	5252818	12692
376	ISR	israel	4.83668736000000E+08	7951	25677910	65553
604	PER	peru	2.39897907200000E+09	633	5381479	16059
12	DZA	algeria	3.63976949760000E+10	721	6797727	19565
752	SWE	sweden	0.00000000000000E+00	2004	10834574	30870
356	IND	india	3.56457267200000E+10	5042	24381167	70861
834	TZA	tanzania	1.41370816000000E+08	556	4721413	11868
499	MNE	montenegro	6.16028100000000E+06	1239	6874308	19854
762	TJK	tajikistan	2.56911800000000E+07	569	3856874	11733
768	TGO	togo	0.00000000000000E+00	74	1478904	4415
400	JOR	jordan	8.41710400000000E+06	914	5592938	15060
152	CHL	chile	1.92424752000000E+08	1430	7410887	19636
512	OMN	oman	2.25041756160000E+10	244	2740041	7050
566	NGA	nigeria	3.62893721600000E+10	1168	7926035	20332
724	ESP	spain	1.38488832000000E+08	3334	16565176	45770
268	GEO	georgia	1.45188890000000E+07	1722	7851210	21567
578	NOR	norway	4.68000522240000E+10	1151	7215017	20016
694	SLE	sierra leone	0.00000000000000E+00	610	3195183	7907
504	MAR	morocco	1.28951640000000E+07	1463	8889048	23442
266	GAB	gabon	5.02494412800000E+09	185	2259207	6708
328	GUY	guyana	0.00000000000000E+00	569	3495270	9188
308	GRD	grenada	0.00000000000000E+00	124	1579737	4471
887	YEM	yemen	2.60820787200000E+09	925	5317491	14964
643	RUS	russia	2.23474597888000E+11	3858	19559146	53313
728	SSD	south sudan	1.35836147200000E+09	971	4079530	9758
48	BHR	bahrain	3.17074483200000E+09	984	5534198	14791
