id	code	country	indicator	citations	fsize	links
626	TLS	east timor		287	1825108	4556
882	WSM	samoa	0.00000000000000E+00	209	1577359	4175
392	JPN	japan	1.12748211249709E-02	3366	16441329	44822
31	AZE	azerbaijan	2.58300056457520E+01	2002	9390161	24439
408	PRK	north korea		2085	8090788	17766
262	DJI	djibouti		155	1819059	5571
470	MLT	malta	0.00000000000000E+00	685	4545131	14276
624	GNB	guinea-bissau	0.00000000000000E+00	286	1784413	5321
348	HUN	hungary	4.26982104778290E-01	1099	6609895	16810
196	CYP	cyprus	0.00000000000000E+00	860	4993330	13832
52	BRB	barbados		342	2542869	7487
64	BTN	bhutan	0.00000000000000E+00	552	3132760	8245
398	KAZ	kazakhstan	1.50623798370361E+01	760	5030223	15433
440	LTU	lithuania	1.03023290634155E-01	505	2661259	8709
178	COG	republic of the congo	5.43911399841309E+01	141	1469208	3847
583	FSM	micronesia	0.00000000000000E+00	159	1195659	3795
20	AND	andorra		394	2196134	6844
516	NAM	namibia	0.00000000000000E+00	704	4735890	11635
646	RWA	rwanda	0.00000000000000E+00	967	3336595	8388
32	ARG	argentina	2.70067858695984E+00	990	5511252	15099
288	GHA	ghana	2.95772433280945E+00	947	8538852	21475
688	SRB	serbia	1.65384507179260E+00	1151	9300724	29834
36	AUS	australia	1.29211235046387E+00	2755	11101694	28276
192	CUB	cuba		1614	7528766	21710
894	ZMB	zambia	4.94000092148781E-02	402	2458163	5416
417	KGZ	kyrgyzstan	6.38006925582886E-01	533	3545032	10445
320	GTM	guatemala	3.52449297904968E-01	1322	4848474	13327
56	BEL	belgium	0.00000000000000E+00	1488	10269267	29189
332	HTI	haiti	0.00000000000000E+00	1113	5020928	12590
854	BFA	burkina faso	0.00000000000000E+00	259	1527119	4376
430	LBR	liberia	0.00000000000000E+00	365	1718839	3951
384	CIV	ivory coast	4.28704786300659E+00	262	2167518	5976
620	PRT	portugal	0.00000000000000E+00	647	4092352	13893
208	DNK	denmark	1.45177304744720E+00	2063	11934319	37996
608	PHL	philippines	2.60754644870758E-01	2188	15381963	47504
686	SEN	senegal	1.83000359684229E-02	623	2955926	7496
