id	code	country	indicator	citations	fsize	links
626	TLS	east timor		287	1825108	4556
882	WSM	samoa	4.56348510045032E-01	209	1577359	4175
392	JPN	japan	-5.48427376258672E-01	3366	16441329	44822
31	AZE	azerbaijan	1.02106670021381E+00	2002	9390161	24439
408	PRK	north korea		2085	8090788	17766
262	DJI	djibouti	2.46470366821663E+00	155	1819059	5571
470	MLT	malta	2.09339106320694E+00	685	4545131	14276
624	GNB	guinea-bissau	-3.35327665372488E+00	286	1784413	5321
348	HUN	hungary	2.97417792667672E+00	1099	6609895	16810
196	CYP	cyprus	-1.54867512674647E+00	860	4993330	13832
52	BRB	barbados		342	2542869	7487
64	BTN	bhutan	4.96003843512656E+00	552	3132760	8245
398	KAZ	kazakhstan	9.65990821912987E+00	760	5030223	15433
440	LTU	lithuania	1.73427759236509E+00	505	2661259	8709
178	COG	republic of the congo	-3.65823826380608E+00	141	1469208	3847
583	FSM	micronesia	9.99998211517223E-01	159	1195659	3795
20	AND	andorra		394	2196134	6844
516	NAM	namibia	1.25180613089047E+01	704	4735890	11635
646	RWA	rwanda	4.76531121784478E+00	967	3336595	8388
32	ARG	argentina	1.82118674334210E+01	990	5511252	15099
288	GHA	ghana	1.63960030561791E+01	947	8538852	21475
688	SRB	serbia	5.41078115356395E+00	1151	9300724	29834
36	AUS	australia	-2.92534817893227E-01	2755	11101694	28276
192	CUB	cuba		1614	7528766	21710
894	ZMB	zambia	5.64588256674385E+00	402	2458163	5416
417	KGZ	kyrgyzstan	1.99655156291163E+00	533	3545032	10445
320	GTM	guatemala	3.26920347597681E+00	1322	4848474	13327
56	BEL	belgium	1.52591150408108E+00	1488	10269267	29189
332	HTI	haiti	6.62118186553849E+00	1113	5020928	12590
854	BFA	burkina faso	6.86895728492303E-01	259	1527119	4376
430	LBR	liberia	3.83664669172109E+00	365	1718839	3951
384	CIV	ivory coast	2.04547538421842E+00	262	2167518	5976
620	PRT	portugal	2.29542817447172E+00	647	4092352	13893
208	DNK	denmark	1.54440540256743E+00	2063	11934319	37996
608	PHL	philippines	1.96007866585732E+00	2188	15381963	47504
686	SEN	senegal	-8.69028664251431E-01	623	2955926	7496
498	MDA	moldova	4.40578581558191E+00	644	2743879	7589
180	COD	democratic republic of the congo	2.83141501124673E+00	909	5917790	13487
428	LVA	latvia	1.35194861928451E+00	794	5572986	17451
191	HRV	croatia	8.50018682073753E-01	1843	9363305	26635
70	BIH	bosnia and herzegovina	-2.87208649324626E-01	1276	9077454	26947
144	LKA	sri lanka	6.71502878774494E+00	1869	11872045	31454
780	TTO	trinidad and tobago	3.75811497745215E+00	216	3222597	9394
100	BGR	bulgaria	-7.61448330241450E-01	1797	9396414	26534
388	JAM	jamaica	8.26426151935611E+00	363	3393538	9123
8	ALB	albania	8.24301373967202E-01	1535	8302985	23141
24	AGO	angola	1.90306488542973E+00	727	4117112	11212
422	LBN	lebanon	1.73965264697114E+00	2103	10491745	28502
458	MYS	malaysia	1.94459452751659E-02	1583	8991892	26779
508	MOZ	mozambique	3.20939580514450E+00	510	3320356	8927
764	THA	thailand	2.78528311321593E+00	1742	10201818	25955
300	GRC	greece	-2.83713499041167E+00	3233	12349644	35028
558	NIC	nicaragua	6.12927994215691E+00	723	3757972	9785
562	NER	niger	4.14758599635714E+00	711	3238542	8754
124	CAN	canada	1.31588741641112E+00	3417	14180797	41982
4	AFG	afghanistan	3.98518362323972E+00	3010	12811496	34286
634	QAT	qatar	4.52810805932955E-01	325	2200454	5911
585	PLW	palau	6.61770761971059E+00	120	1516509	4406
226	GNQ	equatorial guinea	-3.95384948915896E+00	167	1412177	3962
729	SDN	sudan	4.90800309594153E+01	748	5011562	13750
324	GIN	guinea	6.28906283064204E+00	225	1499153	3969
591	PAN	panama	3.70002276222105E+00	453	3567520	10326
524	NPL	nepal	6.78425394812621E+00	1983	12359198	31019
140	CAF	central african republic	7.16302897714274E+00	557	2733055	6687
442	LUX	luxembourg	1.35205357525896E+00	445	4297239	12666
716	ZWE	zimbabwe	3.51687468980803E+00	1994	7759641	18564
748	SWZ	swaziland	7.17280175581519E+00	174	1305466	3510
706	SOM	somalia		2758	11573292	30219
798	TUV	tuvalu	1.74905854687897E+00	925	3622703	8914
862	VEN	venezuela	5.99314007149377E+01	1002	5647358	14170
662	LCA	saint lucia	2.98559447757356E+00	150	1856218	4866
96	BRN	brunei	-3.15291211468384E+00	491	3348866	9852
364	IRN	iran	1.78145467069066E+01	5882	20529075	53463
784	ARE	united arab emirates	2.72315341181306E+00	556	3552603	8937
466	MLI	mali	2.48871006973701E-01	625	3401409	9256
682	SAU	saudi arabia	-1.90020598020132E+00	1666	10453381	29624
659	KNA	saint kitts and nevis	4.10110460569840E-01	59	1396862	3739
756	CHE	switzerland	-1.92535321536781E-01	900	7055535	23274
600	PRY	paraguay	4.34257439396688E-01	192	2667817	6873
156	CHN	china	1.70306351861970E+00	3598	15920522	47263
51	ARM	armenia	3.19138844992347E+00	3008	13593125	39051
296	KIR	kiribati	5.60830195445575E-01	112	990189	3050
84	BLZ	belize	1.65311885873025E+00	414	3294506	10922
788	TUN	tunisia	5.39864729702302E+00	1217	5287228	14404
804	UKR	ukraine	1.19729773820569E+00	3680	18180124	51204
434	LBY	libya	2.60037180334378E+00	1912	8030270	20645
270	GMB	gambia	4.47769953455233E+00	363	2260222	6453
246	FIN	finland	2.37559511478062E+00	656	5122395	13520
480	MUS	mauritius	3.20999694509413E+00	224	2507536	7547
28	ATG	antigua and barbuda	-2.71284109601964E-01	55	1282394	3375
233	EST	estonia	4.54459561268594E+00	981	5722888	17295
760	SYR	syria		3049	14605831	40095
214	DOM	dominican republic	3.06469893899775E+00	428	3088770	8806
104	MMR	burma		2410	9196976	20975
586	PAK	pakistan	7.44750455026954E+00	4205	21477320	68229
642	ROU	romania	3.78885795904473E+00	789	5283644	15969
690	SYC	seychelles	1.68898381983278E+01	66	1450952	4500
203	CZE	czech republic	1.66660961129448E+00	348	3304578	9155
818	EGY	egypt	8.99222439394083E+00	3001	11672118	30922
598	PNG	papua new guinea	2.21342354824239E+00	387	3195466	8519
840	USA	united states	1.48801034476207E+00	15304	52182114	151469
40	AUT	austria	1.46511021454006E+00	1311	10892096	32445
496	MNG	mongolia	1.20811775148238E+01	1667	8899314	27064
170	COL	colombia	1.52266661083745E+00	1023	7038812	20089
340	HND	honduras	1.69782020259052E+00	722	3315102	6948
554	NZL	new zealand	4.44134680775221E+00	1427	6201233	15155
242	FJI	fiji	-4.39185627454762E-01	343	2428571	6108
174	COM	comoros	1.72717777243558E+00	109	1375712	3984
792	TUR	turkey	6.09742858745770E+00	2857	14049568	44033
826	GBR	united kingdom	1.73949960080503E+00	8628	35289924	107339
450	MDG	madagascar	5.03944825591354E+00	635	4426741	10294
368	IRQ	iraq	1.85825532701942E+00	2568	11919538	33762
50	BGD	bangladesh	7.17495490760879E+00	3254	19238292	57315
478	MRT	mauritania	-2.63075961806408E-01	494	2817073	7565
858	URY	uruguay	7.61524322167976E+00	454	3979898	10642
250	FRA	france	7.94744785006429E-01	1730	10752330	34546
44	BHS	bahamas	1.76631579952755E+00	400	2513540	6910
703	SVK	slovakia	5.19030239798198E-01	567	4087803	11688
372	IRL	ireland	1.00344772871091E+00	1615	6484724	16329
418	LAO	laos	8.14064366032119E+00	410	2605137	6778
410	KOR	south korea	6.98848730238822E-01	1484	6604974	14929
68	BOL	bolivia	6.00776785053914E+00	402	3681253	10308
454	MWI	malawi	2.17756212173603E+01	750	3050315	7024
218	ECU	ecuador	3.03429870028687E+00	898	5252818	12692
376	ISR	israel	2.45422211234822E+00	7951	25677910	65553
604	PER	peru	1.73305043394321E+00	633	5381479	16059
12	DZA	algeria	2.42723308765986E+00	721	6797727	19565
752	SWE	sweden	9.62911990698913E-01	2004	10834574	30870
356	IND	india	6.25028293073481E+00	5042	24381167	70861
834	TZA	tanzania	6.19197558256346E+00	556	4721413	11868
499	MNE	montenegro	2.24729640015227E+00	1239	6874308	19854
762	TJK	tajikistan	4.34697916068198E+00	569	3856874	11733
768	TGO	togo	1.99927475954780E+00	74	1478904	4415
400	JOR	jordan	5.59971742712592E+00	914	5592938	15060
152	CHL	chile	1.72774483366898E+00	1430	7410887	19636
512	OMN	oman		244	2740041	7050
566	NGA	nigeria	5.87329563136674E+00	1168	7926035	20332
724	ESP	spain	6.71764950405290E-01	3334	16565176	45770
268	GEO	georgia	-6.97828336674746E-01	1722	7851210	21567
578	NOR	norway	2.85797052588428E+00	1151	7215017	20016
694	SLE	sierra leone	1.07719904862150E+01	610	3195183	7907
504	MAR	morocco	1.04631325156875E+00	1463	8889048	23442
266	GAB	gabon	-9.28640887347413E-01	185	2259207	6708
328	GUY	guyana	1.71075428537932E-01	569	3495270	9188
308	GRD	grenada	1.99163222558612E+00	124	1579737	4471
887	YEM	yemen	7.89411026438242E+00	925	5317491	14964
643	RUS	russia	5.89546528268701E+00	3858	19559146	53313
728	SSD	south sudan	6.30456685453112E-01	971	4079530	9758
48	BHR	bahrain	1.51755756242994E+00	984	5534198	14791
360	IDN	indonesia	4.35108277153213E+00	1109	6315182	17660
148	TCD	chad	-2.39563192910155E+00	446	2572952	6902
484	MEX	mexico	2.04182852282307E+00	1935	10624402	27978
426	LSO	lesotho	1.18644714623837E+01	83	1161694	3443
112	BLR	belarus	1.90028971169622E+01	996	4888728	12776
670	VCT	saint vincent and the grenadines	6.40868582544684E-01	47	1275427	3160
800	UGA	uganda	4.14086321346096E+00	668	3381652	9634
108	BDI	burundi	1.31633800401025E+01	210	1796598	4801
404	KEN	kenya	5.74338933104421E+00	1096	8286607	20012
72	BWA	botswana	5.94977546885063E+00	139	1154682	2889
380	ITA	italy	1.39284623498854E+00	1847	9978083	33234
116	KHM	cambodia	8.05733308830099E-01	851	5165635	13715
231	ETH	ethiopia	4.71694198248369E+00	1109	6232319	16459
548	VUT	vanuatu	2.65712003477540E+00	265	2451779	7239
584	MHL	marshall islands	5.51014686517277E-01	97	1014048	3239
120	CMR	cameroon	2.39151907261743E+00	956	4537626	11383
204	BEN	benin	8.82400985465765E-01	86	1013683	2666
76	BRA	brazil	7.62559212320177E+00	2424	12102945	32005
702	SGP	singapore	1.24504999661241E-01	1270	7965260	19928
90	SLB	solomon islands	6.80593435804211E+00	286	2615725	7016
352	ISL	iceland	2.05096500446851E+00	744	5735302	17749
674	SMR	san marino		66	802513	1998
492	MCO	monaco		288	2060126	5928
188	CRI	costa rica	5.00432398648292E+00	273	2105051	5162
705	SVN	slovenia	1.39570527276831E+00	587	3362613	9659
276	DEU	germany	2.05865690176357E+00	809	4940123	15076
710	ZAF	south africa	5.98563514379509E+00	3528	20480119	48536
212	DMA	dominica	1.28429919381080E+00	92	1002182	2597
795	TKM	turkmenistan	8.00052404744997E+00	707	4104779	12388
740	SUR	suriname	2.74131304153606E+00	156	1635993	4679
232	ERI	eritrea	9.92407831711672E+00	275	2382397	6381
776	TON	tonga	6.38680036029044E-01	155	1499371	3416
462	MDV	maldives	4.94712071406369E+00	178	1780819	5626
860	UZB	uzbekistan	1.39052881083734E+01	740	4951129	14191
222	SLV	el salvador	1.91678411594268E-01	398	2716148	7133
616	POL	poland	1.16887678546051E+00	2953	15472218	44481
132	CPV	cape verde	2.96651311179713E+00	97	1324986	3651
438	LIE	liechtenstein		175	1092252	2825
704	VNM	vietnam	4.76119026122761E+00	2330	11515107	29006
414	KWT	kuwait		837	5585031	12697
