id	code	country	indicator	citations	fsize	links
626	TLS	east timor		287	1825108	4556
882	WSM	samoa	7.97642230987549E-01	209	1577359	4175
392	JPN	japan	1.49671034887433E-02	3366	16441329	44822
31	AZE	azerbaijan	4.25518781412393E-04	2002	9390161	24439
408	PRK	north korea		2085	8090788	17766
262	DJI	djibouti	2.01321458816528E+00	155	1819059	5571
470	MLT	malta	0.00000000000000E+00	685	4545131	14276
624	GNB	guinea-bissau	1.97361583709717E+01	286	1784413	5321
348	HUN	hungary	1.96013137698174E-01	1099	6609895	16810
196	CYP	cyprus	2.06926139071584E-03	860	4993330	13832
52	BRB	barbados		342	2542869	7487
64	BTN	bhutan	1.77008686065674E+01	552	3132760	8245
398	KAZ	kazakhstan	4.96051087975502E-03	760	5030223	15433
440	LTU	lithuania	9.30515885353088E-01	505	2661259	8709
178	COG	republic of the congo	2.94835948944092E+00	141	1469208	3847
583	FSM	micronesia	6.52404651045799E-02	159	1195659	3795
20	AND	andorra		394	2196134	6844
516	NAM	namibia	3.99038702249527E-01	704	4735890	11635
646	RWA	rwanda	6.45127010345458E+00	967	3336595	8388
32	ARG	argentina	2.25132256746292E-01	990	5511252	15099
288	GHA	ghana	5.78338670730591E+00	947	8538852	21475
688	SRB	serbia	5.33442437648773E-01	1151	9300724	29834
36	AUS	australia	8.51804167032242E-02	2755	11101694	28276
192	CUB	cuba		1614	7528766	21710
894	ZMB	zambia	2.88985490798950E+00	402	2458163	5416
417	KGZ	kyrgyzstan	2.02095303684473E-02	533	3545032	10445
320	GTM	guatemala	2.59025716781616E+00	1322	4848474	13327
56	BEL	belgium	5.36513812839985E-02	1488	10269267	29189
332	HTI	haiti	2.03292846679688E+00	1113	5020928	12590
854	BFA	burkina faso	7.85285615921021E+00	259	1527119	4376
430	LBR	liberia	2.89395332336426E+01	365	1718839	3951
384	CIV	ivory coast	2.55135464668274E+00	262	2167518	5976
620	PRT	portugal	3.58736813068390E-01	647	4092352	13893
208	DNK	denmark	4.13821600377560E-02	2063	11934319	37996
608	PHL	philippines	5.36668121814728E-01	2188	15381963	47504
686	SEN	senegal	3.15698266029358E+00	623	2955926	7496
498	MDA	moldova	1.88574820756912E-01	644	2743879	7589
180	COD	democratic republic of the congo	1.74433345794678E+01	909	5917790	13487
428	LVA	latvia	2.66321682929993E+00	794	5572986	17451
191	HRV	croatia	8.29429745674133E-01	1843	9363305	26635
70	BIH	bosnia and herzegovina	8.37292730808258E-01	1276	9077454	26947
144	LKA	sri lanka	5.82220852375031E-01	1869	11872045	31454
780	TTO	trinidad and tobago	4.09789346158504E-02	216	3222597	9394
100	BGR	bulgaria	4.15771871805191E-01	1797	9396414	26534
388	JAM	jamaica	4.66398209333420E-01	363	3393538	9123
8	ALB	albania	2.45733186602592E-01	1535	8302985	23141
24	AGO	angola	3.51144015789032E-01	727	4117112	11212
422	LBN	lebanon	3.63521464169025E-03	2103	10491745	28502
458	MYS	malaysia	7.74700760841370E-01	1583	8991892	26779
508	MOZ	mozambique	8.16988658905029E+00	510	3320356	8927
764	THA	thailand	8.69371533393860E-01	1742	10201818	25955
300	GRC	greece	3.70938740670681E-02	3233	12349644	35028
558	NIC	nicaragua	3.82920360565186E+00	723	3757972	9785
562	NER	niger	1.03337898254395E+01	711	3238542	8754
124	CAN	canada	3.63284438848495E-01	3417	14180797	41982
4	AFG	afghanistan	1.21898651123047E+00	3010	12811496	34286
634	QAT	qatar	1.99730260646902E-04	325	2200454	5911
585	PLW	palau		120	1516509	4406
226	GNQ	equatorial guinea	5.67081928253174E-01	167	1412177	3962
729	SDN	sudan	1.58731436729431E+00	748	5011562	13750
324	GIN	guinea	1.39367561340332E+01	225	1499153	3969
591	PAN	panama	2.61446982622147E-01	453	3567520	10326
524	NPL	nepal	4.85149669647217E+00	1983	12359198	31019
140	CAF	central african republic	1.54209833145142E+01	557	2733055	6687
442	LUX	luxembourg	3.02375964820385E-02	445	4297239	12666
716	ZWE	zimbabwe	4.24323177337646E+00	1994	7759641	18564
748	SWZ	swaziland	2.25843906402588E+00	174	1305466	3510
706	SOM	somalia		2758	11573292	30219
798	TUV	tuvalu		925	3622703	8914
862	VEN	venezuela	8.65873619914055E-02	1002	5647358	14170
662	LCA	saint lucia	5.00953681766987E-02	150	1856218	4866
96	BRN	brunei	7.87798985838890E-02	491	3348866	9852
364	IRN	iran	4.84321303665638E-02	5882	20529075	53463
784	ARE	united arab emirates	3.67293920135126E-04	556	3552603	8937
466	MLI	mali	3.94280481338501E+00	625	3401409	9256
682	SAU	saudi arabia	2.86831683479249E-03	1666	10453381	29624
659	KNA	saint kitts and nevis		59	1396862	3739
756	CHE	switzerland	3.42247001826763E-02	900	7055535	23274
600	PRY	paraguay	4.44285154342651E+00	192	2667817	6873
156	CHN	china	2.80880451202393E-01	3598	15920522	47263
51	ARM	armenia	4.94818478822708E-01	3008	13593125	39051
296	KIR	kiribati	1.48358166217804E-01	112	990189	3050
84	BLZ	belize	9.55417871475220E-01	414	3294506	10922
788	TUN	tunisia	4.49060887098312E-01	1217	5287228	14404
804	UKR	ukraine	3.24989438056946E-01	3680	18180124	51204
434	LBY	libya	1.39586493372917E-01	1912	8030270	20645
270	GMB	gambia	6.90271425247192E+00	363	2260222	6453
246	FIN	finland	1.07342994213104E+00	656	5122395	13520
480	MUS	mauritius	3.38339013978839E-03	224	2507536	7547
28	ATG	antigua and barbuda		55	1282394	3375
233	EST	estonia	1.39917302131653E+00	981	5722888	17295
760	SYR	syria		3049	14605831	40095
214	DOM	dominican republic	1.06832511723042E-01	428	3088770	8806
104	MMR	burma		2410	9196976	20975
586	PAK	pakistan	8.86419594287872E-01	4205	21477320	68229
642	ROU	romania	4.00512665510178E-01	789	5283644	15969
690	SYC	seychelles	1.16614148020744E-01	66	1450952	4500
203	CZE	czech republic	2.88184762001038E-01	348	3304578	9155
818	EGY	egypt	5.32005906105042E-01	3001	11672118	30922
598	PNG	papua new guinea	6.10638093948364E+00	387	3195466	8519
840	USA	united states	9.76270064711571E-02	15304	52182114	151469
40	AUT	austria	1.98193669319153E-01	1311	10892096	32445
496	MNG	mongolia	5.56929767131805E-01	1667	8899314	27064
170	COL	colombia	2.97456264495850E-01	1023	7038812	20089
340	HND	honduras	3.18059062957764E+00	722	3315102	6948
554	NZL	new zealand	4.99030947685242E-01	1427	6201233	15155
242	FJI	fiji	7.43360698223114E-01	343	2428571	6108
174	COM	comoros	3.62241220474243E+00	109	1375712	3984
792	TUR	turkey	1.07265174388885E-01	2857	14049568	44033
826	GBR	united kingdom	1.85252074152231E-02	8628	35289924	107339
450	MDG	madagascar	7.99982833862305E+00	635	4426741	10294
368	IRQ	iraq	9.80510469526052E-03	2568	11919538	33762
50	BGD	bangladesh	1.09975421428680E+00	3254	19238292	57315
478	MRT	mauritania	2.95649552345276E+00	494	2817073	7565
858	URY	uruguay	2.47548794746399E+00	454	3979898	10642
250	FRA	france	1.03733815252781E-01	1730	10752330	34546
44	BHS	bahamas	4.41041253507137E-02	400	2513540	6910
703	SVK	slovakia	4.38449531793594E-01	567	4087803	11688
372	IRL	ireland	5.36427609622478E-02	1615	6484724	16329
418	LAO	laos	5.21962785720825E+00	410	2605137	6778
410	KOR	south korea	2.16704085469246E-02	1484	6604974	14929
68	BOL	bolivia	1.13825392723083E+00	402	3681253	10308
454	MWI	malawi	1.46884679794312E+01	750	3050315	7024
218	ECU	ecuador	7.44927525520325E-01	898	5252818	12692
376	ISR	israel	4.95236658025533E-04	7951	25677910	65553
604	PER	peru	3.93087744712830E-01	633	5381479	16059
12	DZA	algeria	3.17122161388397E-01	721	6797727	19565
752	SWE	sweden	5.67599415779114E-01	2004	10834574	30870
356	IND	india	1.35238242149353E+00	5042	24381167	70861
834	TZA	tanzania	4.02942705154419E+00	556	4721413	11868
499	MNE	montenegro	5.77679157257080E-01	1239	6874308	19854
762	TJK	tajikistan	2.62126289308071E-02	569	3856874	11733
768	TGO	togo	6.95213508605957E+00	74	1478904	4415
400	JOR	jordan	7.87089392542839E-02	914	5592938	15060
152	CHL	chile	1.33446311950684E+00	1430	7410887	19636
512	OMN	oman	4.29677497595549E-03	244	2740041	7050
566	NGA	nigeria	1.04758346080780E+00	1168	7926035	20332
724	ESP	spain	7.62696936726570E-02	3334	16565176	45770
268	GEO	georgia	1.13809227943420E-01	1722	7851210	21567
578	NOR	norway	1.05508647859097E-01	1151	7215017	20016
694	SLE	sierra leone	9.06503868103027E+00	610	3195183	7907
504	MAR	morocco	5.66236376762390E-01	1463	8889048	23442
266	GAB	gabon	3.04337573051453E+00	185	2259207	6708
328	GUY	guyana	5.21027708053589E+00	569	3495270	9188
308	GRD	grenada		124	1579737	4471
887	YEM	yemen	1.06792792677879E-01	925	5317491	14964
643	RUS	russia	5.15759110450745E-01	3858	19559146	53313
728	SSD	south sudan	2.31763577461243E+00	971	4079530	9758
48	BHR	bahrain	1.67100061662495E-03	984	5534198	14791
360	IDN	indonesia	1.39116394519806E+00	1109	6315182	17660
148	TCD	chad	4.29109954833984E+00	446	2572952	6902
484	MEX	mexico	2.31384828686714E-01	1935	10624402	27978
426	LSO	lesotho	5.65530681610107E+00	83	1161694	3443
112	BLR	belarus	9.44613873958588E-01	996	4888728	12776
670	VCT	saint vincent and the grenadines	6.97631314396858E-02	47	1275427	3160
800	UGA	uganda	1.28233652114868E+01	668	3381652	9634
108	BDI	burundi	2.62266750335693E+01	210	1796598	4801
404	KEN	kenya	3.13589501380920E+00	1096	8286607	20012
72	BWA	botswana	4.01467770338058E-01	139	1154682	2889
380	ITA	italy	1.97898410260677E-02	1847	9978083	33234
116	KHM	cambodia	4.39038515090942E+00	851	5165635	13715
231	ETH	ethiopia	1.47804126739502E+01	1109	6232319	16459
548	VUT	vanuatu	1.31480586528778E+00	265	2451779	7239
584	MHL	marshall islands		97	1014048	3239
120	CMR	cameroon	3.21392202377319E+00	956	4537626	11383
204	BEN	benin	5.78019189834595E+00	86	1013683	2666
76	BRA	brazil	1.45367980003357E+00	2424	12102945	32005
702	SGP	singapore		1270	7965260	19928
90	SLB	solomon islands	2.52631702423096E+01	286	2615725	7016
352	ISL	iceland	1.10332446638495E-03	744	5735302	17749
674	SMR	san marino		66	802513	1998
492	MCO	monaco		288	2060126	5928
188	CRI	costa rica	9.89646196365356E-01	273	2105051	5162
705	SVN	slovenia	3.10061365365982E-01	587	3362613	9659
276	DEU	germany	7.56746307015419E-02	809	4940123	15076
710	ZAF	south africa	5.99671900272369E-01	3528	20480119	48536
212	DMA	dominica	9.86667573451996E-02	92	1002182	2597
795	TKM	turkmenistan	0.00000000000000E+00	707	4104779	12388
740	SUR	suriname	1.72978579998016E+00	156	1635993	4679
232	ERI	eritrea	2.29535818099976E+00	275	2382397	6381
776	TON	tonga	6.89635723829269E-02	155	1499371	3416
462	MDV	maldives	4.13436926901340E-02	178	1780819	5626
860	UZB	uzbekistan	2.38137063570321E-03	740	4951129	14191
222	SLV	el salvador	1.74642932415009E+00	398	2716148	7133
616	POL	poland	3.14519494771957E-01	2953	15472218	44481
132	CPV	cape verde	6.64696276187897E-01	97	1324986	3651
438	LIE	liechtenstein		175	1092252	2825
