id	code	country	indicator	citations	fsize	links
626	TLS	east timor		287	1825108	4556
882	WSM	samoa	0.00000000000000E+00	209	1577359	4175
392	JPN	japan	6.55228784307837E-03	3366	16441329	44822
31	AZE	azerbaijan	1.82090416550636E-01	2002	9390161	24439
408	PRK	north korea		2085	8090788	17766
262	DJI	djibouti	0.00000000000000E+00	155	1819059	5571
470	MLT	malta	0.00000000000000E+00	685	4545131	14276
624	GNB	guinea-bissau	0.00000000000000E+00	286	1784413	5321
348	HUN	hungary	5.19924215041101E-04	1099	6609895	16810
196	CYP	cyprus	7.68321938812733E-03	860	4993330	13832
52	BRB	barbados		342	2542869	7487
64	BTN	bhutan	0.00000000000000E+00	552	3132760	8245
398	KAZ	kazakhstan	3.00978636741638E+00	760	5030223	15433
440	LTU	lithuania	0.00000000000000E+00	505	2661259	8709
178	COG	republic of the congo	4.36897277832031E-02	141	1469208	3847
583	FSM	micronesia	0.00000000000000E+00	159	1195659	3795
20	AND	andorra		394	2196134	6844
516	NAM	namibia	1.45107531547546E+00	704	4735890	11635
646	RWA	rwanda	1.50819629430771E-01	967	3336595	8388
32	ARG	argentina	4.83416169881821E-01	990	5511252	15099
288	GHA	ghana	5.73581838607788E+00	947	8538852	21475
688	SRB	serbia	4.55803513526917E-01	1151	9300724	29834
36	AUS	australia	5.41830444335938E+00	2755	11101694	28276
192	CUB	cuba		1614	7528766	21710
894	ZMB	zambia	1.64919853210449E+01	402	2458163	5416
417	KGZ	kyrgyzstan	8.82218551635742E+00	533	3545032	10445
320	GTM	guatemala	8.98681282997131E-01	1322	4848474	13327
56	BEL	belgium	0.00000000000000E+00	1488	10269267	29189
332	HTI	haiti	0.00000000000000E+00	1113	5020928	12590
854	BFA	burkina faso	1.28955678939819E+01	259	1527119	4376
430	LBR	liberia	6.71384930610657E-01	365	1718839	3951
384	CIV	ivory coast	1.39881730079651E+00	262	2167518	5976
620	PRT	portugal	1.57634779810905E-01	647	4092352	13893
208	DNK	denmark	7.64590629842132E-04	2063	11934319	37996
608	PHL	philippines	2.18713092803955E+00	2188	15381963	47504
