id	code	country	indicator	citations	fsize	links
626	TLS	east timor		287	1825108	4556
882	WSM	samoa	-1.13906740061419E+00	209	1577359	4175
392	JPN	japan	1.61336690628630E+00	3366	16441329	44822
31	AZE	azerbaijan	5.79667839631929E+00	2002	9390161	24439
408	PRK	north korea		2085	8090788	17766
262	DJI	djibouti	4.99990725454917E+00	155	1819059	5571
470	MLT	malta	2.89999999999873E+00	685	4545131	14276
624	GNB	guinea-bissau	3.28690420027684E-01	286	1784413	5321
348	HUN	hungary	1.52516680591516E+00	1099	6609895	16810
196	CYP	cyprus	-5.40000000000001E+00	860	4993330	13832
52	BRB	barbados		342	2542869	7487
64	BTN	bhutan	2.04454109469351E+00	552	3132760	8245
398	KAZ	kazakhstan	6.00000000005178E+00	760	5030223	15433
440	LTU	lithuania	3.25111172045442E+00	505	2661259	8709
178	COG	republic of the congo	3.44070524919380E+00	141	1469208	3847
583	FSM	micronesia	-4.00000000000000E+00	159	1195659	3795
20	AND	andorra		394	2196134	6844
516	NAM	namibia	5.12475082692603E+00	704	4735890	11635
646	RWA	rwanda	4.68451242829828E+00	967	3336595	8388
32	ARG	argentina	2.92527252678821E+00	990	5511252	15099
288	GHA	ghana	7.58500148502195E+00	947	8538852	21475
688	SRB	serbia	2.60000000000001E+00	1151	9300724	29834
36	AUS	australia	2.51193826141170E+00	2755	11101694	28276
192	CUB	cuba		1614	7528766	21710
894	ZMB	zambia	6.71345020354607E+00	402	2458163	5416
417	KGZ	kyrgyzstan	1.05341138546617E+01	533	3545032	10445
320	GTM	guatemala	3.69030460815061E+00	1322	4848474	13327
56	BEL	belgium	2.74845628241096E-01	1488	10269267	29189
332	HTI	haiti	4.29652252377318E+00	1113	5020928	12590
854	BFA	burkina faso	6.64716588824257E+00	259	1527119	4376
430	LBR	liberia	1.13067450807808E+01	365	1718839	3951
384	CIV	ivory coast	8.70077744911848E+00	262	2167518	5976
620	PRT	portugal	-1.35502489774080E+00	647	4092352	13893
208	DNK	denmark	-4.86209584308497E-01	2063	11934319	37996
608	PHL	philippines	7.18112186053696E+00	2188	15381963	47504
686	SEN	senegal	2.80380719131017E+00	623	2955926	7496
498	MDA	moldova	8.89880253580652E+00	644	2743879	7589
180	COD	democratic republic of the congo	8.48195663608755E+00	909	5917790	13487
428	LVA	latvia	4.10989051618060E+00	794	5572986	17451
191	HRV	croatia	-9.39174026915708E-01	1843	9363305	26635
70	BIH	bosnia and herzegovina	2.48000004191300E+00	1276	9077454	26947
144	LKA	sri lanka	7.25090697497248E+00	1869	11872045	31454
780	TTO	trinidad and tobago	1.60006296804372E+00	216	3222597	9394
100	BGR	bulgaria	1.06586374688172E+00	1797	9396414	26534
388	JAM	jamaica	1.27485802154676E+00	363	3393538	9123
8	ALB	albania	1.41742327835152E+00	1535	8302985	23141
