id	code	country	indicator	citations	fsize	links
626	TLS	east timor		287	1825108	4556
882	WSM	samoa	511164248.9	209	1577359	4175
392	JPN	japan	4.78454E+12	3366	16441329	44822
31	AZE	azerbaijan	30630571631	2002	9390161	24439
408	PRK	north korea		2085	8090788	17766
262	DJI	djibouti	1032256020	155	1819059	5571
470	MLT	malta	7084021237	685	4545131	14276
624	GNB	guinea-bissau	737822758.2	286	1784413	5321
348	HUN	hungary	1.13124E+11	1099	6609895	16810
196	CYP	cyprus	17804771626	860	4993330	13832
52	BRB	barbados		342	2542869	7487
64	BTN	bhutan	1490216420	552	3132760	8245
398	KAZ	kazakhstan	92422093131	760	5030223	15433
440	LTU	lithuania	31184663159	505	2661259	8709
178	COG	republic of the congo	8719932510	141	1469208	3847
583	FSM	micronesia	242459440	159	1195659	3795
20	AND	andorra		394	2196134	6844
516	NAM	namibia	10515657806	704	4735890	11635
646	RWA	rwanda	4724955979	967	3336595	8388
32	ARG	argentina	3.31255E+11	990	5511252	15099
288	GHA	ghana	19927956039	947	8538852	21475
688	SRB	serbia	30835581292	1151	9300724	29834
36	AUS	australia	8.67152E+11	2755	11101694	28276
192	CUB	cuba		1614	7528766	21710
894	ZMB	zambia	15317964947	402	2458163	5416
320	GTM	guatemala	36207607449	1322	4848474	13327
56	BEL	belgium	4.20483E+11	1488	10269267	29189
332	HTI	haiti	4883232342	1113	5020928	12590
854	BFA	burkina faso	8839886388	259	1527119	4376
430	LBR	liberia	1285857805	365	1718839	3951
417	KGZ	kyrgyzstan	3575739740	533	3545032	10445
620	PRT	portugal	1.90475E+11	647	4092352	13893
208	DNK	denmark	2.65136E+11	2063	11934319	37996
608	PHL	philippines	1.556E+11	2188	15381963	47504
686	SEN	senegal	11252482802	623	2955926	7496
498	MDA	moldova	4042924068	644	2743879	7589
180	COD	democratic republic of the congo	19454635074	909	5917790	13487
428	LVA	latvia	17844952420	794	5572986	17451
191	HRV	croatia	44921727280	1843	9363305	26635
70	BIH	bosnia and herzegovina	13033181037	1276	9077454	26947
144	LKA	sri lanka	41053159740	1869	11872045	31454
780	TTO	trinidad and tobago	19272574285	216	3222597	9394
100	BGR	bulgaria	34928402389	1797	9396414	26534
388	JAM	jamaica		363	3393538	9123
8	ALB	albania	11346504697	1535	8302985	23141
24	AGO	angola	58786650195	727	4117112	11212
384	CIV	ivory coast	21928892763	262	2167518	5976
422	LBN	lebanon	32346844998	2103	10491745	28502
458	MYS	malaysia	2.0795E+11	1583	8991892	26779
508	MOZ	mozambique	11189445321	510	3320356	8927
764	THA	thailand	2.30371E+11	1742	10201818	25955
300	GRC	greece	2.01026E+11	3233	12349644	35028
558	NIC	nicaragua	8311989787	723	3757972	9785
562	NER	niger	5182221403	711	3238542	8754
124	CAN	canada	1.31929E+12	3417	14180797	41982
4	AFG	afghanistan	12679050960	3010	12811496	34286
634	QAT	qatar	1.2989E+11	325	2200454	5911
585	PLW	palau	199935406.1	120	1516509	4406
226	GNQ	equatorial guinea	9296149993	167	1412177	3962
729	SDN	sudan	29273457009	748	5011562	13750
324	GIN	guinea	3610420692	225	1499153	3969
591	PAN	panama	29908913760	453	3567520	10326
524	NPL	nepal	11370379664	1983	12359198	31019
140	CAF	central african republic	1304465871	557	2733055	6687
442	LUX	luxembourg	43202134010	445	4297239	12666
716	ZWE	zimbabwe	6725359135	1994	7759641	18564
748	SWZ	swaziland	3036041019	174	1305466	3510
706	SOM	somalia		2758	11573292	30219
798	TUV	tuvalu	26207330.17	925	3622703	8914
862	VEN	venezuela	1.94651E+11	1002	5647358	14170
96	BRN	brunei	10103968879	491	3348866	9852
364	IRN	iran	2.42549E+11	5882	20529075	53463
784	ARE	united arab emirates	2.34969E+11	556	3552603	8937
466	MLI	mali	7286050698	625	3401409	9256
682	SAU	saudi arabia	5.20656E+11	1666	10453381	29624
659	KNA	saint kitts and nevis	588930009.6	59	1396862	3739
