id	code	country	indicator	citations	fsize	links
626	TLS	east timor		287	1825108	4556
882	WSM	samoa	1063023316	209	1577359	4175
392	JPN	japan	4.53508E+12	3366	16441329	44822
31	AZE	azerbaijan	1.56255E+11	2002	9390161	24439
408	PRK	north korea		2085	8090788	17766
262	DJI	djibouti	2533725498	155	1819059	5571
470	MLT	malta	12202342496	685	4545131	14276
624	GNB	guinea-bissau	2321010944	286	1784413	5321
348	HUN	hungary	2.24657E+11	1099	6609895	16810
196	CYP	cyprus	23772871876	860	4993330	13832
52	BRB	barbados		342	2542869	7487
64	BTN	bhutan	5403693318	552	3132760	8245
398	KAZ	kazakhstan	3.82777E+11	760	5030223	15433
440	LTU	lithuania	72373533305	505	2661259	8709
178	COG	republic of the congo	25263572639	141	1469208	3847
583	FSM	micronesia	340236431.4	159	1195659	3795
20	AND	andorra		394	2196134	6844
516	NAM	namibia	21365027063	704	4735890	11635
646	RWA	rwanda	16797633966	967	3336595	8388
32	ARG	argentina		990	5511252	15099
288	GHA	ghana	1.00096E+11	947	8538852	21475
688	SRB	serbia	92363545307	1151	9300724	29834
36	AUS	australia	9.90721E+11	2755	11101694	28276
192	CUB	cuba		1614	7528766	21710
894	ZMB	zambia	55240150558	402	2458163	5416
320	GTM	guatemala	1.09245E+11	1322	4848474	13327
56	BEL	belgium	4.54123E+11	1488	10269267	29189
332	HTI	haiti	17007293978	1113	5020928	12590
854	BFA	burkina faso	27611315051	259	1527119	4376
430	LBR	liberia	3649239426	365	1718839	3951
417	KGZ	kyrgyzstan	17786885456	533	3545032	10445
620	PRT	portugal	2.71188E+11	647	4092352	13893
208	DNK	denmark	2.38538E+11	2063	11934319	37996
608	PHL	philippines	6.22459E+11	2188	15381963	47504
686	SEN	senegal	30670308788	623	2955926	7496
498	MDA	moldova	16088578812	644	2743879	7589
180	COD	democratic republic of the congo	52880712253	909	5917790	13487
428	LVA	latvia	43941258005	794	5572986	17451
191	HRV	croatia	85322474653	1843	9363305	26635
70	BIH	bosnia and herzegovina	35947045187	1276	9077454	26947
144	LKA	sri lanka	1.93067E+11	1869	11872045	31454
780	TTO	trinidad and tobago	39522852233	216	3222597	9394
100	BGR	bulgaria	1.14026E+11	1797	9396414	26534
388	JAM	jamaica	23367069003	363	3393538	9123
8	ALB	albania	28860490987	1535	8302985	23141
24	AGO	angola	1.6078E+11	727	4117112	11212
384	CIV	ivory coast	63131605161	262	2167518	5976
422	LBN	lebanon	74261135752	2103	10491745	28502
458	MYS	malaysia	6.71288E+11	1583	8991892	26779
508	MOZ	mozambique	27632418641	510	3320356	8927
764	THA	thailand	9.33578E+11	1742	10201818	25955
300	GRC	greece	2.68025E+11	3233	12349644	35028
558	NIC	nicaragua	27324249519	723	3757972	9785
