id	code	country	indicator	citations	fsize	links
626	TLS	east timor		287	1825108	4556
882	WSM	samoa	4212.363465	209	1577359	4175
392	JPN	japan	38633.70806	3366	16441329	44822
31	AZE	azerbaijan	7811.621418	2002	9390161	24439
408	PRK	north korea		2085	8090788	17766
262	DJI	djibouti	1668.336703	155	1819059	5571
470	MLT	malta	22774.96038	685	4545131	14276
624	GNB	guinea-bissau	563.7527714	286	1784413	5321
348	HUN	hungary	13485.47207	1099	6609895	16810
196	CYP	cyprus	25248.98107	860	4993330	13832
52	BRB	barbados		342	2542869	7487
64	BTN	bhutan	2362.581737	552	3132760	8245
398	KAZ	kazakhstan	13611.53736	760	5030223	15433
440	LTU	lithuania	15529.68161	505	2661259	8709
178	COG	republic of the congo	3167.045322	141	1469208	3847
583	FSM	micronesia	3054.068122	159	1195659	3795
20	AND	andorra		394	2196134	6844
516	NAM	namibia	5693.129154	704	4735890	11635
646	RWA	rwanda	638.6657954	967	3336595	8388
32	ARG	argentina	14715.18002	990	5511252	15099
288	GHA	ghana	1858.242598	947	8538852	21475
688	SRB	serbia	6353.826383	1151	9300724	29834
36	AUS	australia	67463.02193	2755	11101694	28276
192	CUB	cuba		1614	7528766	21710
894	ZMB	zambia	1844.799139	402	2458163	5416
320	GTM	guatemala	3477.890061	1322	4848474	13327
56	BEL	belgium	46929.63546	1488	10269267	29189
332	HTI	haiti	819.9039143	1113	5020928	12590
854	BFA	burkina faso	760.8529512	259	1527119	4376
430	LBR	liberia	454.3374834	365	1718839	3951
417	KGZ	kyrgyzstan	1263.428083	533	3545032	10445
620	PRT	portugal	21738.2916	647	4092352	13893
208	DNK	denmark	59818.63153	2063	11934319	37996
608	PHL	philippines	2765.084587	2188	15381963	47504
686	SEN	senegal	1046.586426	623	2955926	7496
498	MDA	moldova	2239.559127	644	2743879	7589
180	COD	democratic republic of the congo	484.2114713	909	5917790	13487
428	LVA	latvia	15381.08353	794	5572986	17451
191	HRV	croatia	13597.92145	1843	9363305	26635
70	BIH	bosnia and herzegovina	4661.764245	1276	9077454	26947
144	LKA	sri lanka	3279.89139	1869	11872045	31454
780	TTO	trinidad and tobago	18372.90432	216	3222597	9394
100	BGR	bulgaria	7498.831484	1797	9396414	26534
388	JAM	jamaica	5290.486134	363	3393538	9123
8	ALB	albania	4460.340971	1535	8302985	23141
24	AGO	angola	5783.36676	727	4117112	11212
384	CIV	ivory coast	1528.937539	262	2167518	5976
422	LBN	lebanon	9928.038098	2103	10491745	28502
458	MYS	malaysia	10538.05789	1583	8991892	26779
508	MOZ	mozambique	605.0341744	510	3320356	8927
764	THA	thailand	5778.977216	1742	10201818	25955
300	GRC	greece	21965.92677	3233	12349644	35028
558	NIC	nicaragua	1851.105852	723	3757972	9785
562	NER	niger	415.4173218	711	3238542	8754
124	CAN	canada	51964.33023	3417	14180797	41982
4	AFG	afghanistan	664.7645892	3010	12811496	34286
634	QAT	qatar	93714.06338	325	2200454	5911
585	PLW	palau	11810.08701	120	1516509	4406
226	GNQ	equatorial guinea	20581.60594	167	1412177	3962
729	SDN	sudan	1753.38091	748	5011562	13750
324	GIN	guinea	523.1190322	225	1499153	3969
591	PAN	panama	11036.80739	453	3567520	10326
524	NPL	nepal	694.1047943	1983	12359198	31019
140	CAF	central african republic	333.1968806	557	2733055	6687
442	LUX	luxembourg	110664.8403	445	4297239	12666
716	ZWE	zimbabwe	953.3806071	1994	7759641	18564
748	SWZ	swaziland	3034.223184	174	1305466	3510
706	SOM	somalia		2758	11573292	30219
798	TUV	tuvalu	3880.352322	925	3622703	8914
862	VEN	venezuela	14414.75353	1002	5647358	14170
96	BRN	brunei	38563.31451	491	3348866	9852
364	IRN	iran	4763.303309	5882	20529075	53463
784	ARE	united arab emirates	43048.85015	556	3552603	8937
466	MLI	mali	715.133813	625	3401409	9256
682	SAU	saudi arabia	25961.80842	1666	10453381	29624
659	KNA	saint kitts and nevis	14132.80188	59	1396862	3739
756	CHE	switzerland	84748.36531	900	7055535	23274
600	PRY	paraguay	4264.650642	192	2667817	6873
156	CHN	china	6807.430824	3598	15920522	47263
51	ARM	armenia	3504.766758	3008	13593125	39051
296	KIR	kiribati	1650.707224	112	990189	3050
84	BLZ	belize	4893.926635	414	3294506	10922
788	TUN	tunisia	4316.685695	1217	5287228	14404
804	UKR	ukraine	3900.465376	3680	18180124	51204
434	LBY	libya	11964.7307	1912	8030270	20645
270	GMB	gambia	488.5655946	363	2260222	6453
246	FIN	finland	49150.5773	656	5122395	13520
480	MUS	mauritius	9477.791587	224	2507536	7547
28	ATG	antigua and barbuda	13342.085	55	1282394	3375
233	EST	estonia	18877.33049	981	5722888	17295
760	SYR	syria		3049	14605831	40095
214	DOM	dominican republic	5878.996721	428	3088770	8806
104	MMR	burma		2410	9196976	20975
586	PAK	pakistan	1275.301817	4205	21477320	68229
642	ROU	romania	9490.754433	789	5283644	15969
690	SYC	seychelles	16185.89948	66	1450952	4500
203	CZE	czech republic	19858.34346	348	3304578	9155
818	EGY	egypt	3314.462928	3001	11672118	30922
598	PNG	papua new guinea	2105.269876	387	3195466	8519
840	USA	united states	53041.98141	15304	52182114	151469
40	AUT	austria	50510.71203	1311	10892096	32445
496	MNG	mongolia	4056.397839	1667	8899314	27064
170	COL	colombia	7831.215313	1023	7038812	20089
340	HND	honduras	2290.780533	722	3315102	6948
554	NZL	new zealand	41824.32284	1427	6201233	15155
242	FJI	fiji	4375.406022	343	2428571	6108
174	COM	comoros	814.9571488	109	1375712	3984
792	TUR	turkey	10971.65631	2857	14049568	44033
826	GBR	united kingdom	41781.14902	8628	35289924	107339
450	MDG	madagascar	462.9689428	635	4426741	10294
368	IRQ	iraq	6862.495681	2568	11919538	33762
50	BGD	bangladesh	957.824266	3254	19238292	57315
478	MRT	mauritania	1068.974597	494	2817073	7565
858	URY	uruguay	16350.72817	454	3979898	10642
250	FRA	france	42560.41373	1730	10752330	34546
44	BHS	bahamas	22312.08297	400	2513540	6910
703	SVK	slovakia	18049.18346	567	4087803	11688
372	IRL	ireland	50478.41033	1615	6484724	16329
418	LAO	laos	1660.706031	410	2605137	6778
410	KOR	south korea	25976.95283	1484	6604974	14929
68	BOL	bolivia	2867.639791	402	3681253	10308
454	MWI	malawi	226.4551027	750	3050315	7024
218	ECU	ecuador	6002.885459	898	5252818	12692
376	ISR	israel	36050.69793	7951	25677910	65553
604	PER	peru	6661.591112	633	5381479	16059
12	DZA	algeria	5360.701146	721	6797727	19565
674	SMR	san marino		66	802513	1998
834	TZA	tanzania	912.7003097	556	4721413	11868
499	MNE	montenegro	7106.861774	1239	6874308	19854
762	TJK	tajikistan	1036.583276	569	3856874	11733
768	TGO	togo	636.43645	74	1478904	4415
400	JOR	jordan	5213.390116	914	5592938	15060
152	CHL	chile	15732.31377	1430	7410887	19636
512	OMN	oman	21929.01457	244	2740041	7050
566	NGA	nigeria	3005.513796	1168	7926035	20332
724	ESP	spain	29882.13579	3334	16565176	45770
268	GEO	georgia	3596.90832	1722	7851210	21567
578	NOR	norway	100898.3615	1151	7215017	20016
694	SLE	sierra leone	678.9609045	610	3195183	7907
504	MAR	morocco	3092.606545	1463	8889048	23442
752	SWE	sweden	60380.94801	2004	10834574	30870
266	GAB	gabon	11571.08292	185	2259207	6708
328	GUY	guyana	3739.469995	569	3495270	9188
308	GRD	grenada	7890.513319	124	1579737	4471
887	YEM	yemen	1473.099564	925	5317491	14964
643	RUS	russia	14611.70078	3858	19559146	53313
728	SSD	south sudan	1044.991678	971	4079530	9758
48	BHR	bahrain	24689.10563	984	5534198	14791
360	IDN	indonesia	3475.250474	1109	6315182	17660
148	TCD	chad	1053.662501	446	2572952	6902
484	MEX	mexico	10307.28304	1935	10624402	27978
356	IND	india	1497.549864	5042	24381167	70861
426	LSO	lesotho	1125.586427	83	1161694	3443
112	BLR	belarus	7575.48211	996	4888728	12776
670	VCT	saint vincent and the grenadines	6485.679146	47	1275427	3160
800	UGA	uganda	657.3706635	668	3381652	9634
108	BDI	burundi	267.1093219	210	1796598	4801
404	KEN	kenya	1245.512041	1096	8286607	20012
72	BWA	botswana	7315.019289	139	1154682	2889
380	ITA	italy	35685.59904	1847	9978083	33234
116	KHM	cambodia	1006.839744	851	5165635	13715
231	ETH	ethiopia	505.0457458	1109	6232319	16459
548	VUT	vanuatu	3276.734258	265	2451779	7239
584	MHL	marshall islands	3627.210548	97	1014048	3239
120	CMR	cameroon	1328.640205	956	4537626	11383
204	BEN	benin	804.6924986	86	1013683	2666
76	BRA	brazil	11208.08274	2424	12102945	32005
702	SGP	singapore	55182.48279	1270	7965260	19928
90	SLB	solomon islands	1953.557318	286	2615725	7016
352	ISL	iceland	47349.48255	744	5735302	17749
662	LCA	saint lucia	7328.370692	150	1856218	4866
492	MCO	monaco		288	2060126	5928
188	CRI	costa rica	10184.60567	273	2105051	5162
705	SVN	slovenia	23295.33909	587	3362613	9659
276	DEU	germany	46251.3818	809	4940123	15076
710	ZAF	south africa	6886.290405	3528	20480119	48536
212	DMA	dominica	7175.626941	92	1002182	2597
795	TKM	turkmenistan	7986.698884	707	4104779	12388
740	SUR	suriname	9825.743921	156	1635993	4679
232	ERI	eritrea	543.8219083	275	2382397	6381
776	TON	tonga	4426.944581	155	1499371	3416
462	MDV	maldives	6665.767695	178	1780819	5626
860	UZB	uzbekistan	1877.964512	740	4951129	14191
222	SLV	el salvador	3826.082486	398	2716148	7133
616	POL	poland	13653.72163	2953	15472218	44481
132	CPV	cape verde	3767.115364	97	1324986	3651
438	LIE	liechtenstein		175	1092252	2825
704	VNM	vietnam	1910.512818	2330	11515107	29006
414	KWT	kuwait	52197.34134	837	5585031	12697
