id	code	country	indicator	citations	fsize	links
626	TLS	east timor		287	1825108	4556
882	WSM	samoa	-1.90919516648779E+00	209	1577359	4175
392	JPN	japan	1.79121057757648E+00	3366	16441329	44822
31	AZE	azerbaijan	4.43706629137120E+00	2002	9390161	24439
408	PRK	north korea		2085	8090788	17766
262	DJI	djibouti	3.40253338311311E+00	155	1819059	5571
470	MLT	malta	1.94749677589903E+00	685	4545131	14276
624	GNB	guinea-bissau	-2.06712283211115E+00	286	1784413	5321
348	HUN	hungary	1.79671399769315E+00	1099	6609895	16810
196	CYP	cyprus	-5.82186641162031E+00	860	4993330	13832
52	BRB	barbados		342	2542869	7487
64	BTN	bhutan	4.03457489648119E-01	552	3132760	8245
398	KAZ	kazakhstan	4.48267198509384E+00	760	5030223	15433
440	LTU	lithuania	4.30132573720809E+00	505	2661259	8709
178	COG	republic of the congo	8.68870028302965E-01	141	1469208	3847
583	FSM	micronesia	-4.14277298670194E+00	159	1195659	3795
20	AND	andorra		394	2196134	6844
516	NAM	namibia	3.12012301621832E+00	704	4735890	11635
646	RWA	rwanda	1.85132004045579E+00	967	3336595	8388
32	ARG	argentina		990	5511252	15099
288	GHA	ghana	5.35005607652172E+00	947	8538852	21475
688	SRB	serbia	3.10045937177037E+00	1151	9300724	29834
36	AUS	australia	7.34656318472403E-01	2755	11101694	28276
192	CUB	cuba		1614	7528766	21710
894	ZMB	zambia	3.31106460071101E+00	402	2458163	5416
417	KGZ	kyrgyzstan	8.36192796801511E+00	533	3545032	10445
320	GTM	guatemala	1.10698319276368E+00	1322	4848474	13327
56	BEL	belgium	-2.14485333785618E-01	1488	10269267	29189
332	HTI	haiti	2.84403822212660E+00	1113	5020928	12590
854	BFA	burkina faso	3.65775474870844E+00	259	1527119	4376
430	LBR	liberia	8.62024139822863E+00	365	1718839	3951
384	CIV	ivory coast	6.15215201373674E+00	262	2167518	5976
620	PRT	portugal	-8.12157963972567E-01	647	4092352	13893
208	DNK	denmark	-9.00220322837569E-01	2063	11934319	37996
608	PHL	philippines	5.34366255485537E+00	2188	15381963	47504
686	SEN	senegal	-1.58546608581005E-01	623	2955926	7496
498	MDA	moldova	8.92796612552684E+00	644	2743879	7589
180	COD	democratic republic of the congo	5.57589760066095E+00	909	5917790	13487
428	LVA	latvia	5.23093635644305E+00	794	5572986	17451
191	HRV	croatia	-6.63152861328641E-01	1843	9363305	26635
70	BIH	bosnia and herzegovina	2.60334620355351E+00	1276	9077454	26947
144	LKA	sri lanka	6.43931245360740E+00	1869	11872045	31454
780	TTO	trinidad and tobago	1.31885717262068E+00	216	3222597	9394
100	BGR	bulgaria	1.63306171450530E+00	1797	9396414	26534
388	JAM	jamaica	1.01636732182027E+00	363	3393538	9123
8	ALB	albania	1.52673864026931E+00	1535	8302985	23141
