id	code	country	indicator	citations	fsize	links
626	TLS	east timor		287	1825108	4556
882	WSM	samoa	2685.081046	209	1577359	4175
392	JPN	japan	37573.36975	3366	16441329	44822
31	AZE	azerbaijan	3252.757665	2002	9390161	24439
408	PRK	north korea		2085	8090788	17766
262	DJI	djibouti	1182.515958	155	1819059	5571
470	MLT	malta	16732.30108	685	4545131	14276
624	GNB	guinea-bissau	432.9297894	286	1784413	5321
348	HUN	hungary	11433.72411	1099	6609895	16810
196	CYP	cyprus	20516.78252	860	4993330	13832
52	BRB	barbados		342	2542869	7487
64	BTN	bhutan	1976.553286	552	3132760	8245
398	KAZ	kazakhstan	5425.336141	760	5030223	15433
440	LTU	lithuania	10543.59101	505	2661259	8709
178	COG	republic of the congo	1960.578688	141	1469208	3847
583	FSM	micronesia	2341.494751	159	1195659	3795
20	AND	andorra		394	2196134	6844
516	NAM	namibia	4565.444937	704	4735890	11635
646	RWA	rwanda	401.2182866	967	3336595	8388
32	ARG	argentina		990	5511252	15099
288	GHA	ghana	769.2825821	947	8538852	21475
688	SRB	serbia	4304.161522	1151	9300724	29834
36	AUS	australia	37491.50668	2755	11101694	28276
192	CUB	cuba		1614	7528766	21710
894	ZMB	zambia	1053.603703	402	2458163	5416
320	GTM	guatemala	2340.776589	1322	4848474	13327
56	BEL	belgium	37600.81772	1488	10269267	29189
332	HTI	haiti	473.2978726	1113	5020928	12590
854	BFA	burkina faso	521.9941204	259	1527119	4376
430	LBR	liberia	299.4491726	365	1718839	3951
417	KGZ	kyrgyzstan	625.1730436	533	3545032	10445
620	PRT	portugal	18214.51966	647	4092352	13893
208	DNK	denmark	47219.81199	2063	11934319	37996
608	PHL	philippines	1581.407551	2188	15381963	47504
686	SEN	senegal	796.1692404	623	2955926	7496
498	MDA	moldova	1136.110464	644	2743879	7589
180	COD	democratic republic of the congo	288.1584286	909	5917790	13487
428	LVA	latvia	8866.40947	794	5572986	17451
191	HRV	croatia	10555.66118	1843	9363305	26635
70	BIH	bosnia and herzegovina	3403.535166	1276	9077454	26947
144	LKA	sri lanka	2004.255223	1869	11872045	31454
780	TTO	trinidad and tobago	14370.17479	216	3222597	9394
100	BGR	bulgaria	4807.687475	1797	9396414	26534
388	JAM	jamaica		363	3393538	9123
8	ALB	albania	3916.144766	1535	8302985	23141
24	AGO	angola	2737.877052	727	4117112	11212
384	CIV	ivory coast	1079.385703	262	2167518	5976
422	LBN	lebanon	7240.658415	2103	10491745	28502
458	MYS	malaysia	6997.671588	1583	8991892	26779
508	MOZ	mozambique	433.1327993	510	3320356	8927
764	THA	thailand	3437.841215	1742	10201818	25955
300	GRC	greece	18229.40268	3233	12349644	35028
558	NIC	nicaragua	1366.996112	723	3757972	9785
562	NER	niger	290.62548	711	3238542	8754
124	CAN	canada	37528.61155	3417	14180797	41982
4	AFG	afghanistan	415.0034777	3010	12811496	34286
634	QAT	qatar	59893.77807	325	2200454	5911
585	PLW	palau	9558.055555	120	1516509	4406
226	GNQ	equatorial guinea	12280.02387	167	1412177	3962
729	SDN	sudan	771.0784179	748	5011562	13750
324	GIN	guinea	307.3957083	225	1499153	3969
591	PAN	panama	7740.061581	453	3567520	10326
524	NPL	nepal	409.0438799	1983	12359198	31019
140	CAF	central african republic	282.5710657	557	2733055	6687
442	LUX	luxembourg	79509.22779	445	4297239	12666
716	ZWE	zimbabwe	475.302222	1994	7759641	18564
748	SWZ	swaziland	2429.777512	174	1305466	3510
706	SOM	somalia		2758	11573292	30219
798	TUV	tuvalu	2653.63813	925	3622703	8914
862	VEN	venezuela	6401.905166	1002	5647358	14170
96	BRN	brunei	24184.67169	491	3348866	9852
364	IRN	iran	3131.798632	5882	20529075	53463
784	ARE	united arab emirates	25140.75659	556	3552603	8937
466	MLI	mali	476.1611132	625	3401409	9256
682	SAU	saudi arabia	18060.23408	1666	10453381	29624
659	KNA	saint kitts and nevis	10867.67193	59	1396862	3739
756	CHE	switzerland	59008.73412	900	7055535	23274
600	PRY	paraguay	1929.09484	192	2667817	6873
156	CHN	china	3583.375897	3598	15920522	47263
51	ARM	armenia	2309.7085	3008	13593125	39051
296	KIR	kiribati	1176.198294	112	990189	3050
84	BLZ	belize	4103.894058	414	3294506	10922
788	TUN	tunisia	3980.755699	1217	5287228	14404
804	UKR	ukraine	2138.275806	3680	18180124	51204
434	LBY	libya	6125.321419	1912	8030270	20645
270	GMB	gambia	450.1436231	363	2260222	6453
246	FIN	finland	39089.59487	656	5122395	13520
480	MUS	mauritius	6879.265597	224	2507536	7547
28	ATG	antigua and barbuda	11481.38499	55	1282394	3375
233	EST	estonia	12057.32359	981	5722888	17295
760	SYR	syria		3049	14605831	40095
214	DOM	dominican republic	4884.066527	428	3088770	8806
104	MMR	burma		2410	9196976	20975
586	PAK	pakistan	789.5846499	4205	21477320	68229
642	ROU	romania	6067.439929	789	5283644	15969
690	SYC	seychelles	14875.29949	66	1450952	4500
203	CZE	czech republic	14647.52194	348	3304578	9155
818	EGY	egypt	1566.540802	3001	11672118	30922
598	PNG	papua new guinea	1121.286786	387	3195466	8519
840	USA	united states	45710.25267	15304	52182114	151469
40	AUT	austria	41217.20239	1311	10892096	32445
496	MNG	mongolia	1795.526752	1667	8899314	27064
170	COL	colombia	4394.066614	1023	7038812	20089
340	HND	honduras	1577.154687	722	3315102	6948
554	NZL	new zealand	29334.42207	1427	6201233	15155
242	FJI	fiji	3825.428222	343	2428571	6108
174	COM	comoros	612.7399728	109	1375712	3984
792	TUR	turkey	8722.92227	2857	14049568	44033
826	GBR	united kingdom	40224.93734	8628	35289924	107339
450	MDG	madagascar	270.6922626	635	4426741	10294
368	IRQ	iraq	2517.609508	2568	11919538	33762
50	BGD	bangladesh	621.1054497	3254	19238292	57315
478	MRT	mauritania	680.9513941	494	2817073	7565
858	URY	uruguay	7808.626662	454	3979898	10642
250	FRA	france	35668.00502	1730	10752330	34546
44	BHS	bahamas	20746.86052	400	2513540	6910
703	SVK	slovakia	15371.30572	567	4087803	11688
372	IRL	ireland	47257.27938	1615	6484724	16329
418	LAO	laos	752.4120302	410	2605137	6778
410	KOR	south korea	23892.5312	1484	6604974	14929
68	BOL	bolivia	1323.124571	402	3681253	10308
454	MWI	malawi	264.2480444	750	3050315	7024
218	ECU	ecuador	3700.526148	898	5252818	12692
376	ISR	israel	24339.88401	7951	25677910	65553
604	PER	peru	4109.596136	633	5381479	16059
12	DZA	algeria	3243.990093	721	6797727	19565
674	SMR	san marino		66	802513	1998
834	TZA	tanzania	487.301942	556	4721413	11868
499	MNE	montenegro	4689.112925	1239	6874308	19854
762	TJK	tajikistan	480.6260031	569	3856874	11733
768	TGO	togo	424.3518576	74	1478904	4415
400	JOR	jordan	2855.301122	914	5592938	15060
152	CHL	chile	9728.481224	1430	7410887	19636
512	OMN	oman		244	2740041	7050
566	NGA	nigeria	1055.836611	1168	7926035	20332
724	ESP	spain	25150.3145	3334	16565176	45770
268	GEO	georgia	2159.993361	1722	7851210	21567
578	NOR	norway	65240.15377	1151	7215017	20016
694	SLE	sierra leone	410.4284796	610	3195183	7907
504	MAR	morocco	2530.774183	1463	8889048	23442
752	SWE	sweden	45550.59164	2004	10834574	30870
266	GAB	gabon	6937.712888	185	2259207	6708
328	GUY	guyana	1336.3414	569	3495270	9188
308	GRD	grenada	6401.253834	124	1579737	4471
