id	code	country	indicator	citations	fsize	links
626	TLS	east timor		287	1825108	4556
882	WSM	samoa	5768.985769	209	1577359	4175
392	JPN	japan	36223.34067	3366	16441329	44822
31	AZE	azerbaijan	17143.10967	2002	9390161	24439
408	PRK	north korea		2085	8090788	17766
262	DJI	djibouti	2998.740586	155	1819059	5571
470	MLT	malta	29126.78113	685	4545131	14276
624	GNB	guinea-bissau	1407.026772	286	1784413	5321
348	HUN	hungary	23334.31943	1099	6609895	16810
196	CYP	cyprus	28224.45744	860	4993330	13832
52	BRB	barbados		342	2542869	7487
64	BTN	bhutan	7404.736784	552	3132760	8245
398	KAZ	kazakhstan	23214.35483	760	5030223	15433
440	LTU	lithuania	25453.54475	505	2661259	8709
178	COG	republic of the congo	5868.480551	141	1469208	3847
583	FSM	micronesia	3394.647275	159	1195659	3795
20	AND	andorra		394	2196134	6844
516	NAM	namibia	9583.184757	704	4735890	11635
646	RWA	rwanda	1473.638012	967	3336595	8388
32	ARG	argentina		990	5511252	15099
288	GHA	ghana	3992.090039	947	8538852	21475
688	SRB	serbia	13019.82072	1151	9300724	29834
36	AUS	australia	43202.36769	2755	11101694	28276
192	CUB	cuba		1614	7528766	21710
894	ZMB	zambia	3925.462387	402	2458163	5416
320	GTM	guatemala	7296.592573	1322	4848474	13327
56	BEL	belgium	41574.75631	1488	10269267	29189
332	HTI	haiti	1703.029349	1113	5020928	12590
854	BFA	burkina faso	1684.479651	259	1527119	4376
430	LBR	liberia	877.9954801	365	1718839	3951
417	KGZ	kyrgyzstan	3212.876267	533	3545032	10445
620	PRT	portugal	27804.15611	647	4092352	13893
208	DNK	denmark	43782.16505	2063	11934319	37996
608	PHL	philippines	6535.875864	2188	15381963	47504
686	SEN	senegal	2241.996525	623	2955926	7496
498	MDA	moldova	4670.919762	644	2743879	7589
180	COD	democratic republic of the congo	809.2175334	909	5917790	13487
428	LVA	latvia	22568.50232	794	5572986	17451
191	HRV	croatia	21350.52108	1843	9363305	26635
70	BIH	bosnia and herzegovina	9535.539791	1276	9077454	26947
144	LKA	sri lanka	9738.119174	1869	11872045	31454
780	TTO	trinidad and tobago	30446.00754	216	3222597	9394
100	BGR	bulgaria	15731.67262	1797	9396414	26534
388	JAM	jamaica	8892.762804	363	3393538	9123
8	ALB	albania	9930.943226	1535	8302985	23141
24	AGO	angola	7736.174682	727	4117112	11212
384	CIV	ivory coast	3210.454644	262	2167518	5976
422	LBN	lebanon	17173.84224	2103	10491745	28502
458	MYS	malaysia	23338.01402	1583	8991892	26779
508	MOZ	mozambique	1105.073498	510	3320356	8927
764	THA	thailand	14393.5307	1742	10201818	25955
300	GRC	greece	25666.67354	3233	12349644	35028
558	NIC	nicaragua	4642.696251	723	3757972	9785
562	NER	niger	916.1996912	711	3238542	8754
124	CAN	canada	42752.65745	3417	14180797	41982
4	AFG	afghanistan	1946.193806	3010	12811496	34286
634	QAT	qatar	136727.2536	325	2200454	5911
585	PLW	palau	15095.98814	120	1516509	4406
