id	code	country	indicator	citations	fsize	links
626	TLS	east timor		287	1825108	4556
882	WSM	samoa	5583.926819	209	1577359	4175
392	JPN	japan	35614.31002	3366	16441329	44822
31	AZE	azerbaijan	16593.18876	2002	9390161	24439
408	PRK	north korea		2085	8090788	17766
262	DJI	djibouti	2902.546245	155	1819059	5571
470	MLT	malta	28821.6624	685	4545131	14276
624	GNB	guinea-bissau	1361.89182	286	1784413	5321
348	HUN	hungary	22706.6119	1099	6609895	16810
196	CYP	cyprus	27393.93981	860	4993330	13832
52	BRB	barbados		342	2542869	7487
64	BTN	bhutan	7167.205809	552	3132760	8245
398	KAZ	kazakhstan	22469.67902	760	5030223	15433
440	LTU	lithuania	24469.6225	505	2661259	8709
178	COG	republic of the congo	5680.229983	141	1469208	3847
583	FSM	micronesia	3285.752942	159	1195659	3795
20	AND	andorra		394	2196134	6844
516	NAM	namibia	9275.772989	704	4735890	11635
646	RWA	rwanda	1426.366288	967	3336595	8388
32	ARG	argentina		990	5511252	15099
288	GHA	ghana	3864.030789	947	8538852	21475
688	SRB	serbia	12892.4963	1151	9300724	29834
36	AUS	australia	42834.01676	2755	11101694	28276
192	CUB	cuba		1614	7528766	21710
894	ZMB	zambia	3799.540436	402	2458163	5416
320	GTM	guatemala	7062.530675	1322	4848474	13327
56	BEL	belgium	40608.97201	1488	10269267	29189
332	HTI	haiti	1648.399153	1113	5020928	12590
854	BFA	burkina faso	1630.444497	259	1527119	4376
430	LBR	liberia	849.8309242	365	1718839	3951
417	KGZ	kyrgyzstan	3109.812829	533	3545032	10445
620	PRT	portugal	25932.9337	647	4092352	13893
208	DNK	denmark	42482.73246	2063	11934319	37996
608	PHL	philippines	6326.216424	2188	15381963	47504
686	SEN	senegal	2170.077207	623	2955926	7496
498	MDA	moldova	4521.084845	644	2743879	7589
180	COD	democratic republic of the congo	783.2592536	909	5917790	13487
428	LVA	latvia	21832.57074	794	5572986	17451
191	HRV	croatia	20048.98716	1843	9363305	26635
70	BIH	bosnia and herzegovina	9387.350031	1276	9077454	26947
144	LKA	sri lanka	9425.737383	1869	11872045	31454
780	TTO	trinidad and tobago	29469.35299	216	3222597	9394
100	BGR	bulgaria	15695.01779	1797	9396414	26534
388	JAM	jamaica	8607.498563	363	3393538	9123
8	ALB	albania	9960.940726	1535	8302985	23141
24	AGO	angola	7488.01176	727	4117112	11212
384	CIV	ivory coast	3107.468888	262	2167518	5976
422	LBN	lebanon	16622.93548	2103	10491745	28502
458	MYS	malaysia	22589.37145	1583	8991892	26779
508	MOZ	mozambique	1069.624677	510	3320356	8927
764	THA	thailand	13931.81147	1742	10201818	25955
300	GRC	greece	24305.05961	3233	12349644	35028
558	NIC	nicaragua	4493.766694	723	3757972	9785
562	NER	niger	886.8096113	711	3238542	8754
