id	code	country	indicator	citations	fsize	links
626	TLS	east timor	0.00000000000000E+00	287	1825108	4556
882	WSM	samoa	7.97642230987549E-01	209	1577359	4175
392	JPN	japan	3.52122930344194E-02	3366	16441329	44822
31	AZE	azerbaijan	3.64422291082447E+01	2002	9390161	24439
408	PRK	north korea	0.00000000000000E+00	2085	8090788	17766
262	DJI	djibouti	2.01321458816528E+00	155	1819059	5571
470	MLT	malta	0.00000000000000E+00	685	4545131	14276
624	GNB	guinea-bissau	1.97361583709717E+01	286	1784413	5321
348	HUN	hungary	6.00544236949645E-01	1099	6609895	16810
196	CYP	cyprus	9.75248077884317E-03	860	4993330	13832
52	BRB	barbados	0.00000000000000E+00	342	2542869	7487
64	BTN	bhutan	1.77008686065674E+01	552	3132760	8245
398	KAZ	kazakhstan	2.97361678816378E+01	760	5030223	15433
440	LTU	lithuania	1.05701744556427E+00	505	2661259	8709
178	COG	republic of the congo	5.98189268112182E+01	141	1469208	3847
583	FSM	micronesia	6.52404651045799E-02	159	1195659	3795
20	AND	andorra	0.00000000000000E+00	394	2196134	6844
516	NAM	namibia	1.85011401772499E+00	704	4735890	11635
646	RWA	rwanda	6.60208973288536E+00	967	3336595	8388
32	ARG	argentina	3.85279498164892E+00	990	5511252	15099
288	GHA	ghana	1.77744016647339E+01	947	8538852	21475
688	SRB	serbia	2.85103102028370E+00	1151	9300724	29834
36	AUS	australia	7.16024728119374E+00	2755	11101694	28276
192	CUB	cuba	0.00000000000000E+00	1614	7528766	21710
894	ZMB	zambia	1.94355041831732E+01	402	2458163	5416
417	KGZ	kyrgyzstan	9.82542525418103E+00	533	3545032	10445
320	GTM	guatemala	4.00536984205246E+00	1322	4848474	13327
56	BEL	belgium	5.36513812839985E-02	1488	10269267	29189
332	HTI	haiti	2.03292846679688E+00	1113	5020928	12590
854	BFA	burkina faso	2.07484240531921E+01	259	1527119	4376
430	LBR	liberia	2.96109181642533E+01	365	1718839	3951
384	CIV	ivory coast	8.44269245862960E+00	262	2167518	5976
620	PRT	portugal	5.16371592879295E-01	647	4092352	13893
208	DNK	denmark	1.71854465542129E+00	2063	11934319	37996
608	PHL	philippines	3.17161024734378E+00	2188	15381963	47504
686	SEN	senegal	5.16622709482908E+00	623	2955926	7496
498	MDA	moldova	2.67200767993927E-01	644	2743879	7589
180	COD	democratic republic of the congo	3.67688282784075E+01	909	5917790	13487
428	LVA	latvia	2.66321682929993E+00	794	5572986	17451
191	HRV	croatia	1.71701794862747E+00	1843	9363305	26635
70	BIH	bosnia and herzegovina	1.92723065614701E+00	1276	9077454	26947
144	LKA	sri lanka	5.89120600838215E-01	1869	11872045	31454
780	TTO	trinidad and tobago	2.97029071114958E+01	216	3222597	9394
100	BGR	bulgaria	2.02104453608627E+00	1797	9396414	26534
388	JAM	jamaica	1.44898113608360E+00	363	3393538	9123
8	ALB	albania	5.19052846077830E+00	1535	8302985	23141
24	AGO	angola	3.82543214708567E+01	727	4117112	11212
422	LBN	lebanon	3.63521464169025E-03	2103	10491745	28502
458	MYS	malaysia	1.08481269478797E+01	1583	8991892	26779
508	MOZ	mozambique	1.39961196184158E+01	510	3320356	8927
764	THA	thailand	4.55532739683987E+00	1742	10201818	25955
300	GRC	greece	1.62196520876023E-01	3233	12349644	35028
558	NIC	nicaragua	5.42667853832245E+00	723	3757972	9785
562	NER	niger	1.90270952582360E+01	711	3238542	8754
124	CAN	canada	5.16317688301206E+00	3417	14180797	41982
4	AFG	afghanistan	1.21898651123047E+00	3010	12811496	34286
634	QAT	qatar	3.45995678256585E+01	325	2200454	5911
585	PLW	palau	0.00000000000000E+00	120	1516509	4406
226	GNQ	equatorial guinea	5.38623329773545E+01	167	1412177	3962
729	SDN	sudan	8.93548095226288E+00	748	5011562	13750
324	GIN	guinea	2.39383831024170E+01	225	1499153	3969
591	PAN	panama	5.33795833587647E-01	453	3567520	10326
524	NPL	nepal	4.85531902080402E+00	1983	12359198	31019
140	CAF	central african republic	1.57031513154507E+01	557	2733055	6687
442	LUX	luxembourg	9.88500713719987E-02	445	4297239	12666
716	ZWE	zimbabwe	1.06894900798798E+01	1994	7759641	18564
748	SWZ	swaziland	2.25843906402588E+00	174	1305466	3510
706	SOM	somalia	0.00000000000000E+00	2758	11573292	30219
798	TUV	tuvalu	0.00000000000000E+00	925	3622703	8914
862	VEN	venezuela	2.20519082769752E+01	1002	5647358	14170
662	LCA	saint lucia	5.00953681766987E-02	150	1856218	4866
96	BRN	brunei	3.51146924123168E+01	491	3348866	9852
364	IRN	iran	3.94018194600939E+01	5882	20529075	53463
784	ARE	united arab emirates	2.36885935169121E+01	556	3552603	8937
466	MLI	mali	1.35351243019104E+01	625	3401409	9256
682	SAU	saudi arabia	4.61903875579591E+01	1666	10453381	29624
659	KNA	saint kitts and nevis	0.00000000000000E+00	59	1396862	3739
756	CHE	switzerland	3.44243168365210E-02	900	7055535	23274
600	PRY	paraguay	4.44285154342651E+00	192	2667817	6873
156	CHN	china	4.58514741063119E+00	3598	15920522	47263
51	ARM	armenia	3.86264899373055E+00	3008	13593125	39051
296	KIR	kiribati	1.48358166217804E-01	112	990189	3050
84	BLZ	belize	6.32085680961609E+00	414	3294506	10922
788	TUN	tunisia	6.24079546332359E+00	1217	5287228	14404
804	UKR	ukraine	8.34791105985640E+00	3680	18180124	51204
434	LBY	libya	4.15168242901563E+01	1912	8030270	20645
270	GMB	gambia	6.90271425247192E+00	363	2260222	6453
246	FIN	finland	1.30491175731003E+00	656	5122395	13520
480	MUS	mauritius	3.38339013978839E-03	224	2507536	7547
28	ATG	antigua and barbuda	0.00000000000000E+00	55	1282394	3375
233	EST	estonia	2.09878426790238E+00	981	5722888	17295
760	SYR	syria	0.00000000000000E+00	3049	14605831	40095
214	DOM	dominican republic	4.90899093449116E-01	428	3088770	8806
104	MMR	burma	0.00000000000000E+00	2410	9196976	20975
586	PAK	pakistan	3.86320277303457E+00	4205	21477320	68229
642	ROU	romania	2.29419955890626E+00	789	5283644	15969
690	SYC	seychelles	1.16614148020744E-01	66	1450952	4500
203	CZE	czech republic	4.32182032614947E-01	348	3304578	9155
818	EGY	egypt	1.09321805834770E+01	3001	11672118	30922
598	PNG	papua new guinea	3.16172480583191E+01	387	3195466	8519
840	USA	united states	1.24915447831153E+00	15304	52182114	151469
40	AUT	austria	3.92416737973690E-01	1311	10892096	32445
496	MNG	mongolia	2.80162057280540E+01	1667	8899314	27064
170	COL	colombia	9.71813836693764E+00	1023	7038812	20089
340	HND	honduras	3.78551906347275E+00	722	3315102	6948
554	NZL	new zealand	1.92795290425420E+00	1427	6201233	15155
242	FJI	fiji	2.86806529760360E+00	343	2428571	6108
174	COM	comoros	3.62241220474243E+00	109	1375712	3984
792	TUR	turkey	5.77153640799225E-01	2857	14049568	44033
826	GBR	united kingdom	1.00345335231395E+00	8628	35289924	107339
450	MDG	madagascar	9.79139029979706E+00	635	4426741	10294
368	IRQ	iraq	4.35411870023236E+01	2568	11919538	33762
50	BGD	bangladesh	3.48036458529531E+00	3254	19238292	57315
478	MRT	mauritania	5.38285920619965E+01	494	2817073	7565
858	URY	uruguay	2.56346812844277E+00	454	3979898	10642
250	FRA	france	1.23208666569553E-01	1730	10752330	34546
44	BHS	bahamas	4.41041253507137E-02	400	2513540	6910
703	SVK	slovakia	4.73948232829571E-01	567	4087803	11688
372	IRL	ireland	1.21526844799519E-01	1615	6484724	16329
418	LAO	laos	1.54905505180358E+01	410	2605137	6778
410	KOR	south korea	3.78522559767589E-02	1484	6604974	14929
68	BOL	bolivia	1.60981104373932E+01	402	3681253	10308
454	MWI	malawi	1.46884679794312E+01	750	3050315	7024
218	ECU	ecuador	1.70163534805179E+01	898	5252818	12692
376	ISR	israel	4.36720473051537E-01	7951	25677910	65553
604	PER	peru	9.67532957042567E+00	633	5381479	16059
12	DZA	algeria	2.81637243479490E+01	721	6797727	19565
752	SWE	sweden	1.11200368404388E+00	2004	10834574	30870
356	IND	india	4.81765784323216E+00	5042	24381167	70861
834	TZA	tanzania	8.07000574469566E+00	556	4721413	11868
499	MNE	montenegro	7.47644459828734E-01	1239	6874308	19854
762	TJK	tajikistan	1.69676400814205E+00	569	3856874	11733
768	TGO	togo	8.94092214107513E+00	74	1478904	4415
400	JOR	jordan	1.94160483893938E+00	914	5592938	15060
152	CHL	chile	1.60383341684937E+01	1430	7410887	19636
512	OMN	oman	3.80493207864056E+01	244	2740041	7050
566	NGA	nigeria	1.53935553086631E+01	1168	7926035	20332
724	ESP	spain	1.42572939861566E-01	3334	16565176	45770
268	GEO	georgia	9.35879300348461E-01	1722	7851210	21567
578	NOR	norway	1.09282256271690E+01	1151	7215017	20016
694	SLE	sierra leone	9.39570391178131E+00	610	3195183	7907
