id	code	country	indicator	citations	fsize	links
626	TLS	east timor		287	1825108	4556
882	WSM	samoa	7.56701723645441E+08	209	1577359	4175
392	JPN	japan	5.89990472194965E+12	3366	16441329	44822
31	AZE	azerbaijan	6.91845464582366E+10	2002	9390161	24439
408	PRK	north korea		2085	8090788	17766
262	DJI	djibouti		155	1819059	5571
470	MLT	malta	8.88168125013844E+09	685	4545131	14276
624	GNB	guinea-bissau	1.00771040448905E+09	286	1784413	5321
348	HUN	hungary	1.31211872346611E+11	1099	6609895	16810
196	CYP	cyprus	2.18783189378143E+10	860	4993330	13832
52	BRB	barbados		342	2542869	7487
64	BTN	bhutan	1.75863222930486E+09	552	3132760	8245
398	KAZ	kazakhstan	1.96835748909209E+11	760	5030223	15433
440	LTU	lithuania	4.40602151500442E+10	505	2661259	8709
178	COG	republic of the congo	1.15277530257939E+10	141	1469208	3847
583	FSM	micronesia	3.39347478469689E+08	159	1195659	3795
20	AND	andorra		394	2196134	6844
516	NAM	namibia	1.35190617064924E+10	704	4735890	11635
646	RWA	rwanda	7.42153793758836E+09	967	3336595	8388
32	ARG	argentina		990	5511252	15099
288	GHA	ghana	4.58038749276057E+10	947	8538852	21475
688	SRB	serbia	4.33396323387474E+10	1151	9300724	29834
36	AUS	australia	1.51260487976676E+12	2755	11101694	28276
192	CUB	cuba		1614	7528766	21710
894	ZMB	zambia	2.63234533735805E+10	402	2458163	5416
417	KGZ	kyrgyzstan	6.90558588855100E+09	533	3545032	10445
320	GTM	guatemala	5.16259474089214E+10	1322	4848474	13327
56	BEL	belgium	5.18241398426562E+11	1488	10269267	29189
332	HTI	haiti	8.39726160796564E+09	1113	5020928	12590
854	BFA	burkina faso	1.27155025472503E+10	259	1527119	4376
430	LBR	liberia	1.74361314298505E+09	365	1718839	3951
384	CIV	ivory coast	2.94928976142062E+10	262	2167518	5976
620	PRT	portugal	2.22403036904363E+11	647	4092352	13893
208	DNK	denmark	3.46278035510150E+11	2063	11934319	37996
608	PHL	philippines	3.21810315642028E+11	2188	15381963	47504
686	SEN	senegal	1.48199312669957E+10	623	2955926	7496
498	MDA	moldova	8.78030299553943E+09	644	2743879	7589
180	COD	democratic republic of the congo	2.90665503328746E+10	909	5917790	13487
428	LVA	latvia	3.07738789487373E+10	794	5572986	17451
191	HRV	croatia	5.71155316925832E+10	1843	9363305	26635
70	BIH	bosnia and herzegovina	1.83090349823204E+10	1276	9077454	26947
144	LKA	sri lanka	6.49664691148180E+10	1869	11872045	31454
780	TTO	trinidad and tobago	2.11331153884981E+10	216	3222597	9394
100	BGR	bulgaria	5.34560340323083E+10	1797	9396414	26534
388	JAM	jamaica	1.41626464829791E+10	363	3393538	9123
8	ALB	albania	1.30647744674108E+10	1535	8302985	23141
24	AGO	angola	1.10907980512259E+11	727	4117112	11212
422	LBN	lebanon	4.40814025700360E+10	2103	10491745	28502
458	MYS	malaysia	3.09937037032539E+11	1583	8991892	26779
508	MOZ	mozambique	1.57511191258923E+10	510	3320356	8927
764	THA	thailand	3.57661343403608E+11	1742	10201818	25955
300	GRC	greece	2.50269034219325E+11	3233	12349644	35028
558	NIC	nicaragua	1.08904416200114E+10	723	3757972	9785
