id	code	country	indicator	citations	fsize	links
626	TLS	east timor		287	1825108	4556
882	WSM	samoa	772596131.1	209	1577359	4175
392	JPN	japan	5.10037E+12	3366	16441329	44822
31	AZE	azerbaijan	69440407903	2002	9390161	24439
408	PRK	north korea		2085	8090788	17766
262	DJI	djibouti		155	1819059	5571
470	MLT	malta	8946393507	685	4545131	14276
624	GNB	guinea-bissau	959786657	286	1784413	5321
348	HUN	hungary	1.29554E+11	1099	6609895	16810
196	CYP	cyprus	21453797132	860	4993330	13832
52	BRB	barbados		342	2542869	7487
64	BTN	bhutan	1665335559	552	3132760	8245
398	KAZ	kazakhstan	2.06571E+11	760	5030223	15433
440	LTU	lithuania	44274314879	505	2661259	8709
178	COG	republic of the congo	11049893387	141	1469208	3847
583	FSM	micronesia	343245700	159	1195659	3795
20	AND	andorra		394	2196134	6844
516	NAM	namibia	12989715280	704	4735890	11635
646	RWA	rwanda	7406888444	967	3336595	8388
32	ARG	argentina	5.99313E+11	990	5511252	15099
288	GHA	ghana	47004169744	947	8538852	21475
688	SRB	serbia	43641097595	1151	9300724	29834
36	AUS	australia	1.52104E+12	2755	11101694	28276
192	CUB	cuba		1614	7528766	21710
894	ZMB	zambia	26049970548	402	2458163	5416
320	GTM	guatemala	52557309554	1322	4848474	13327
56	BEL	belgium	5.19519E+11	1488	10269267	29189
332	HTI	haiti	8520705943	1113	5020928	12590
854	BFA	burkina faso	12879568537	259	1527119	4376
430	LBR	liberia	1751026354	365	1718839	3951
417	KGZ	kyrgyzstan	6935862557	533	3545032	10445
620	PRT	portugal	2.22332E+11	647	4092352	13893
208	DNK	denmark	3.47488E+11	2063	11934319	37996
608	PHL	philippines	3.26316E+11	2188	15381963	47504
686	SEN	senegal	14606217211	623	2955926	7496
498	MDA	moldova	8846500556	644	2743879	7589
180	COD	democratic republic of the congo	29880463572	909	5917790	13487
428	LVA	latvia	30883225248	794	5572986	17451
191	HRV	croatia	56412382338	1843	9363305	26635
70	BIH	bosnia and herzegovina	18077732469	1276	9077454	26947
144	LKA	sri lanka	65362559058	1869	11872045	31454
780	TTO	trinidad and tobago	21217500196	216	3222597	9394
100	BGR	bulgaria	52675796010	1797	9396414	26534
388	JAM	jamaica	13707640878	363	3393538	9123
8	ALB	albania	12951119868	1535	8302985	23141
24	AGO	angola	1.12289E+11	727	4117112	11212
384	CIV	ivory coast	29881669525	262	2167518	5976
422	LBN	lebanon	44926337307	2103	10491745	28502
458	MYS	malaysia	3.02329E+11	1583	8991892	26779
508	MOZ	mozambique	15578021568	510	3320356	8927
764	THA	thailand	3.61245E+11	1742	10201818	25955
300	GRC	greece	2.42156E+11	3233	12349644	35028
558	NIC	nicaragua	10942524423	723	3757972	9785
