id	code	country	indicator	citations	fsize	links
626	TLS	east timor		287	1825108	4556
882	WSM	samoa	1058098648	209	1577359	4175
392	JPN	japan	4.78216E+12	3366	16441329	44822
31	AZE	azerbaijan	1.52391E+11	2002	9390161	24439
408	PRK	north korea		2085	8090788	17766
262	DJI	djibouti		155	1819059	5571
470	MLT	malta	11441497206	685	4545131	14276
624	GNB	guinea-bissau	2395456999	286	1784413	5321
348	HUN	hungary	2.24172E+11	1099	6609895	16810
196	CYP	cyprus	23982028527	860	4993330	13832
52	BRB	barbados		342	2542869	7487
64	BTN	bhutan	5219447555	552	3132760	8245
398	KAZ	kazakhstan	3.52305E+11	760	5030223	15433
440	LTU	lithuania	72566732742	505	2661259	8709
178	COG	republic of the congo	20475262534	141	1469208	3847
583	FSM	micronesia	381523277.7	159	1195659	3795
20	AND	andorra		394	2196134	6844
516	NAM	namibia	21865451864	704	4735890	11635
646	RWA	rwanda	17090428887	967	3336595	8388
32	ARG	argentina		990	5511252	15099
288	GHA	ghana	1.0098E+11	947	8538852	21475
688	SRB	serbia	89426312974	1151	9300724	29834
36	AUS	australia	9.74052E+11	2755	11101694	28276
192	CUB	cuba		1614	7528766	21710
894	ZMB	zambia	55430522163	402	2458163	5416
320	GTM	guatemala	1.10265E+11	1322	4848474	13327
56	BEL	belgium	4.6024E+11	1488	10269267	29189
332	HTI	haiti	17698430322	1113	5020928	12590
854	BFA	burkina faso	28514538953	259	1527119	4376
430	LBR	liberia	3383813312	365	1718839	3951
417	KGZ	kyrgyzstan	17637781293	533	3545032	10445
620	PRT	portugal	2.84372E+11	647	4092352	13893
208	DNK	denmark	2.54332E+11	2063	11934319	37996
608	PHL	philippines	7.7132E+11	2188	15381963	47504
686	SEN	senegal	31289425706	623	2955926	7496
498	MDA	moldova	18450637793	644	2743879	7589
180	COD	democratic republic of the congo	49936435759	909	5917790	13487
428	LVA	latvia	45314632049	794	5572986	17451
191	HRV	croatia	88574843061	1843	9363305	26635
70	BIH	bosnia and herzegovina	36977617965	1276	9077454	26947
144	LKA	sri lanka	1.94064E+11	1869	11872045	31454
780	TTO	trinidad and tobago	35159828817	216	3222597	9394
100	BGR	bulgaria	1.10508E+11	1797	9396414	26534
388	JAM	jamaica	23041133808	363	3393538	9123
8	ALB	albania	28835651121	1535	8302985	23141
24	AGO	angola	1.50205E+11	727	4117112	11212
384	CIV	ivory coast	62745365494	262	2167518	5976
422	LBN	lebanon	77715035087	2103	10491745	28502
458	MYS	malaysia	6.69549E+11	1583	8991892	26779
508	MOZ	mozambique	28452704835	510	3320356	8927
764	THA	thailand	8.99743E+11	1742	10201818	25955
300	GRC	greece	2.82954E+11	3233	12349644	35028
558	NIC	nicaragua	27444577008	723	3757972	9785
562	NER	niger	15930762071	711	3238542	8754
124	CAN	canada	1.48079E+12	3417	14180797	41982
4	AFG	afghanistan	59872252171	3010	12811496	34286
634	QAT	qatar	2.7875E+11	325	2200454	5911
585	PLW	palau	304188439	120	1516509	4406
226	GNQ	equatorial guinea	17612043414	167	1412177	3962
729	SDN	sudan	1.22673E+11	748	5011562	13750
324	GIN	guinea	13645938224	225	1499153	3969
591	PAN	panama	74568287518	453	3567520	10326
524	NPL	nepal	62881844991	1983	12359198	31019
140	CAF	central african republic	2785155503	557	2733055	6687
442	LUX	luxembourg	31420110199	445	4297239	12666
716	ZWE	zimbabwe	23967072598	1994	7759641	18564
748	SWZ	swaziland	7567901322	174	1305466	3510
706	SOM	somalia		2758	11573292	30219
798	TUV	tuvalu	51961382.87	925	3622703	8914
862	VEN	venezuela	5.4423E+11	1002	5647358	14170
96	BRN	brunei		491	3348866	9852
364	IRN	iran	1.20862E+12	5882	20529075	53463
784	ARE	united arab emirates		556	3552603	8937
466	MLI	mali	23584594402	625	3401409	9256
682	SAU	saudi arabia	1.5465E+12	1666	10453381	29624
659	KNA	saint kitts and nevis	1137318112	59	1396862	3739
756	CHE	switzerland	4.8211E+11	900	7055535	23274
600	PRY	paraguay	52198424137	192	2667817	6873
156	CHN	china	1.60845E+13	3598	15920522	47263
51	ARM	armenia	24346534809	3008	13593125	39051
296	KIR	kiribati	284376210.4	112	990189	3050
84	BLZ	belize	2612187481	414	3294506	10922
788	TUN	tunisia	1.15453E+11	1217	5287228	14404
804	UKR	ukraine	4.0785E+11	3680	18180124	51204
434	LBY	libya		1912	8030270	20645
270	GMB	gambia	2978106630	363	2260222	6453
246	FIN	finland	2.16798E+11	656	5122395	13520
480	MUS	mauritius	22321918924	224	2507536	7547
28	ATG	antigua and barbuda	1843467535	55	1282394	3375
233	EST	estonia	32845113809	981	5722888	17295
760	SYR	syria		3049	14605831	40095
214	DOM	dominican republic	1.20964E+11	428	3088770	8806
104	MMR	burma		2410	9196976	20975
586	PAK	pakistan	8.81442E+11	4205	21477320	68229
642	ROU	romania	3.67504E+11	789	5283644	15969
690	SYC	seychelles	2115901149	66	1450952	4500
203	CZE	czech republic	2.83571E+11	348	3304578	9155
818	EGY	egypt	8.85148E+11	3001	11672118	30922
598	PNG	papua new guinea	18380676926	387	3195466	8519
840	USA	united states	1.69924E+13	15304	52182114	151469
40	AUT	austria	3.81901E+11	1311	10892096	32445
496	MNG	mongolia	25007295186	1667	8899314	27064
170	COL	colombia	5.77816E+11	1023	7038812	20089
340	HND	honduras	34561916870	722	3315102	6948
554	NZL	new zealand		1427	6201233	15155
242	FJI	fiji	6686262347	343	2428571	6108
174	COM	comoros	1095669473	109	1375712	3984
792	TUR	turkey	1.39145E+12	2857	14049568	44033
826	GBR	united kingdom	2.43387E+12	8628	35289924	107339
450	MDG	madagascar	31394565411	635	4426741	10294
368	IRQ	iraq	4.98974E+11	2568	11919538	33762
50	BGD	bangladesh	4.98774E+11	3254	19238292	57315
478	MRT	mauritania	11079742268	494	2817073	7565
858	URY	uruguay	64515144120	454	3979898	10642
250	FRA	france	2.51783E+12	1730	10752330	34546
44	BHS	bahamas	8568200009	400	2513540	6910
703	SVK	slovakia	1.4059E+11	567	4087803	11688
372	IRL	ireland	1.78695E+11	1615	6484724	16329
418	LAO	laos	30786140003	410	2605137	6778
410	KOR	south korea	1.67523E+12	1484	6604974	14929
68	BOL	bolivia	61346845721	402	3681253	10308
454	MWI	malawi	12310945578	750	3050315	7024
218	ECU	ecuador	1.68765E+11	898	5252818	12692
376	ISR	israel	2.56159E+11	7951	25677910	65553
604	PER	peru	3.38858E+11	633	5381479	16059
12	DZA	algeria	5.12533E+11	721	6797727	19565
674	SMR	san marino		66	802513	1998
834	TZA	tanzania	1.16318E+11	556	4721413	11868
499	MNE	montenegro	8954130145	1239	6874308	19854
762	TJK	tajikistan	20498360886	569	3856874	11733
768	TGO	togo	8075922798	74	1478904	4415
400	JOR	jordan	75349115911	914	5592938	15060
152	CHL	chile	3.71101E+11	1430	7410887	19636
512	OMN	oman		244	2740041	7050
566	NGA	nigeria	9.30235E+11	1168	7926035	20332
724	ESP	spain	1.53212E+12	3334	16565176	45770
268	GEO	georgia	31520990635	1722	7851210	21567
578	NOR	norway	3.32498E+11	1151	7215017	20016
694	SLE	sierra leone	10269973171	610	3195183	7907
