id	code	country	indicator	citations	fsize	links
626	TLS	east timor		287	1825108	4556
882	WSM	samoa	3970	209	1577359	4175
392	JPN	japan	46330	3366	16441329	44822
31	AZE	azerbaijan	7350	2002	9390161	24439
408	PRK	north korea		2085	8090788	17766
262	DJI	djibouti		155	1819059	5571
470	MLT	malta	20980	685	4545131	14276
624	GNB	guinea-bissau	590	286	1784413	5321
348	HUN	hungary	13260	1099	6609895	16810
196	CYP	cyprus	25210	860	4993330	13832
52	BRB	barbados		342	2542869	7487
64	BTN	bhutan	2330	552	3132760	8245
398	KAZ	kazakhstan	11550	760	5030223	15433
440	LTU	lithuania	14900	505	2661259	8709
178	COG	republic of the congo	2590	141	1469208	3847
583	FSM	micronesia	3280	159	1195659	3795
20	AND	andorra		394	2196134	6844
516	NAM	namibia	5870	704	4735890	11635
646	RWA	rwanda	630	967	3336595	8388
32	ARG	argentina		990	5511252	15099
288	GHA	ghana	1770	947	8538852	21475
688	SRB	serbia	6050	1151	9300724	29834
36	AUS	australia	65400	2755	11101694	28276
192	CUB	cuba		1614	7528766	21710
894	ZMB	zambia	1810	402	2458163	5416
320	GTM	guatemala	3340	1322	4848474	13327
56	BEL	belgium	46340	1488	10269267	29189
332	HTI	haiti	810	1113	5020928	12590
854	BFA	burkina faso	750	259	1527119	4376
430	LBR	liberia	410	365	1718839	3951
417	KGZ	kyrgyzstan	1210	533	3545032	10445
620	PRT	portugal	21270	647	4092352	13893
208	DNK	denmark	61670	2063	11934319	37996
608	PHL	philippines	3270	2188	15381963	47504
686	SEN	senegal	1050	623	2955926	7496
498	MDA	moldova	2470	644	2743879	7589
180	COD	democratic republic of the congo	430	909	5917790	13487
428	LVA	latvia	15290	794	5572986	17451
191	HRV	croatia	13420	1843	9363305	26635
70	BIH	bosnia and herzegovina	4780	1276	9077454	26947
144	LKA	sri lanka	3170	1869	11872045	31454
780	TTO	trinidad and tobago	15760	216	3222597	9394
100	BGR	bulgaria	7360	1797	9396414	26534
388	JAM	jamaica	5220	363	3393538	9123
8	ALB	albania	4510	1535	8302985	23141
24	AGO	angola	5170	727	4117112	11212
384	CIV	ivory coast	1450	262	2167518	5976
422	LBN	lebanon	9870	2103	10491745	28502
458	MYS	malaysia	10430	1583	8991892	26779
508	MOZ	mozambique	610	510	3320356	8927
764	THA	thailand	5340	1742	10201818	25955
300	GRC	greece	22690	3233	12349644	35028
558	NIC	nicaragua	1790	723	3757972	9785
562	NER	niger	400	711	3238542	8754
124	CAN	canada	52210	3417	14180797	41982
4	AFG	afghanistan	690	3010	12811496	34286
634	QAT	qatar	86790	325	2200454	5911
585	PLW	palau	10970	120	1516509	4406
226	GNQ	equatorial guinea	14320	167	1412177	3962
729	SDN	sudan	1550	748	5011562	13750
324	GIN	guinea	460	225	1499153	3969
591	PAN	panama	10700	453	3567520	10326
524	NPL	nepal	730	1983	12359198	31019
140	CAF	central african republic	320	557	2733055	6687
442	LUX	luxembourg	69880	445	4297239	12666
716	ZWE	zimbabwe	860	1994	7759641	18564
748	SWZ	swaziland	2990	174	1305466	3510
706	SOM	somalia		2758	11573292	30219
798	TUV	tuvalu	5840	925	3622703	8914
862	VEN	venezuela	12550	1002	5647358	14170
96	BRN	brunei		491	3348866	9852
364	IRN	iran	5780	5882	20529075	53463
784	ARE	united arab emirates		556	3552603	8937
466	MLI	mali	670	625	3401409	9256
682	SAU	saudi arabia	26260	1666	10453381	29624
659	KNA	saint kitts and nevis	13890	59	1396862	3739
756	CHE	switzerland	90680	900	7055535	23274
600	PRY	paraguay	4010	192	2667817	6873
156	CHN	china	6560	3598	15920522	47263
51	ARM	armenia	3800	3008	13593125	39051
296	KIR	kiribati	2620	112	990189	3050
84	BLZ	belize	4510	414	3294506	10922
788	TUN	tunisia	4200	1217	5287228	14404
804	UKR	ukraine	3960	3680	18180124	51204
434	LBY	libya		1912	8030270	20645
270	GMB	gambia	500	363	2260222	6453
246	FIN	finland	48820	656	5122395	13520
480	MUS	mauritius	9570	224	2507536	7547
28	ATG	antigua and barbuda	13050	55	1282394	3375
233	EST	estonia	17780	981	5722888	17295
760	SYR	syria		3049	14605831	40095
214	DOM	dominican republic	5770	428	3088770	8806
104	MMR	burma		2410	9196976	20975
586	PAK	pakistan	1360	4205	21477320	68229
642	ROU	romania	9050	789	5283644	15969
690	SYC	seychelles	13210	66	1450952	4500
203	CZE	czech republic	18970	348	3304578	9155
818	EGY	egypt	3140	3001	11672118	30922
598	PNG	papua new guinea	2020	387	3195466	8519
840	USA	united states	53470	15304	52182114	151469
40	AUT	austria	50390	1311	10892096	32445
496	MNG	mongolia	3770	1667	8899314	27064
170	COL	colombia	7590	1023	7038812	20089
340	HND	honduras	2180	722	3315102	6948
554	NZL	new zealand		1427	6201233	15155
242	FJI	fiji	4370	343	2428571	6108
174	COM	comoros	840	109	1375712	3984
792	TUR	turkey	10970	2857	14049568	44033
826	GBR	united kingdom	41680	8628	35289924	107339
450	MDG	madagascar	440	635	4426741	10294
368	IRQ	iraq	6720	2568	11919538	33762
50	BGD	bangladesh	1010	3254	19238292	57315
478	MRT	mauritania	1060	494	2817073	7565
858	URY	uruguay	15180	454	3979898	10642
250	FRA	france	43520	1730	10752330	34546
44	BHS	bahamas	21570	400	2513540	6910
703	SVK	slovakia	17810	567	4087803	11688
372	IRL	ireland	43090	1615	6484724	16329
418	LAO	laos	1450	410	2605137	6778
410	KOR	south korea	25920	1484	6604974	14929
68	BOL	bolivia	2550	402	3681253	10308
454	MWI	malawi	270	750	3050315	7024
218	ECU	ecuador	5760	898	5252818	12692
376	ISR	israel	33930	7951	25677910	65553
604	PER	peru	6270	633	5381479	16059
12	DZA	algeria	5330	721	6797727	19565
674	SMR	san marino		66	802513	1998
834	TZA	tanzania	860	556	4721413	11868
499	MNE	montenegro	7250	1239	6874308	19854
762	TJK	tajikistan	990	569	3856874	11733
768	TGO	togo	530	74	1478904	4415
400	JOR	jordan	4950	914	5592938	15060
152	CHL	chile	15230	1430	7410887	19636
512	OMN	oman		244	2740041	7050
566	NGA	nigeria	2710	1168	7926035	20332
724	ESP	spain	29940	3334	16565176	45770
268	GEO	georgia	3560	1722	7851210	21567
578	NOR	norway	102700	1151	7215017	20016
694	SLE	sierra leone	660	610	3195183	7907
504	MAR	morocco	3020	1463	8889048	23442
752	SWE	sweden	61710	2004	10834574	30870
266	GAB	gabon	10650	185	2259207	6708
328	GUY	guyana	3750	569	3495270	9188
308	GRD	grenada	7490	124	1579737	4471
887	YEM	yemen	1330	925	5317491	14964
643	RUS	russia	13850	3858	19559146	53313
728	SSD	south sudan	950	971	4079530	9758
48	BHR	bahrain		984	5534198	14791
360	IDN	indonesia	3580	1109	6315182	17660
148	TCD	chad	1030	446	2572952	6902
484	MEX	mexico	9940	1935	10624402	27978
356	IND	india	1570	5042	24381167	70861
426	LSO	lesotho	1500	83	1161694	3443
112	BLR	belarus	6730	996	4888728	12776
670	VCT	saint vincent and the grenadines	6460	47	1275427	3160
800	UGA	uganda	600	668	3381652	9634
108	BDI	burundi	260	210	1796598	4801
404	KEN	kenya	1160	1096	8286607	20012
72	BWA	botswana	7770	139	1154682	2889
380	ITA	italy	35620	1847	9978083	33234
116	KHM	cambodia	950	851	5165635	13715
231	ETH	ethiopia	470	1109	6232319	16459
548	VUT	vanuatu	3130	265	2451779	7239
584	MHL	marshall islands	4310	97	1014048	3239
120	CMR	cameroon	1290	956	4537626	11383
204	BEN	benin	790	86	1013683	2666
76	BRA	brazil	11690	2424	12102945	32005
702	SGP	singapore	54040	1270	7965260	19928
90	SLB	solomon islands	1600	286	2615725	7016
352	ISL	iceland	46290	744	5735302	17749
662	LCA	saint lucia	7060	150	1856218	4866
492	MCO	monaco		288	2060126	5928
188	CRI	costa rica	9550	273	2105051	5162
705	SVN	slovenia	23220	587	3362613	9659
276	DEU	germany	47250	809	4940123	15076
710	ZAF	south africa	7410	3528	20480119	48536
212	DMA	dominica	6930	92	1002182	2597
795	TKM	turkmenistan	6880	707	4104779	12388
740	SUR	suriname	9370	156	1635993	4679
232	ERI	eritrea	490	275	2382397	6381
776	TON	tonga	4490	155	1499371	3416
462	MDV	maldives	5600	178	1780819	5626
860	UZB	uzbekistan	1880	740	4951129	14191
222	SLV	el salvador	3720	398	2716148	7133
616	POL	poland	13240	2953	15472218	44481
132	CPV	cape verde	3620	97	1324986	3651
438	LIE	liechtenstein		175	1092252	2825
704	VNM	vietnam	1740	2330	11515107	29006
414	KWT	kuwait		837	5585031	12697
