id	code	country	indicator	citations	fsize	links
626	TLS	east timor	6	287	1825108	4556
882	WSM	samoa	5	209	1577359	4175
392	JPN	japan	6	3366	16441329	44822
31	AZE	azerbaijan	6	2002	9390161	24439
408	PRK	north korea	7	2085	8090788	17766
262	DJI	djibouti	6	155	1819059	5571
470	MLT	malta	5	685	4545131	14276
624	GNB	guinea-bissau	6	286	1784413	5321
348	HUN	hungary	7	1099	6609895	16810
196	CYP	cyprus	6	860	4993330	13832
52	BRB	barbados	5	342	2542869	7487
64	BTN	bhutan	6	552	3132760	8245
398	KAZ	kazakhstan	7	760	5030223	15433
440	LTU	lithuania	7	505	2661259	8709
178	COG	republic of the congo	6	141	1469208	3847
583	FSM	micronesia	6	159	1195659	3795
20	AND	andorra	6	394	2196134	6844
516	NAM	namibia	7	704	4735890	11635
646	RWA	rwanda	7	967	3336595	8388
32	ARG	argentina	6	990	5511252	15099
288	GHA	ghana	6	947	8538852	21475
688	SRB	serbia	7	1151	9300724	29834
36	AUS	australia	5	2755	11101694	28276
192	CUB	cuba	6	1614	7528766	21710
894	ZMB	zambia	7	402	2458163	5416
320	GTM	guatemala	7	1322	4848474	13327
56	BEL	belgium	6	1488	10269267	29189
332	HTI	haiti	6	1113	5020928	12590
854	BFA	burkina faso	6	259	1527119	4376
430	LBR	liberia	6	365	1718839	3951
417	KGZ	kyrgyzstan	7	533	3545032	10445
620	PRT	portugal	6	647	4092352	13893
208	DNK	denmark	6	2063	11934319	37996
608	PHL	philippines	6	2188	15381963	47504
686	SEN	senegal	7	623	2955926	7496
498	MDA	moldova	7	644	2743879	7589
180	COD	democratic republic of the congo	6	909	5917790	13487
428	LVA	latvia	7	794	5572986	17451
191	HRV	croatia	7	1843	9363305	26635
70	BIH	bosnia and herzegovina	6	1276	9077454	26947
144	LKA	sri lanka	5	1869	11872045	31454
780	TTO	trinidad and tobago	5	216	3222597	9394
100	BGR	bulgaria	7	1797	9396414	26534
388	JAM	jamaica	6	363	3393538	9123
8	ALB	albania	6	1535	8302985	23141
24	AGO	angola	6	727	4117112	11212
384	CIV	ivory coast	6	262	2167518	5976
422	LBN	lebanon	6	2103	10491745	28502
458	MYS	malaysia	6	1583	8991892	26779
508	MOZ	mozambique	6	510	3320356	8927
764	THA	thailand	6	1742	10201818	25955
300	GRC	greece	6	3233	12349644	35028
558	NIC	nicaragua	6	723	3757972	9785
562	NER	niger	7	711	3238542	8754
124	CAN	canada	6	3417	14180797	41982
4	AFG	afghanistan	7	3010	12811496	34286
634	QAT	qatar	6	325	2200454	5911
585	PLW	palau	6	120	1516509	4406
226	GNQ	equatorial guinea	7	167	1412177	3962
729	SDN	sudan	6	748	5011562	13750
324	GIN	guinea	7	225	1499153	3969
591	PAN	panama	6	453	3567520	10326
524	NPL	nepal	5	1983	12359198	31019
140	CAF	central african republic	6	557	2733055	6687
442	LUX	luxembourg	6	445	4297239	12666
716	ZWE	zimbabwe	6	1994	7759641	18564
748	SWZ	swaziland	6	174	1305466	3510
706	SOM	somalia	6	2758	11573292	30219
798	TUV	tuvalu	6	925	3622703	8914
862	VEN	venezuela	6	1002	5647358	14170
96	BRN	brunei	6	491	3348866	9852
364	IRN	iran	6	5882	20529075	53463
784	ARE	united arab emirates	6	556	3552603	8937
466	MLI	mali	7	625	3401409	9256
682	SAU	saudi arabia	6	1666	10453381	29624
659	KNA	saint kitts and nevis	5	59	1396862	3739
756	CHE	switzerland	7	900	7055535	23274
600	PRY	paraguay	6	192	2667817	6873
156	CHN	china	7	3598	15920522	47263
51	ARM	armenia	6	3008	13593125	39051
296	KIR	kiribati	6	112	990189	3050
84	BLZ	belize	5	414	3294506	10922
788	TUN	tunisia	6	1217	5287228	14404
804	UKR	ukraine	6	3680	18180124	51204
434	LBY	libya	6	1912	8030270	20645
270	GMB	gambia	7	363	2260222	6453
246	FIN	finland	7	656	5122395	13520
480	MUS	mauritius	5	224	2507536	7547
28	ATG	antigua and barbuda	5	55	1282394	3375
233	EST	estonia	7	981	5722888	17295
760	SYR	syria	6	3049	14605831	40095
214	DOM	dominican republic	6	428	3088770	8806
104	MMR	burma	5	2410	9196976	20975
586	PAK	pakistan	5	4205	21477320	68229
642	ROU	romania	7	789	5283644	15969
690	SYC	seychelles	6	66	1450952	4500
203	CZE	czech republic	6	348	3304578	9155
818	EGY	egypt	6	3001	11672118	30922
598	PNG	papua new guinea	6	387	3195466	8519
840	USA	united states	6	15304	52182114	151469
40	AUT	austria	6	1311	10892096	32445
496	MNG	mongolia	6	1667	8899314	27064
170	COL	colombia	6	1023	7038812	20089
340	HND	honduras	6	722	3315102	6948
554	NZL	new zealand	5	1427	6201233	15155
242	FJI	fiji	6	343	2428571	6108
174	COM	comoros	6	109	1375712	3984
792	TUR	turkey	6	2857	14049568	44033
826	GBR	united kingdom	5	8628	35289924	107339
450	MDG	madagascar	6	635	4426741	10294
368	IRQ	iraq	6	2568	11919538	33762
50	BGD	bangladesh	6	3254	19238292	57315
