id	code	country	indicator	citations	fsize	links
626	TLS	east timor	2.21100000000000E+03	287	1825108	4556
882	WSM	samoa	8.90000000000000E+01	209	1577359	4175
392	JPN	japan	3.14300000000000E+03	3366	16441329	44822
31	AZE	azerbaijan	5.83800000000000E+03	2002	9390161	24439
408	PRK	north korea	9.79000000000000E+03	2085	8090788	17766
262	DJI	djibouti	1.63100000000000E+03	155	1819059	5571
470	MLT	malta	2.50000000000000E+01	685	4545131	14276
624	GNB	guinea-bissau	7.45900000000000E+03	286	1784413	5321
348	HUN	hungary	5.96000000000000E+02	1099	6609895	16810
196	CYP	cyprus	4.70000000000000E+01	860	4993330	13832
52	BRB	barbados	5.20000000000000E+01	342	2542869	7487
64	BTN	bhutan	5.37000000000000E+02	552	3132760	8245
398	KAZ	kazakhstan	5.36300000000000E+03	760	5030223	15433
440	LTU	lithuania	1.66000000000000E+02	505	2661259	8709
178	COG	republic of the congo	7.80800000000000E+03	141	1469208	3847
583	FSM	micronesia	8.80000000000000E+01	159	1195659	3795
20	AND	andorra	2.00000000000000E+00	394	2196134	6844
516	NAM	namibia	2.95400000000000E+03	704	4735890	11635
646	RWA	rwanda	2.16840000000000E+04	967	3336595	8388
32	ARG	argentina	9.29500000000000E+03	990	5511252	15099
288	GHA	ghana	6.15300000000000E+04	947	8538852	21475
688	SRB	serbia	6.01000000000000E+02	1151	9300724	29834
36	AUS	australia	1.27800000000000E+03	2755	11101694	28276
192	CUB	cuba	6.55000000000000E+02	1614	7528766	21710
894	ZMB	zambia	5.14740000000000E+04	402	2458163	5416
417	KGZ	kyrgyzstan	3.65600000000000E+03	533	3545032	10445
320	GTM	guatemala	1.46850000000000E+04	1322	4848474	13327
56	BEL	belgium	5.67000000000000E+02	1488	10269267	29189
332	HTI	haiti	1.92860000000000E+04	1113	5020928	12590
854	BFA	burkina faso	6.40990000000000E+04	259	1527119	4376
430	LBR	liberia	1.04690000000000E+04	365	1718839	3951
384	CIV	ivory coast	7.24840000000000E+04	262	2167518	5976
620	PRT	portugal	3.51000000000000E+02	647	4092352	13893
208	DNK	denmark	2.23000000000000E+02	2063	11934319	37996
608	PHL	philippines	7.09870000000000E+04	2188	15381963	47504
686	SEN	senegal	2.86480000000000E+04	623	2955926	7496
498	MDA	moldova	6.29000000000000E+02	644	2743879	7589
180	COD	democratic republic of the congo	3.19977000000000E+05	909	5917790	13487
428	LVA	latvia	1.82000000000000E+02	794	5572986	17451
191	HRV	croatia	1.89000000000000E+02	1843	9363305	26635
70	BIH	bosnia and herzegovina	2.35000000000000E+02	1276	9077454	26947
144	LKA	sri lanka	3.67500000000000E+03	1869	11872045	31454
780	TTO	trinidad and tobago	4.10000000000000E+02	216	3222597	9394
100	BGR	bulgaria	7.98000000000000E+02	1797	9396414	26534
388	JAM	jamaica	8.51000000000000E+02	363	3393538	9123
8	ALB	albania	6.36000000000000E+02	1535	8302985	23141
