id	code	country	indicator	citations	fsize	links
626	TLS	east timor	9.70000000000000E+02	287	1825108	4556
882	WSM	samoa	3.70000000000000E+01	209	1577359	4175
392	JPN	japan	1.08600000000000E+03	3366	16441329	44822
31	AZE	azerbaijan	2.74400000000000E+03	2002	9390161	24439
408	PRK	north korea	5.35300000000000E+03	2085	8090788	17766
262	DJI	djibouti	7.36000000000000E+02	155	1819059	5571
470	MLT	malta	1.60000000000000E+01	685	4545131	14276
624	GNB	guinea-bissau	2.68800000000000E+03	286	1784413	5321
348	HUN	hungary	3.51000000000000E+02	1099	6609895	16810
196	CYP	cyprus	2.40000000000000E+01	860	4993330	13832
52	BRB	barbados	2.90000000000000E+01	342	2542869	7487
64	BTN	bhutan	2.70000000000000E+02	552	3132760	8245
398	KAZ	kazakhstan	2.88900000000000E+03	760	5030223	15433
440	LTU	lithuania	9.20000000000000E+01	505	2661259	8709
178	COG	republic of the congo	3.14600000000000E+03	141	1469208	3847
583	FSM	micronesia	3.80000000000000E+01	159	1195659	3795
20	AND	andorra	1.00000000000000E+00	394	2196134	6844
516	NAM	namibia	1.29900000000000E+03	704	4735890	11635
646	RWA	rwanda	8.53400000000000E+03	967	3336595	8388
32	ARG	argentina	4.95900000000000E+03	990	5511252	15099
288	GHA	ghana	2.31100000000000E+04	947	8538852	21475
688	SRB	serbia	3.80000000000000E+02	1151	9300724	29834
36	AUS	australia	7.70000000000000E+02	2755	11101694	28276
192	CUB	cuba	3.05000000000000E+02	1614	7528766	21710
894	ZMB	zambia	1.77830000000000E+04	402	2458163	5416
417	KGZ	kyrgyzstan	2.02900000000000E+03	533	3545032	10445
320	GTM	guatemala	7.03100000000000E+03	1322	4848474	13327
56	BEL	belgium	2.94000000000000E+02	1488	10269267	29189
332	HTI	haiti	6.59200000000000E+03	1113	5020928	12590
854	BFA	burkina faso	1.78940000000000E+04	259	1527119	4376
430	LBR	liberia	3.79300000000000E+03	365	1718839	3951
384	CIV	ivory coast	2.79250000000000E+04	262	2167518	5976
620	PRT	portugal	1.82000000000000E+02	647	4092352	13893
208	DNK	denmark	1.52000000000000E+02	2063	11934319	37996
608	PHL	philippines	3.26680000000000E+04	2188	15381963	47504
686	SEN	senegal	1.20970000000000E+04	623	2955926	7496
498	MDA	moldova	3.06000000000000E+02	644	2743879	7589
180	COD	democratic republic of the congo	1.04604000000000E+05	909	5917790	13487
428	LVA	latvia	1.12000000000000E+02	794	5572986	17451
191	HRV	croatia	1.16000000000000E+02	1843	9363305	26635
70	BIH	bosnia and herzegovina	1.60000000000000E+02	1276	9077454	26947
144	LKA	sri lanka	2.26100000000000E+03	1869	11872045	31454
