id	code	country	indicator	citations	fsize	links
626	TLS	east timor	54.6	287	1825108	4556
882	WSM	samoa	18.1	209	1577359	4175
392	JPN	japan	2.9	3366	16441329	44822
31	AZE	azerbaijan	34.2	2002	9390161	24439
408	PRK	north korea	27.4	2085	8090788	17766
262	DJI	djibouti	69.6	155	1819059	5571
470	MLT	malta	6.1	685	4545131	14276
624	GNB	guinea-bissau	123.9	286	1784413	5321
348	HUN	hungary	6.1	1099	6609895	16810
196	CYP	cyprus	3.6	860	4993330	13832
52	BRB	barbados	14.4	342	2542869	7487
64	BTN	bhutan	36.2	552	3132760	8245
398	KAZ	kazakhstan	16.3	760	5030223	15433
440	LTU	lithuania	4.9	505	2661259	8709
178	COG	republic of the congo	49.1	141	1469208	3847
583	FSM	micronesia	36.4	159	1195659	3795
20	AND	andorra	3	394	2196134	6844
516	NAM	namibia	49.8	704	4735890	11635
646	RWA	rwanda	52	967	3336595	8388
32	ARG	argentina	13.3	990	5511252	15099
288	GHA	ghana	78.4	947	8538852	21475
688	SRB	serbia	6.6	1151	9300724	29834
36	AUS	australia	4	2755	11101694	28276
192	CUB	cuba	6.2	1614	7528766	21710
894	ZMB	zambia	87.4	402	2458163	5416
320	GTM	guatemala	31	1322	4848474	13327
56	BEL	belgium	4.4	1488	10269267	29189
332	HTI	haiti	72.8	1113	5020928	12590
854	BFA	burkina faso	97.6	259	1527119	4376
430	LBR	liberia	71.1	365	1718839	3951
417	KGZ	kyrgyzstan	24.2	533	3545032	10445
620	PRT	portugal	3.8	647	4092352	13893
208	DNK	denmark	3.5	2063	11934319	37996
608	PHL	philippines	29.9	2188	15381963	47504
686	SEN	senegal	55.3	623	2955926	7496
498	MDA	moldova	15.4	644	2743879	7589
180	COD	democratic republic of the congo	118.5	909	5917790	13487
428	LVA	latvia	8.4	794	5572986	17451
191	HRV	croatia	4.5	1843	9363305	26635
70	BIH	bosnia and herzegovina	6.6	1276	9077454	26947
144	LKA	sri lanka	9.6	1869	11872045	31454
780	TTO	trinidad and tobago	21.3	216	3222597	9394
100	BGR	bulgaria	11.6	1797	9396414	26534
388	JAM	jamaica	16.6	363	3393538	9123
8	ALB	albania	14.9	1535	8302985	23141
24	AGO	angola	167.4	727	4117112	11212
384	CIV	ivory coast	100	262	2167518	5976
422	LBN	lebanon	9.1	2103	10491745	28502
458	MYS	malaysia	8.5	1583	8991892	26779
508	MOZ	mozambique	87.2	510	3320356	8927
764	THA	thailand	13.1	1742	10201818	25955
300	GRC	greece	4.4	3233	12349644	35028
558	NIC	nicaragua	23.5	723	3757972	9785
562	NER	niger	104.2	711	3238542	8754
124	CAN	canada	5.2	3417	14180797	41982
4	AFG	afghanistan	97.3	3010	12811496	34286
634	QAT	qatar	8.2	325	2200454	5911
585	PLW	palau	17.5	120	1516509	4406
226	GNQ	equatorial guinea	95.8	167	1412177	3962
729	SDN	sudan	76.6	748	5011562	13750
324	GIN	guinea	100.7	225	1499153	3969
591	PAN	panama	17.9	453	3567520	10326
524	NPL	nepal	39.7	1983	12359198	31019
140	CAF	central african republic	139.2	557	2733055	6687
442	LUX	luxembourg	2	445	4297239	12666
716	ZWE	zimbabwe	88.5	1994	7759641	18564
748	SWZ	swaziland	80	174	1305466	3510
706	SOM	somalia	145.6	2758	11573292	30219
798	TUV	tuvalu	29.2	925	3622703	8914
862	VEN	venezuela	14.9	1002	5647358	14170
96	BRN	brunei	9.9	491	3348866	9852
364	IRN	iran	16.8	5882	20529075	53463
784	ARE	united arab emirates	8.2	556	3552603	8937
466	MLI	mali	122.7	625	3401409	9256
682	SAU	saudi arabia	15.5	1666	10453381	29624
659	KNA	saint kitts and nevis	10.2	59	1396862	3739
756	CHE	switzerland	4.2	900	7055535	23274
600	PRY	paraguay	21.9	192	2667817	6873
156	CHN	china	12.7	3598	15920522	47263
51	ARM	armenia	15.6	3008	13593125	39051
296	KIR	kiribati	58.2	112	990189	3050
84	BLZ	belize	16.7	414	3294506	10922
788	TUN	tunisia	15.2	1217	5287228	14404
804	UKR	ukraine	10	3680	18180124	51204
