id	code	country	indicator	citations	fsize	links
626	TLS	east timor	1.51489168778180E+00	287	1825108	4556
882	WSM	samoa	2.34707871816907E-01	209	1577359	4175
392	JPN	japan	8.27191810041638E-03	3366	16441329	44822
31	AZE	azerbaijan	5.43880616945594E-02	2002	9390161	24439
408	PRK	north korea	1.59907861002250E-01	2085	8090788	17766
262	DJI	djibouti	7.73434514331997E-01	155	1819059	5571
470	MLT	malta	1.20805090211517E-02	685	4545131	14276
624	GNB	guinea-bissau	2.76585433107203E+00	286	1784413	5321
348	HUN	hungary	1.98701744283112E-02	1099	6609895	16810
196	CYP	cyprus	1.50809539605259E-02	860	4993330	13832
52	BRB	barbados	9.27191253867851E-02	342	2542869	7487
64	BTN	bhutan	2.93865902537129E-01	552	3132760	8245
398	KAZ	kazakhstan	6.84127950962595E-02	760	5030223	15433
440	LTU	lithuania	1.69985719527046E-02	505	2661259	8709
178	COG	republic of the congo	2.10457723070550E+00	141	1469208	3847
583	FSM	micronesia	3.17052409617800E-01	159	1195659	3795
20	AND	andorra		394	2196134	6844
516	NAM	namibia	4.31704023052717E-01	704	4735890	11635
646	RWA	rwanda	1.52219498419650E+00	967	3336595	8388
32	ARG	argentina	1.59147499786942E-01	990	5511252	15099
288	GHA	ghana	1.52196182347169E+00	947	8538852	21475
688	SRB	serbia	2.23259504938649E-02	1151	9300724	29834
36	AUS	australia	1.11323099120010E-02	2755	11101694	28276
192	CUB	cuba	1.03583515627233E-01	1614	7528766	21710
894	ZMB	zambia	1.69378204652340E+00	402	2458163	5416
417	KGZ	kyrgyzstan	2.53497793049835E-01	533	3545032	10445
320	GTM	guatemala	5.75768039897005E-01	1322	4848474	13327
56	BEL	belgium	1.14648122007480E-02	1488	10269267	29189
332	HTI	haiti	1.24240741851300E+00	1113	5020928	12590
854	BFA	burkina faso	2.27678057458829E+00	259	1527119	4376
430	LBR	liberia	3.21915264547301E+00	365	1718839	3951
384	CIV	ivory coast	3.43060053656917E+00	262	2167518	5976
620	PRT	portugal	1.13109108778246E-02	647	4092352	13893
208	DNK	denmark	8.31535274315998E-03	2063	11934319	37996
608	PHL	philippines	3.99184873273925E-01	2188	15381963	47504
686	SEN	senegal	1.65743489242783E+00	623	2955926	7496
498	MDA	moldova	3.41608630197909E-02	644	2743879	7589
180	COD	democratic republic of the congo	4.32329535945955E+00	909	5917790	13487
428	LVA	latvia	2.16626055418132E-02	794	5572986	17451
191	HRV	croatia	1.90909337663323E-02	1843	9363305	26635
70	BIH	bosnia and herzegovina	1.02810531415286E-02	1276	9077454	26947
144	LKA	sri lanka	6.99140799106723E-02	1869	11872045	31454
780	TTO	trinidad and tobago	1.56161028629369E-01	216	3222597	9394
100	BGR	bulgaria	8.04583396491398E-03	1797	9396414	26534
388	JAM	jamaica	1.86789613941646E-01	363	3393538	9123
8	ALB	albania	3.57963553067444E-02	1535	8302985	23141
24	AGO	angola	2.88212647805944E+00	727	4117112	11212
