id	code	country	indicator	citations	fsize	links
626	TLS	east timor	8.21499946795129E+00	287	1825108	4556
882	WSM	samoa	6.56773872983242E+00	209	1577359	4175
392	JPN	japan	1.43783548219406E+01	3366	16441329	44822
31	AZE	azerbaijan	7.10592353544924E+01	2002	9390161	24439
408	PRK	north korea		2085	8090788	17766
262	DJI	djibouti	3.96653891163679E+01	155	1819059	5571
470	MLT	malta	3.16249257335749E+01	685	4545131	14276
624	GNB	guinea-bissau	4.33324073858869E+01	286	1784413	5321
348	HUN	hungary	2.74932894919650E+01	1099	6609895	16810
196	CYP	cyprus	4.68590524731997E+01	860	4993330	13832
52	BRB	barbados	3.18996639428239E+01	342	2542869	7487
64	BTN	bhutan	2.54092593106336E+01	552	3132760	8245
398	KAZ	kazakhstan	4.63364618003791E+01	760	5030223	15433
440	LTU	lithuania	3.26323027699747E+01	505	2661259	8709
178	COG	republic of the congo	2.16527148235405E+01	141	1469208	3847
583	FSM	micronesia	9.49314941668317E+00	159	1195659	3795
20	AND	andorra	1.84011425406826E+01	394	2196134	6844
516	NAM	namibia	7.08867871555925E+00	704	4735890	11635
646	RWA	rwanda	1.83940264981527E+01	967	3336595	8388
32	ARG	argentina	2.10991454510741E+01	990	5511252	15099
288	GHA	ghana	3.61868838884229E+01	947	8538852	21475
688	SRB	serbia	3.79010510393031E+01	1151	9300724	29834
36	AUS	australia	1.94171489728757E+01	2755	11101694	28276
192	CUB	cuba	7.04797950968119E+00	1614	7528766	21710
894	ZMB	zambia	2.78090903152792E+01	402	2458163	5416
417	KGZ	kyrgyzstan	3.63649086278856E+01	533	3545032	10445
320	GTM	guatemala	5.08250850896608E+01	1322	4848474	13327
56	BEL	belgium	1.99116577128342E+01	1488	10269267	29189
332	HTI	haiti	2.97119104279104E+01	1113	5020928	12590
854	BFA	burkina faso	3.32343755139197E+01	259	1527119	4376
430	LBR	liberia	2.60384073217420E+01	365	1718839	3951
384	CIV	ivory coast	5.11924545461815E+01	262	2167518	5976
620	PRT	portugal	2.66285432111455E+01	647	4092352	13893
208	DNK	denmark	1.27923230332797E+01	2063	11934319	37996
608	PHL	philippines	5.66729066433602E+01	2188	15381963	47504
686	SEN	senegal	3.69216274272355E+01	623	2955926	7496
498	MDA	moldova	4.45788611024026E+01	644	2743879	7589
180	COD	democratic republic of the congo	3.27046790662679E+01	909	5917790	13487
428	LVA	latvia	3.64838974498186E+01	794	5572986	17451
191	HRV	croatia	1.24629291803380E+01	1843	9363305	26635
70	BIH	bosnia and herzegovina	2.90359088854402E+01	1276	9077454	26947
144	LKA	sri lanka	4.65375452667325E+01	1869	11872045	31454
780	TTO	trinidad and tobago	4.38137525501020E+01	216	3222597	9394
100	BGR	bulgaria	3.96330201442252E+01	1797	9396414	26534
388	JAM	jamaica	2.53651313039636E+01	363	3393538	9123
8	ALB	albania	5.14646547616325E+01	1535	8302985	23141
24	AGO	angola	2.44036932751657E+01	727	4117112	11212
422	LBN	lebanon	3.42708369037984E+01	2103	10491745	28502
458	MYS	malaysia	3.61127269946443E+01	1583	8991892	26779
508	MOZ	mozambique	6.40594162295104E+00	510	3320356	8927
764	THA	thailand	1.12679239376333E+01	1742	10201818	25955
300	GRC	greece	2.63867458319883E+01	3233	12349644	35028
558	NIC	nicaragua	4.03230824876026E+01	723	3757972	9785
562	NER	niger	5.30761994146973E+01	711	3238542	8754
124	CAN	canada	1.51217602794562E+01	3417	14180797	41982
4	AFG	afghanistan	7.37918301689184E+01	3010	12811496	34286
634	QAT	qatar	8.44671711099534E+00	325	2200454	5911
585	PLW	palau	1.06095779246700E+01	120	1516509	4406
226	GNQ	equatorial guinea	1.92134763162360E+01	167	1412177	3962
729	SDN	sudan	7.58166319717374E+01	748	5011562	13750
324	GIN	guinea	5.64413048313437E+01	225	1499153	3969
591	PAN	panama	2.49109631598326E+01	453	3567520	10326
524	NPL	nepal	4.61547702516905E+01	1983	12359198	31019
140	CAF	central african republic	4.50059684924995E+01	557	2733055	6687
442	LUX	luxembourg	1.07979552136205E+01	445	4297239	12666
716	ZWE	zimbabwe		1994	7759641	18564
748	SWZ	swaziland	1.06364396073777E+01	174	1305466	3510
706	SOM	somalia		2758	11573292	30219
798	TUV	tuvalu	7.75696439042839E-02	925	3622703	8914
862	VEN	venezuela	6.88319225588857E+01	1002	5647358	14170
662	LCA	saint lucia	4.24180356669774E+01	150	1856218	4866
96	BRN	brunei	7.94413769899421E+00	491	3348866	9852
364	IRN	iran	5.21103369137571E+01	5882	20529075	53463
784	ARE	united arab emirates	1.87698395205128E+01	556	3552603	8937
466	MLI	mali	6.00787761506963E+01	625	3401409	9256
682	SAU	saudi arabia	1.97968778959039E+01	1666	10453381	29624
659	KNA	saint kitts and nevis	5.73420077807626E+01	59	1396862	3739
756	CHE	switzerland	2.58776788961965E+01	900	7055535	23274
600	PRY	paraguay	5.66324664936956E+01	192	2667817	6873
156	CHN	china	3.38780573827922E+01	3598	15920522	47263
51	ARM	armenia	5.46947124395628E+01	3008	13593125	39051
296	KIR	kiribati	9.39363097842664E-02	112	990189	3050
84	BLZ	belize	2.61955113517451E+01	414	3294506	10922
788	TUN	tunisia	3.53195261682202E+01	1217	5287228	14404
804	UKR	ukraine	4.28076923943047E+01	3680	18180124	51204
434	LBY	libya	2.97477305624893E+01	1912	8030270	20645
270	GMB	gambia	2.10469253137611E+01	363	2260222	6453
246	FIN	finland	1.85403145968540E+01	656	5122395	13520
480	MUS	mauritius	4.65339595121143E+01	224	2507536	7547
28	ATG	antigua and barbuda	2.67122824897656E+01	55	1282394	3375
233	EST	estonia	1.88871429883955E+01	981	5722888	17295
760	SYR	syria	5.39381627542579E+01	3049	14605831	40095
214	DOM	dominican republic	3.90149834998209E+01	428	3088770	8806
104	MMR	burma	6.81959753796518E+01	2410	9196976	20975
586	PAK	pakistan	5.48740285208274E+01	4205	21477320	68229
642	ROU	romania	1.96850027208415E+01	789	5283644	15969
690	SYC	seychelles	2.94904359654172E+00	66	1450952	4500
203	CZE	czech republic	1.57077590951439E+01	348	3304578	9155
818	EGY	egypt	5.79689623482569E+01	3001	11672118	30922
598	PNG	papua new guinea	1.09671859527752E+01	387	3195466	8519
840	USA	united states	1.18166648737415E+01	15304	52182114	151469
40	AUT	austria	1.58064275956296E+01	1311	10892096	32445
496	MNG	mongolia	3.70131900661065E+01	1667	8899314	27064
170	COL	colombia	1.39249199109682E+01	1023	7038812	20089
340	HND	honduras	4.58577996512573E+01	722	3315102	6948
554	NZL	new zealand	1.06708342227129E+01	1427	6201233	15155
242	FJI	fiji	2.08899770922401E+01	343	2428571	6108
174	COM	comoros	4.51356753102982E+01	109	1375712	3984
792	TUR	turkey	1.49821542045561E+01	2857	14049568	44033
826	GBR	united kingdom	9.28878602927560E+00	8628	35289924	107339
450	MDG	madagascar	3.00554385077365E+01	635	4426741	10294
368	IRQ	iraq	3.65307279090228E+01	2568	11919538	33762
50	BGD	bangladesh	6.02287568924825E+01	3254	19238292	57315
478	MRT	mauritania	4.63087625064467E+01	494	2817073	7565
858	URY	uruguay	1.69927431180821E+01	454	3979898	10642
250	FRA	france	7.39863036312876E+00	1730	10752330	34546
44	BHS	bahamas	3.02110595513192E+01	400	2513540	6910
703	SVK	slovakia	2.21424289772340E+01	567	4087803	11688
372	IRL	ireland	1.68385365047298E+01	1615	6484724	16329
418	LAO	laos	3.99903039365661E+01	410	2605137	6778
410	KOR	south korea	3.66374987574264E+01	1484	6604974	14929
68	BOL	bolivia	1.98132718295655E+01	402	3681253	10308
454	MWI	malawi	1.16801020483576E+01	750	3050315	7024
218	ECU	ecuador	4.39937880944244E+01	898	5252818	12692
376	ISR	israel	2.63461124638444E+01	7951	25677910	65553
604	PER	peru	3.49220429029406E+01	633	5381479	16059
12	DZA	algeria	2.51247841677351E+01	721	6797727	19565
752	SWE	sweden	1.63216087401734E+01	2004	10834574	30870
356	IND	india	5.82127675457295E+01	5042	24381167	70861
834	TZA	tanzania	3.32157395899406E+01	556	4721413	11868
499	MNE	montenegro	4.26687777013520E+01	1239	6874308	19854
762	TJK	tajikistan	6.01151809791094E+01	569	3856874	11733
768	TGO	togo	4.05344111968626E+01	74	1478904	4415
400	JOR	jordan	2.35121472943903E+01	914	5592938	15060
152	CHL	chile	3.17453447212696E+01	1430	7410887	19636
512	OMN	oman	1.22583802491316E+01	244	2740041	7050
566	NGA	nigeria	6.93498428534313E+01	1168	7926035	20332
