id	code	country	indicator	citations	fsize	links
626	TLS	east timor	9.63217200402839E+01	287	1825108	4556
882	WSM	samoa	3.79390650954472E+02	209	1577359	4175
392	JPN	japan	3.74133936080361E+03	3366	16441329	44822
31	AZE	azerbaijan	9.56646306503552E+02	2002	9390161	24439
408	PRK	north korea		2085	8090788	17766
262	DJI	djibouti	2.46843887987602E+02	155	1819059	5571
470	MLT	malta	2.64398264910017E+03	685	4545131	14276
624	GNB	guinea-bissau	7.85141907209238E+01	286	1784413	5321
348	HUN	hungary	1.83900860972362E+03	1099	6609895	16810
196	CYP	cyprus	2.17621409228124E+03	860	4993330	13832
52	BRB	barbados	1.06022683812993E+03	342	2542869	7487
64	BTN	bhutan	2.75499797357420E+02	552	3132760	8245
398	KAZ	kazakhstan	1.02348424296229E+03	760	5030223	15433
440	LTU	lithuania	1.57872672220425E+03	505	2661259	8709
178	COG	republic of the congo	2.41764556495984E+02	141	1469208	3847
583	FSM	micronesia	4.48095598146736E+02	159	1195659	3795
20	AND	andorra	3.33803119508623E+03	394	2196134	6844
516	NAM	namibia	7.49369066089332E+02	704	4735890	11635
646	RWA	rwanda	1.61759707492527E+02	967	3336595	8388
32	ARG	argentina	1.72462065502981E+03	990	5511252	15099
288	GHA	ghana	2.14245348322007E+02	947	8538852	21475
688	SRB	serbia	9.86939835936020E+02	1151	9300724	29834
36	AUS	australia	3.99713442500454E+03	2755	11101694	28276
192	CUB	cuba		1614	7528766	21710
894	ZMB	zambia	1.91733942948307E+02	402	2458163	5416
417	KGZ	kyrgyzstan	2.20946094458179E+02	533	3545032	10445
320	GTM	guatemala	4.75810510139789E+02	1322	4848474	13327
56	BEL	belgium	4.52608113518753E+03	1488	10269267	29189
332	HTI	haiti	1.60451371341494E+02	1113	5020928	12590
854	BFA	burkina faso	1.09145502540860E+02	259	1527119	4376
430	LBR	liberia	8.80068382764545E+01	365	1718839	3951
384	CIV	ivory coast	1.71771308015147E+02	262	2167518	5976
620	PRT	portugal	2.50779413623548E+03	647	4092352	13893
208	DNK	denmark	4.55239974711658E+03	2063	11934319	37996
608	PHL	philippines	2.87325364673213E+02	2188	15381963	47504
686	SEN	senegal	9.64015168837850E+01	623	2955926	7496
498	MDA	moldova	5.53352684870272E+02	644	2743879	7589
180	COD	democratic republic of the congo	2.61914401125727E+01	909	5917790	13487
428	LVA	latvia	1.30930897645700E+03	794	5572986	17451
191	HRV	croatia	1.51685083121687E+03	1843	9363305	26635
70	BIH	bosnia and herzegovina	9.28447910425273E+02	1276	9077454	26947
144	LKA	sri lanka	3.04141523179321E+02	1869	11872045	31454
780	TTO	trinidad and tobago	1.61146191696138E+03	216	3222597	9394
100	BGR	bulgaria	1.21251685593380E+03	1797	9396414	26534
388	JAM	jamaica	5.04259902338327E+02	363	3393538	9123
