id	code	country	indicator	citations	fsize	links
626	TLS	east timor	5.88904292334581E+01	287	1825108	4556
882	WSM	samoa	2.70739912574752E+02	209	1577359	4175
392	JPN	japan	3.96558207377409E+03	3366	16441329	44822
31	AZE	azerbaijan	4.36022777807449E+02	2002	9390161	24439
408	PRK	north korea		2085	8090788	17766
262	DJI	djibouti	1.37364142901499E+02	155	1819059	5571
470	MLT	malta	1.99360624269289E+03	685	4545131	14276
624	GNB	guinea-bissau	3.18383707910467E+01	286	1784413	5321
348	HUN	hungary	1.05576192302597E+03	1099	6609895	16810
196	CYP	cyprus	1.86626857757410E+03	860	4993330	13832
52	BRB	barbados	1.00721549622343E+03	342	2542869	7487
64	BTN	bhutan	8.97488424923726E+01	552	3132760	8245
398	KAZ	kazakhstan	5.80062303387977E+02	760	5030223	15433
440	LTU	lithuania	9.65563843355736E+02	505	2661259	8709
178	COG	republic of the congo	1.30711563471611E+02	141	1469208	3847
583	FSM	micronesia	4.07429762047320E+02	159	1195659	3795
20	AND	andorra	2.94796416339688E+03	394	2196134	6844
516	NAM	namibia	4.22583688469123E+02	704	4735890	11635
646	RWA	rwanda	7.05112516559155E+01	967	3336595	8388
32	ARG	argentina	1.07406694388220E+03	990	5511252	15099
288	GHA	ghana	9.95284651608584E+01	947	8538852	21475
688	SRB	serbia	4.74766891760764E+02	1151	9300724	29834
36	AUS	australia	5.82707116394980E+03	2755	11101694	28276
192	CUB	cuba	6.03382622765882E+02	1614	7528766	21710
894	ZMB	zambia	9.28107315315210E+01	402	2458163	5416
417	KGZ	kyrgyzstan	8.69059412346950E+01	533	3545032	10445
320	GTM	guatemala	2.26848385752313E+02	1322	4848474	13327
56	BEL	belgium	5.09260121125013E+03	1488	10269267	29189
332	HTI	haiti	7.66663964354811E+01	1113	5020928	12590
854	BFA	burkina faso	4.56848005207798E+01	259	1527119	4376
430	LBR	liberia	4.43710400497275E+01	365	1718839	3951
384	CIV	ivory coast	8.67557913599898E+01	262	2167518	5976
620	PRT	portugal	2.03677395343365E+03	647	4092352	13893
208	DNK	denmark	6.26954064123179E+03	2063	11934319	37996
608	PHL	philippines	1.21595922053994E+02	2188	15381963	47504
686	SEN	senegal	4.55503660240444E+01	623	2955926	7496
498	MDA	moldova	2.63262983035257E+02	644	2743879	7589
180	COD	democratic republic of the congo	1.59119589406032E+01	909	5917790	13487
428	LVA	latvia	8.73556994557222E+02	794	5572986	17451
191	HRV	croatia	9.81763832921205E+02	1843	9363305	26635
70	BIH	bosnia and herzegovina	4.48759350399182E+02	1276	9077454	26947
144	LKA	sri lanka	1.02495340287329E+02	1869	11872045	31454
780	TTO	trinidad and tobago	9.64516038826637E+02	216	3222597	9394
100	BGR	bulgaria	5.55019796322159E+02	1797	9396414	26534
388	JAM	jamaica	3.00068007911341E+02	363	3393538	9123
8	ALB	albania	2.39577092421639E+02	1535	8302985	23141
24	AGO	angola	2.67224298769285E+02	727	4117112	11212
422	LBN	lebanon	6.31475387643894E+02	2103	10491745	28502
458	MYS	malaysia	4.23430121231372E+02	1583	8991892	26779
508	MOZ	mozambique	4.02554842689522E+01	510	3320356	8927
764	THA	thailand	2.64346297602877E+02	1742	10201818	25955
300	GRC	greece	2.14624031138215E+03	3233	12349644	35028
558	NIC	nicaragua	1.53413208094139E+02	723	3757972	9785
562	NER	niger	2.72330650998095E+01	711	3238542	8754
124	CAN	canada	5.71797361150754E+03	3417	14180797	41982
4	AFG	afghanistan	4.86739380839498E+01	3010	12811496	34286
634	QAT	qatar	2.04297202022767E+03	325	2200454	5911
585	PLW	palau	1.00753945458891E+03	120	1516509	4406
226	GNQ	equatorial guinea	7.13857965094576E+02	167	1412177	3962
729	SDN	sudan	1.14952550998367E+02	748	5011562	13750
324	GIN	guinea	2.47523517370060E+01	225	1499153	3969
591	PAN	panama	7.96076112034409E+02	453	3567520	10326
524	NPL	nepal	3.90262312990832E+01	1983	12359198	31019
140	CAF	central african republic	1.30493878026406E+01	557	2733055	6687
442	LUX	luxembourg	7.97989250780869E+03	445	4297239	12666
716	ZWE	zimbabwe		1994	7759641	18564
748	SWZ	swaziland	2.56114173602404E+02	174	1305466	3510
706	SOM	somalia		2758	11573292	30219
798	TUV	tuvalu	7.04074451966196E+02	925	3622703	8914
862	VEN	venezuela	4.96611312730406E+02	1002	5647358	14170
662	LCA	saint lucia	6.21270032857239E+02	150	1856218	4866
96	BRN	brunei	9.73559801367683E+02	491	3348866	9852
364	IRN	iran	4.32281784561889E+02	5882	20529075	53463
784	ARE	united arab emirates	1.56896344070280E+03	556	3552603	8937
466	MLI	mali	5.32870333923802E+01	625	3401409	9256
682	SAU	saudi arabia	8.07838604865320E+02	1666	10453381	29624
659	KNA	saint kitts and nevis	8.60751164558173E+02	59	1396862	3739
756	CHE	switzerland	9.27647258453993E+03	900	7055535	23274
600	PRY	paraguay	3.94959666624117E+02	192	2667817	6873
156	CHN	china	3.66863027429647E+02	3598	15920522	47263
51	ARM	armenia	1.58621556935177E+02	3008	13593125	39051
296	KIR	kiribati	1.66322379144966E+02	112	990189	3050
84	BLZ	belize	2.62417850150648E+02	414	3294506	10922
788	TUN	tunisia	3.08564846838690E+02	1217	5287228	14404
804	UKR	ukraine	3.12686255573501E+02	3680	18180124	51204
434	LBY	libya	4.32844230262533E+02	1912	8030270	20645
270	GMB	gambia	2.89101791656595E+01	363	2260222	6453
246	FIN	finland	4.44913106506755E+03	656	5122395	13520
480	MUS	mauritius	4.62543060356345E+02	224	2507536	7547
28	ATG	antigua and barbuda	6.65260098952030E+02	55	1282394	3375
233	EST	estonia	1.07160512836618E+03	981	5722888	17295
760	SYR	syria	4.27434173333434E+01	3049	14605831	40095
214	DOM	dominican republic	3.14512607771333E+02	428	3088770	8806
104	MMR	burma	1.44035435675534E+01	2410	9196976	20975
586	PAK	pakistan	3.68776844112399E+01	4205	21477320	68229
642	ROU	romania	5.03814935627592E+02	789	5283644	15969
690	SYC	seychelles	5.50845483750073E+02	66	1450952	4500
203	CZE	czech republic	1.36702473550675E+03	348	3304578	9155
818	EGY	egypt	1.51264138572038E+02	3001	11672118	30922
598	PNG	papua new guinea	9.38347623740028E+01	387	3195466	8519
840	USA	united states	9.14582815144004E+03	15304	52182114	151469
40	AUT	austria	5.42726014217565E+03	1311	10892096	32445
496	MNG	mongolia	2.43759121096061E+02	1667	8899314	27064
170	COL	colombia	5.33079329949305E+02	1023	7038812	20089
340	HND	honduras	1.93360305974120E+02	722	3315102	6948
554	NZL	new zealand	4.06320515961000E+03	1427	6201233	15155
242	FJI	fiji	1.88879044956874E+02	343	2428571	6108
174	COM	comoros	5.14924093847939E+01	109	1375712	3984
792	TUR	turkey	6.07708219578682E+02	2857	14049568	44033
826	GBR	united kingdom	3.59791725300330E+03	8628	35289924	107339
450	MDG	madagascar	1.96313942468227E+01	635	4426741	10294
368	IRQ	iraq	3.05352936092316E+02	2568	11919538	33762
50	BGD	bangladesh	3.16344318584274E+01	3254	19238292	57315
478	MRT	mauritania		494	2817073	7565
858	URY	uruguay	1.43115404634337E+03	454	3979898	10642
250	FRA	france	4.86355014042405E+03	1730	10752330	34546
44	BHS	bahamas	1.62067682990620E+03	400	2513540	6910
703	SVK	slovakia	1.45408433023935E+03	567	4087803	11688
372	IRL	ireland	4.23286588303147E+03	1615	6484724	16329
418	LAO	laos	3.24063391228901E+01	410	2605137	6778
410	KOR	south korea	1.88004454461592E+03	1484	6604974	14929
68	BOL	bolivia	1.73923838784490E+02	402	3681253	10308
454	MWI	malawi	2.62147679399460E+01	750	3050315	7024
218	ECU	ecuador		898	5252818	12692
376	ISR	israel	2.60051122926397E+03	7951	25677910	65553
604	PER	peru	3.54276881182664E+02	633	5381479	16059
12	DZA	algeria	3.13520211527510E+02	721	6797727	19565
752	SWE	sweden	5.68033351018126E+03	2004	10834574	30870
356	IND	india	6.14082131772222E+01	5042	24381167	70861
834	TZA	tanzania	4.93211134525997E+01	556	4721413	11868
499	MNE	montenegro	4.61260042858809E+02	1239	6874308	19854
762	TJK	tajikistan	6.99753653458778E+01	569	3856874	11733
768	TGO	togo	5.44479363301991E+01	74	1478904	4415
400	JOR	jordan	3.35785165467495E+02	914	5592938	15060
152	CHL	chile	1.20383984213095E+03	1430	7410887	19636
512	OMN	oman	6.77686842465290E+02	244	2740041	7050
566	NGA	nigeria	1.14966905697567E+02	1168	7926035	20332
724	ESP	spain	2.58102819311580E+03	3334	16565176	45770
268	GEO	georgia	3.49903135688910E+02	1722	7851210	21567
578	NOR	norway	9.71478578078072E+03	1151	7215017	20016
694	SLE	sierra leone	9.58328740661853E+01	610	3195183	7907
504	MAR	morocco	1.89203187759292E+02	1463	8889048	23442
266	GAB	gabon	4.41391065839394E+02	185	2259207	6708
328	GUY	guyana	2.50011928545037E+02	569	3495270	9188
308	GRD	grenada	4.99241072989893E+02	124	1579737	4471
887	YEM	yemen	7.44701879404791E+01	925	5317491	14964
643	RUS	russia	9.56845230253397E+02	3858	19559146	53313
728	SSD	south sudan	1.80739979280837E+01	971	4079530	9758
48	BHR	bahrain	1.06720269330603E+03	984	5534198	14791
360	IDN	indonesia	1.06633347888983E+02	1109	6315182	17660
148	TCD	chad	3.72006410379541E+01	446	2572952	6902
484	MEX	mexico	6.64342607637382E+02	1935	10624402	27978
426	LSO	lesotho	1.23424488187760E+02	83	1161694	3443
112	BLR	belarus	4.62878438498643E+02	996	4888728	12776
670	VCT	saint vincent and the grenadines	3.44965611126350E+02	47	1275427	3160
800	UGA	uganda	5.91180738434802E+01	668	3381652	9634
108	BDI	burundi	2.14617649263673E+01	210	1796598	4801
404	KEN	kenya	4.45092264236430E+01	1096	8286607	20012
72	BWA	botswana	3.97318264395062E+02	139	1154682	2889
380	ITA	italy	3.15490014806071E+03	1847	9978083	33234
116	KHM	cambodia	7.57572130475878E+01	851	5165635	13715
231	ETH	ethiopia	2.45186491529311E+01	1109	6232319	16459
548	VUT	vanuatu	1.23162338003596E+02	265	2451779	7239
584	MHL	marshall islands	6.30074227436823E+02	97	1014048	3239
120	CMR	cameroon	6.71727852859322E+01	956	4537626	11383
204	BEN	benin	3.66909842530322E+01	86	1013683	2666
76	BRA	brazil	1.08340275816440E+03	2424	12102945	32005
702	SGP	singapore	2.50743392819721E+03	1270	7965260	19928
90	SLB	solomon islands	1.00273197366929E+02	286	2615725	7016
352	ISL	iceland	4.12587717615519E+03	744	5735302	17749
674	SMR	san marino	3.84719686085446E+03	66	802513	1998
492	MCO	monaco	6.99250969897834E+03	288	2060126	5928
188	CRI	costa rica	1.00509023865265E+03	273	2105051	5162
705	SVN	slovenia	2.08459097385207E+03	587	3362613	9659
276	DEU	germany	5.00649945848926E+03	809	4940123	15076
710	ZAF	south africa	5.93454196684064E+02	3528	20480119	48536
212	DMA	dominica	4.17218420216049E+02	92	1002182	2597
795	TKM	turkmenistan	1.57540146291738E+02	707	4104779	12388
740	SUR	suriname	4.44706808343172E+02	156	1635993	4679
232	ERI	eritrea	1.65086457832050E+01	275	2382397	6381
776	TON	tonga	2.03874157797853E+02	155	1499371	3416
462	MDV	maldives	7.20460393134277E+02	178	1780819	5626
860	UZB	uzbekistan	1.19957341994875E+02	740	4951129	14191
222	SLV	el salvador	2.65771089657729E+02	398	2716148	7133
616	POL	poland	8.94916603303367E+02	2953	15472218	44481
132	CPV	cape verde	1.64687312697579E+02	97	1324986	3651
438	LIE	liechtenstein		175	1092252	2825
704	VNM	vietnam	1.11169502214422E+02	2330	11515107	29006
414	KWT	kuwait	1.50721364366827E+03	837	5585031	12697
