id	code	country	indicator	citations	fsize	links
626	TLS	east timor	1.05255570817681E-01	287	1825108	4556
882	WSM	samoa	7.87636517769972E-01	209	1577359	4175
392	JPN	japan	1.84655872081449E+00	3366	16441329	44822
31	AZE	azerbaijan	4.42010330254037E+00	2002	9390161	24439
408	PRK	north korea		2085	8090788	17766
262	DJI	djibouti	3.54689365849500E+00	155	1819059	5571
470	MLT	malta	2.93446439319252E+00	685	4545131	14276
624	GNB	guinea-bissau	4.38190262973430E+00	286	1784413	5321
348	HUN	hungary	2.93124073295357E+00	1099	6609895	16810
196	CYP	cyprus	3.92037333070766E+00	860	4993330	13832
52	BRB	barbados	2.64173086337997E+00	342	2542869	7487
64	BTN	bhutan	9.39788726014242E-01	552	3132760	8245
398	KAZ	kazakhstan	1.99398068015647E+00	760	5030223	15433
440	LTU	lithuania	2.08488406329762E+00	505	2661259	8709
178	COG	republic of the congo	9.29212637943410E-01	141	1469208	3847
583	FSM	micronesia	1.22568533134328E+00	159	1195659	3795
20	AND	andorra	1.99232122056115E+00	394	2196134	6844
516	NAM	namibia	3.06424572077361E+00	704	4735890	11635
646	RWA	rwanda	4.59499884758186E+00	967	3336595	8388
32	ARG	argentina	2.34512098609487E+00	990	5511252	15099
288	GHA	ghana	2.12354656089106E+00	947	8538852	21475
688	SRB	serbia	4.18587643964471E+00	1151	9300724	29834
36	AUS	australia	3.02044356051971E+00	2755	11101694	28276
192	CUB	cuba	6.20981515819245E-01	1614	7528766	21710
894	ZMB	zambia	2.09605933190077E+00	402	2458163	5416
417	KGZ	kyrgyzstan	2.73332972787320E+00	533	3545032	10445
320	GTM	guatemala	4.07952237144662E+00	1322	4848474	13327
56	BEL	belgium	2.70701932798177E+00	1488	10269267	29189
332	HTI	haiti	8.72383024071643E+00	1113	5020928	12590
854	BFA	burkina faso	2.57528923631257E+00	259	1527119	4376
430	LBR	liberia	6.42960143763449E+00	365	1718839	3951
384	CIV	ivory coast	3.81574403019406E+00	262	2167518	5976
