id	code	country	indicator	citations	fsize	links
626	TLS	east timor	1.16785475027242E+00	287	1825108	4556
882	WSM	samoa	6.71942030819731E+00	209	1577359	4175
392	JPN	japan	8.45248996647135E+00	3366	16441329	44822
31	AZE	azerbaijan	1.15963124696749E+00	2002	9390161	24439
408	PRK	north korea		2085	8090788	17766
262	DJI	djibouti	5.32581269777853E+00	155	1819059	5571
470	MLT	malta	5.76947823658194E+00	685	4545131	14276
624	GNB	guinea-bissau	1.11491320263734E+00	286	1784413	5321
348	HUN	hungary	5.11599195860369E+00	1099	6609895	16810
196	CYP	cyprus	3.44515504577761E+00	860	4993330	13832
52	BRB	barbados	4.13910451379445E+00	342	2542869	7487
64	BTN	bhutan	2.65249415644422E+00	552	3132760	8245
398	KAZ	kazakhstan	2.26199345642659E+00	760	5030223	15433
440	LTU	lithuania	4.15223339486246E+00	505	2661259	8709
178	COG	republic of the congo	3.19150600828051E+00	141	1469208	3847
583	FSM	micronesia	1.13681510447761E+01	159	1195659	3795
20	AND	andorra	6.08132480279876E+00	394	2196134	6844
516	NAM	namibia	4.67322927413817E+00	704	4735890	11635
646	RWA	rwanda	6.54739060169724E+00	967	3336595	8388
32	ARG	argentina	4.90979817052129E+00	990	5511252	15099
288	GHA	ghana	3.26690067525839E+00	947	8538852	21475
688	SRB	serbia	6.41147851937183E+00	1151	9300724	29834
36	AUS	australia	5.97826030241853E+00	2755	11101694	28276
192	CUB	cuba	8.18979205363080E+00	1614	7528766	21710
894	ZMB	zambia	2.93488032914487E+00	402	2458163	5416
417	KGZ	kyrgyzstan	3.93831962261019E+00	533	3545032	10445
320	GTM	guatemala	2.43621816929289E+00	1322	4848474	13327
56	BEL	belgium	8.47911571326811E+00	1488	10269267	29189
332	HTI	haiti	7.00000000000000E-01	1113	5020928	12590
854	BFA	burkina faso	3.74555940235525E+00	259	1527119	4376
430	LBR	liberia	3.59646637484472E+00	365	1718839	3951
384	CIV	ivory coast	1.88729306803473E+00	262	2167518	5976
620	PRT	portugal	6.27804605519947E+00	647	4092352	13893
208	DNK	denmark	9.06751044083435E+00	2063	11934319	37996
608	PHL	philippines	1.39177325517690E+00	2188	15381963	47504
686	SEN	senegal	2.22248754489000E+00	623	2955926	7496
498	MDA	moldova	5.42926630318407E+00	644	2743879	7589
180	COD	democratic republic of the congo	1.86341257480863E+00	909	5917790	13487
428	LVA	latvia	3.53984232962051E+00	794	5572986	17451
191	HRV	croatia	5.84371546627982E+00	1843	9363305	26635
70	BIH	bosnia and herzegovina	6.74221394075370E+00	1276	9077454	26947
144	LKA	sri lanka	1.42502785070101E+00	1869	11872045	31454
780	TTO	trinidad and tobago	2.62358815383247E+00	216	3222597	9394
100	BGR	bulgaria	4.51870257672953E+00	1797	9396414	26534
388	JAM	jamaica	3.37906311710376E+00	363	3393538	9123
8	ALB	albania	2.84552646126376E+00	1535	8302985	23141
24	AGO	angola	2.53236341027203E+00	727	4117112	11212
422	LBN	lebanon	3.63718779460629E+00	2103	10491745	28502
458	MYS	malaysia	2.20824965742397E+00	1583	8991892	26779
508	MOZ	mozambique	3.14712547667214E+00	510	3320356	8927
764	THA	thailand	3.66446526425755E+00	1742	10201818	25955
300	GRC	greece	6.82762483746598E+00	3233	12349644	35028
558	NIC	nicaragua	4.48761739962123E+00	723	3757972	9785
562	NER	niger	2.40398667855183E+00	711	3238542	8754
124	CAN	canada	7.58062864382362E+00	3417	14180797	41982
4	AFG	afghanistan	1.71684308915499E+00	3010	12811496	34286
634	QAT	qatar	1.83315017022843E+00	325	2200454	5911
585	PLW	palau	7.61557847122971E+00	120	1516509	4406
226	GNQ	equatorial guinea	2.69835178919941E+00	167	1412177	3962
729	SDN	sudan	1.38086416225044E+00	748	5011562	13750
324	GIN	guinea	1.68272887790627E+00	225	1499153	3969
591	PAN	panama	4.93105202810911E+00	453	3567520	10326
524	NPL	nepal	2.59614327282185E+00	1983	12359198	31019
140	CAF	central african republic	1.96907770349280E+00	557	2733055	6687
442	LUX	luxembourg	5.93923719338056E+00	445	4297239	12666
716	ZWE	zimbabwe		1994	7759641	18564
748	SWZ	swaziland	6.29873373913162E+00	174	1305466	3510
706	SOM	somalia		2758	11573292	30219
798	TUV	tuvalu	1.97047251048194E+01	925	3622703	8914
862	VEN	venezuela	9.76369231372836E-01	1002	5647358	14170
662	LCA	saint lucia	4.70000000000000E+00	150	1856218	4866
96	BRN	brunei	2.31959581460186E+00	491	3348866	9852
364	IRN	iran	2.72842061572178E+00	5882	20529075	53463
784	ARE	united arab emirates	2.25007541316559E+00	556	3552603	8937
466	MLI	mali	2.83215938820322E+00	625	3401409	9256
682	SAU	saudi arabia	2.03230086506582E+00	1666	10453381	29624
659	KNA	saint kitts and nevis	2.30000000000000E+00	59	1396862	3739
756	CHE	switzerland	7.56764259196107E+00	900	7055535	23274
600	PRY	paraguay	3.46265919477647E+00	192	2667817	6873
156	CHN	china	3.10690671118996E+00	3598	15920522	47263
51	ARM	armenia	1.88606552404751E+00	3008	13593125	39051
296	KIR	kiribati	8.31360946857143E+00	112	990189	3050
84	BLZ	belize	3.38993455905266E+00	414	3294506	10922
788	TUN	tunisia	4.19515041175395E+00	1217	5287228	14404
804	UKR	ukraine	4.23178143843248E+00	3680	18180124	51204
434	LBY	libya	3.02000000000000E+00	1912	8030270	20645
270	GMB	gambia	3.57428133126935E+00	363	2260222	6453
246	FIN	finland	7.07546925967856E+00	656	5122395	13520
480	MUS	mauritius	2.36555619219121E+00	224	2507536	7547
28	ATG	antigua and barbuda	3.13755736224029E+00	55	1282394	3375
233	EST	estonia	4.45721050270235E+00	981	5722888	17295
760	SYR	syria	1.50716579326758E+00	3049	14605831	40095
214	DOM	dominican republic	2.81606514237701E+00	428	3088770	8806
104	MMR	burma	4.82092027213959E-01	2410	9196976	20975
586	PAK	pakistan	1.01290075443207E+00	4205	21477320	68229
642	ROU	romania	4.25600279364658E+00	789	5283644	15969
690	SYC	seychelles	3.70977405854401E+00	66	1450952	4500
203	CZE	czech republic	6.03426806876265E+00	348	3304578	9155
818	EGY	egypt	2.05862710358410E+00	3001	11672118	30922
598	PNG	papua new guinea	3.61155338485299E+00	387	3195466	8519
840	USA	united states	8.05091765276663E+00	15304	52182114	151469
40	AUT	austria	8.35789602472826E+00	1311	10892096	32445
496	MNG	mongolia	3.62039873058312E+00	1667	8899314	27064
170	COL	colombia	5.17941407460551E+00	1023	7038812	20089
340	HND	honduras	4.28286592509334E+00	722	3315102	6948
554	NZL	new zealand	8.08374703085398E+00	1427	6201233	15155
242	FJI	fiji	2.78457941984630E+00	343	2428571	6108
174	COM	comoros	1.88544680423557E+00	109	1375712	3984
792	TUR	turkey	4.32721806374598E+00	2857	14049568	44033
826	GBR	united kingdom	7.61725038719132E+00	8628	35289924	107339
450	MDG	madagascar	2.64836028822313E+00	635	4426741	10294
368	IRQ	iraq	3.31001329077327E+00	2568	11919538	33762
50	BGD	bangladesh	1.31419291745125E+00	3254	19238292	57315
478	MRT	mauritania	1.84643751709907E+00	494	2817073	7565
858	URY	uruguay	6.14310563467175E+00	454	3979898	10642
250	FRA	france	9.04231210995013E+00	1730	10752330	34546
44	BHS	bahamas	3.19843807153138E+00	400	2513540	6910
703	SVK	slovakia	5.75277427089268E+00	567	4087803	11688
372	IRL	ireland	6.03759287100015E+00	1615	6484724	16329
418	LAO	laos	9.74412287456553E-01	410	2605137	6778
410	KOR	south korea	3.82903484027318E+00	1484	6604974	14929
68	BOL	bolivia	4.75469842140607E+00	402	3681253	10308
454	MWI	malawi	4.16352858826447E+00	750	3050315	7024
218	ECU	ecuador		898	5252818	12692
376	ISR	israel	4.27994435079799E+00	7951	25677910	65553
604	PER	peru	3.12397431713674E+00	633	5381479	16059
12	DZA	algeria	4.92056101549393E+00	721	6797727	19565
752	SWE	sweden	7.91195499792968E+00	2004	10834574	30870
356	IND	india	1.27829203552001E+00	5042	24381167	70861
834	TZA	tanzania	2.65199206320228E+00	556	4721413	11868
499	MNE	montenegro	3.71908823564773E+00	1239	6874308	19854
762	TJK	tajikistan	2.06773178705817E+00	569	3856874	11733
768	TGO	togo	4.48899156792958E+00	74	1478904	4415
400	JOR	jordan	4.76604779000208E+00	914	5592938	15060
152	CHL	chile	3.66182786516985E+00	1430	7410887	19636
512	OMN	oman	2.07994598782503E+00	244	2740041	7050
566	NGA	nigeria	1.06914585549436E+00	1168	7926035	20332
724	ESP	spain	6.25339949529906E+00	3334	16565176	45770
268	GEO	georgia	2.03055245748369E+00	1722	7851210	21567
578	NOR	norway	8.18154743126974E+00	1151	7215017	20016
694	SLE	sierra leone	1.69433156863094E+00	610	3195183	7907
504	MAR	morocco	2.04111904679585E+00	1463	8889048	23442
266	GAB	gabon	2.07347581649796E+00	185	2259207	6708
328	GUY	guyana	4.30000000000000E+00	569	3495270	9188
