id	code	country	indicator	citations	fsize	links
626	TLS	east timor	9.17324077046555E+01	287	1825108	4556
882	WSM	samoa	8.95080517434543E+01	209	1577359	4175
392	JPN	japan	8.20705894604220E+01	3366	16441329	44822
31	AZE	azerbaijan	2.07829106685688E+01	2002	9390161	24439
408	PRK	north korea		2085	8090788	17766
262	DJI	djibouti	6.00246698574992E+01	155	1819059	5571
470	MLT	malta	6.62858026757403E+01	685	4545131	14276
624	GNB	guinea-bissau	2.02828917074396E+01	286	1784413	5321
348	HUN	hungary	6.35745498445836E+01	1099	6609895	16810
196	CYP	cyprus	4.67740380555011E+01	860	4993330	13832
52	BRB	barbados	6.10412181326133E+01	342	2542869	7487
64	BTN	bhutan	7.38386770539887E+01	552	3132760	8245
398	KAZ	kazakhstan	5.31486654719813E+01	760	5030223	15433
440	LTU	lithuania	6.65729549382724E+01	505	2661259	8709
178	COG	republic of the congo	7.74502285227624E+01	141	1469208	3847
583	FSM	micronesia	9.02675777679036E+01	159	1195659	3795
20	AND	andorra	7.53231536929330E+01	394	2196134	6844
516	NAM	namibia	6.03973425078766E+01	704	4735890	11635
646	RWA	rwanda	5.87610999552780E+01	967	3336595	8388
32	ARG	argentina	6.76754359977089E+01	990	5511252	15099
288	GHA	ghana	6.06053733974035E+01	947	8538852	21475
688	SRB	serbia	6.05007432908223E+01	1151	9300724	29834
36	AUS	australia	6.64346820772755E+01	2755	11101694	28276
192	CUB	cuba	9.29520204903188E+01	1614	7528766	21710
894	ZMB	zambia	5.83366235113001E+01	402	2458163	5416
417	KGZ	kyrgyzstan	5.90306746610543E+01	533	3545032	10445
320	GTM	guatemala	3.73897357339583E+01	1322	4848474	13327
56	BEL	belgium	7.58002266377136E+01	1488	10269267	29189
332	HTI	haiti	7.42797760697761E+00	1113	5020928	12590
854	BFA	burkina faso	5.84576405210182E+01	259	1527119	4376
430	LBR	liberia	3.58711554929669E+01	365	1718839	3951
384	CIV	ivory coast	3.30927720708827E+01	262	2167518	5976
620	PRT	portugal	6.46606446897720E+01	647	4092352	13893
208	DNK	denmark	8.53552163812173E+01	2063	11934319	37996
608	PHL	philippines	3.16431392378773E+01	2188	15381963	47504
686	SEN	senegal	5.23008498626070E+01	623	2955926	7496
498	MDA	moldova	4.60047031418106E+01	644	2743879	7589
180	COD	democratic republic of the congo	5.31285312846294E+01	909	5917790	13487
428	LVA	latvia	6.19626380793734E+01	794	5572986	17451
191	HRV	croatia	8.00145478556819E+01	1843	9363305	26635
70	BIH	bosnia and herzegovina	7.00417230665107E+01	1276	9077454	26947
144	LKA	sri lanka	4.39214485147850E+01	1869	11872045	31454
780	TTO	trinidad and tobago	4.95619824792992E+01	216	3222597	9394
100	BGR	bulgaria	5.92518154003507E+01	1797	9396414	26534
388	JAM	jamaica	5.80961820939370E+01	363	3393538	9123
8	ALB	albania	4.83741555208640E+01	1535	8302985	23141
