id	code	country	indicator	citations	fsize	links
626	TLS	east timor	1.27311032109010E+00	287	1825108	4556
882	WSM	samoa	7.50705682596728E+00	209	1577359	4175
392	JPN	japan	1.02990486872858E+01	3366	16441329	44822
31	AZE	azerbaijan	5.57973454950787E+00	2002	9390161	24439
408	PRK	north korea		2085	8090788	17766
262	DJI	djibouti	8.87270635627354E+00	155	1819059	5571
470	MLT	malta	8.70394262977446E+00	685	4545131	14276
624	GNB	guinea-bissau	5.49681583237164E+00	286	1784413	5321
348	HUN	hungary	8.04723269155726E+00	1099	6609895	16810
196	CYP	cyprus	7.36552837642468E+00	860	4993330	13832
52	BRB	barbados	6.78083537717442E+00	342	2542869	7487
64	BTN	bhutan	3.59228288245846E+00	552	3132760	8245
398	KAZ	kazakhstan	4.25597413658309E+00	760	5030223	15433
440	LTU	lithuania	6.23711745815172E+00	505	2661259	8709
178	COG	republic of the congo	4.12071864622392E+00	141	1469208	3847
583	FSM	micronesia	1.25938363761194E+01	159	1195659	3795
20	AND	andorra	8.07364602335991E+00	394	2196134	6844
516	NAM	namibia	7.73747499491178E+00	704	4735890	11635
646	RWA	rwanda	1.11423894492791E+01	967	3336595	8388
32	ARG	argentina	7.25491915661615E+00	990	5511252	15099
288	GHA	ghana	5.39044723614945E+00	947	8538852	21475
688	SRB	serbia	1.05973549590165E+01	1151	9300724	29834
36	AUS	australia	8.99870386293824E+00	2755	11101694	28276
192	CUB	cuba	8.81077356945004E+00	1614	7528766	21710
894	ZMB	zambia	5.03093966104564E+00	402	2458163	5416
417	KGZ	kyrgyzstan	6.67164935048339E+00	533	3545032	10445
320	GTM	guatemala	6.51574054073951E+00	1322	4848474	13327
56	BEL	belgium	1.11861350412499E+01	1488	10269267	29189
332	HTI	haiti	9.42383024071643E+00	1113	5020928	12590
854	BFA	burkina faso	6.40730513406293E+00	259	1527119	4376
430	LBR	liberia	1.00260678124792E+01	365	1718839	3951
384	CIV	ivory coast	5.70303709822879E+00	262	2167518	5976
620	PRT	portugal	9.70922279745307E+00	647	4092352	13893
208	DNK	denmark	1.06232645469922E+01	2063	11934319	37996
608	PHL	philippines	4.39834127933466E+00	2188	15381963	47504
686	SEN	senegal	4.24942912156957E+00	623	2955926	7496
498	MDA	moldova	1.18015462168036E+01	644	2743879	7589
