id	code	country	indicator	citations	fsize	links
626	TLS	east timor	3.62000007629395E+01	287	1825108	4556
882	WSM	samoa		209	1577359	4175
392	JPN	japan	5.67999992370605E+01	3366	16441329	44822
31	AZE	azerbaijan	6.25000000000000E+01	2002	9390161	24439
408	PRK	north korea	7.44000015258789E+01	2085	8090788	17766
262	DJI	djibouti		155	1819059	5571
470	MLT	malta	4.85999984741211E+01	685	4545131	14276
624	GNB	guinea-bissau	6.80999984741210E+01	286	1784413	5321
348	HUN	hungary	4.65999984741211E+01	1099	6609895	16810
196	CYP	cyprus	5.35999984741211E+01	860	4993330	13832
52	BRB	barbados	6.25000000000000E+01	342	2542869	7487
64	BTN	bhutan	7.09000015258789E+01	552	3132760	8245
398	KAZ	kazakhstan	6.86999969482422E+01	760	5030223	15433
440	LTU	lithuania	5.37999992370605E+01	505	2661259	8709
178	COG	republic of the congo	6.60999984741210E+01	141	1469208	3847
583	FSM	micronesia		159	1195659	3795
20	AND	andorra		394	2196134	6844
516	NAM	namibia	4.90000000000000E+01	704	4735890	11635
646	RWA	rwanda	8.54000015258789E+01	967	3336595	8388
32	ARG	argentina	5.62000007629395E+01	990	5511252	15099
288	GHA	ghana	6.61999969482422E+01	947	8538852	21475
688	SRB	serbia	4.07999992370605E+01	1151	9300724	29834
36	AUS	australia	6.15000000000000E+01	2755	11101694	28276
192	CUB	cuba	5.49000015258789E+01	1614	7528766	21710
894	ZMB	zambia	6.88000030517578E+01	402	2458163	5416
417	KGZ	kyrgyzstan	6.20000000000000E+01	533	3545032	10445
320	GTM	guatemala	6.58000030517578E+01	1322	4848474	13327
56	BEL	belgium	4.87999992370605E+01	1488	10269267	29189
332	HTI	haiti	6.12000007629395E+01	1113	5020928	12590
854	BFA	burkina faso	8.08000030517578E+01	259	1527119	4376
430	LBR	liberia	5.92999992370605E+01	365	1718839	3951
384	CIV	ivory coast	6.45999984741210E+01	262	2167518	5976
620	PRT	portugal	5.04000015258789E+01	647	4092352	13893
208	DNK	denmark	5.80999984741211E+01	2063	11934319	37996
608	PHL	philippines	6.05999984741211E+01	2188	15381963	47504
686	SEN	senegal	6.86999969482422E+01	623	2955926	7496
498	MDA	moldova	3.85999984741211E+01	644	2743879	7589
180	COD	democratic republic of the congo	6.61999969482422E+01	909	5917790	13487
428	LVA	latvia	5.37999992370605E+01	794	5572986	17451
191	HRV	croatia	4.22000007629395E+01	1843	9363305	26635
70	BIH	bosnia and herzegovina	3.25000000000000E+01	1276	9077454	26947
144	LKA	sri lanka	5.25999984741211E+01	1869	11872045	31454
780	TTO	trinidad and tobago	6.04000015258789E+01	216	3222597	9394
100	BGR	bulgaria	4.64000015258789E+01	1797	9396414	26534
388	JAM	jamaica	5.37999992370605E+01	363	3393538	9123
8	ALB	albania	4.62999992370605E+01	1535	8302985	23141
