id	code	country	indicator	citations	fsize	links
626	TLS	east timor	4.84251983285919E+01	287	1825108	4556
882	WSM	samoa	4.02397249760112E+01	209	1577359	4175
392	JPN	japan	6.93181792320299E+01	3366	16441329	44822
31	AZE	azerbaijan	9.03735673920547E+01	2002	9390161	24439
408	PRK	north korea	8.57482180107721E+01	2085	8090788	17766
262	DJI	djibouti	5.36189082324663E+01	155	1819059	5571
470	MLT	malta	5.71644038934536E+01	685	4545131	14276
624	GNB	guinea-bissau	8.68789770041302E+01	286	1784413	5321
348	HUN	hungary	7.46666653951008E+01	1099	6609895	16810
196	CYP	cyprus	7.87623083007278E+01	860	4993330	13832
52	BRB	barbados	8.60313352984503E+01	342	2542869	7487
64	BTN	bhutan	8.63989631929136E+01	552	3132760	8245
398	KAZ	kazakhstan	8.69062844957093E+01	760	5030223	15433
440	LTU	lithuania	8.29123279446910E+01	505	2661259	8709
178	COG	republic of the congo	9.38356164383562E+01	141	1469208	3847
583	FSM	micronesia		159	1195659	3795
20	AND	andorra		394	2196134	6844
516	NAM	namibia	8.58712717547781E+01	704	4735890	11635
646	RWA	rwanda	1.01289564401837E+02	967	3336595	8388
32	ARG	argentina	6.33333333333333E+01	990	5511252	15099
288	GHA	ghana	9.42577053410355E+01	947	8538852	21475
688	SRB	serbia	7.30706057225469E+01	1151	9300724	29834
36	AUS	australia	8.18941458744422E+01	2755	11101694	28276
192	CUB	cuba	6.20000021798270E+01	1614	7528766	21710
894	ZMB	zambia	8.53971960013772E+01	402	2458163	5416
417	KGZ	kyrgyzstan	7.04402515723270E+01	533	3545032	10445
320	GTM	guatemala	5.58956926789815E+01	1322	4848474	13327
56	BEL	belgium	8.01011814690111E+01	1488	10269267	29189
332	HTI	haiti	8.57746500364491E+01	1113	5020928	12590
854	BFA	burkina faso	8.56666649712457E+01	259	1527119	4376
430	LBR	liberia	8.98148117623595E+01	365	1718839	3951
384	CIV	ivory coast	6.43734650412995E+01	262	2167518	5976
620	PRT	portugal	8.29305197231382E+01	647	4092352	13893
208	DNK	denmark	8.84036135753124E+01	2063	11934319	37996
608	PHL	philippines	6.41154334137627E+01	2188	15381963	47504
686	SEN	senegal	7.50000000000000E+01	623	2955926	7496
498	MDA	moldova	8.50678683825899E+01	644	2743879	7589
180	COD	democratic republic of the congo	9.65846993111657E+01	909	5917790	13487
428	LVA	latvia	8.12130218418510E+01	794	5572986	17451
191	HRV	croatia	7.65410951969436E+01	1843	9363305	26635
70	BIH	bosnia and herzegovina	5.95113419339557E+01	1276	9077454	26947
144	LKA	sri lanka	4.60026173921791E+01	1869	11872045	31454
780	TTO	trinidad and tobago	7.01986754966888E+01	216	3222597	9394
100	BGR	bulgaria	8.11864432642015E+01	1797	9396414	26534
388	JAM	jamaica	7.91255250589018E+01	363	3393538	9123
8	ALB	albania	6.85496206501968E+01	1535	8302985	23141
24	AGO	angola	8.23146917828842E+01	727	4117112	11212
422	LBN	lebanon	3.28631858048069E+01	2103	10491745	28502
458	MYS	malaysia	5.88079490408992E+01	1583	8991892	26779
508	MOZ	mozambique	1.03260865759334E+02	510	3320356	8927
764	THA	thailand	7.96778258777349E+01	1742	10201818	25955
300	GRC	greece	7.07200012207032E+01	3233	12349644	35028
558	NIC	nicaragua	5.90286422471578E+01	723	3757972	9785
562	NER	niger	4.45930895884873E+01	711	3238542	8754
124	CAN	canada	8.67605612311565E+01	3417	14180797	41982
4	AFG	afghanistan	1.98742140763961E+01	3010	12811496	34286
634	QAT	qatar	5.31937164785974E+01	325	2200454	5911
585	PLW	palau		120	1516509	4406
226	GNQ	equatorial guinea	8.75271145546180E+01	167	1412177	3962
729	SDN	sudan	4.11842095224480E+01	748	5011562	13750
324	GIN	guinea	8.37803268420797E+01	225	1499153	3969
591	PAN	panama	5.99021982541932E+01	453	3567520	10326
524	NPL	nepal	9.17336428537580E+01	1983	12359198	31019
140	CAF	central african republic	8.53113980915038E+01	557	2733055	6687
442	LUX	luxembourg	7.84829751710444E+01	445	4297239	12666
716	ZWE	zimbabwe	9.28730497679492E+01	1994	7759641	18564
748	SWZ	swaziland	6.13128525997748E+01	174	1305466	3510
706	SOM	somalia	4.92715241893238E+01	2758	11573292	30219
798	TUV	tuvalu		925	3622703	8914
862	VEN	venezuela	6.45202025796988E+01	1002	5647358	14170
662	LCA	saint lucia	8.22834688635586E+01	150	1856218	4866
96	BRN	brunei	6.98539128052442E+01	491	3348866	9852
364	IRN	iran	2.25543488119861E+01	5882	20529075	53463
784	ARE	united arab emirates	5.05434782608696E+01	556	3552603	8937
466	MLI	mali	6.24078603007274E+01	625	3401409	9256
682	SAU	saudi arabia	2.57982119739982E+01	1666	10453381	29624
659	KNA	saint kitts and nevis		59	1396862	3739
756	CHE	switzerland	8.25100106516123E+01	900	7055535	23274
600	PRY	paraguay	6.56839608000284E+01	192	2667817	6873
156	CHN	china	8.16091941703243E+01	3598	15920522	47263
51	ARM	armenia	7.46556500028847E+01	3008	13593125	39051
296	KIR	kiribati		112	990189	3050
84	BLZ	belize	5.97812866811172E+01	414	3294506	10922
788	TUN	tunisia	3.54019743882630E+01	1217	5287228	14404
804	UKR	ukraine	7.95216734671675E+01	3680	18180124	51204
434	LBY	libya	3.92670149225562E+01	1912	8030270	20645
270	GMB	gambia	8.70928777072501E+01	363	2260222	6453
246	FIN	finland	8.70312511920930E+01	656	5122395	13520
480	MUS	mauritius	5.87601081770044E+01	224	2507536	7547
