id	code	country	indicator	citations	fsize	links
626	TLS	east timor	32.04725871	287	1825108	4556
882	WSM	samoa	27.51911191	209	1577359	4175
392	JPN	japan	42.66068731	3366	16441329	44822
31	AZE	azerbaijan	48.92789453	2002	9390161	24439
408	PRK	north korea	47.88857506	2085	8090788	17766
262	DJI	djibouti	34.91690091	155	1819059	5571
470	MLT	malta	36.64673974	685	4545131	14276
624	GNB	guinea-bissau	47.05185793	286	1784413	5321
348	HUN	hungary	45.86687548	1099	6609895	16810
196	CYP	cyprus	43.15189009	860	4993330	13832
52	BRB	barbados	46.62116954	342	2542869	7487
64	BTN	bhutan	41.54349308	552	3132760	8245
398	KAZ	kazakhstan	49.45905051	760	5030223	15433
440	LTU	lithuania	50.19774702	505	2661259	8709
178	COG	republic of the congo	48.78323604	141	1469208	3847
583	FSM	micronesia		159	1195659	3795
20	AND	andorra		394	2196134	6844
516	NAM	namibia	48.55649142	704	4735890	11635
646	RWA	rwanda	52.44420015	967	3336595	8388
32	ARG	argentina	40.39120858	990	5511252	15099
288	GHA	ghana	49.89108349	947	8538852	21475
688	SRB	serbia	43.79107806	1151	9300724	29834
36	AUS	australia	45.6628982	2755	11101694	28276
192	CUB	cuba	38.24570248	1614	7528766	21710
894	ZMB	zambia	46.34044264	402	2458163	5416
320	GTM	guatemala	38.30587951	1322	4848474	13327
56	BEL	belgium	45.76199013	1488	10269267	29189
332	HTI	haiti	47.56424579	1113	5020928	12590
854	BFA	burkina faso	47.45447605	259	1527119	4376
430	LBR	liberia	47.46662141	365	1718839	3951
417	KGZ	kyrgyzstan	42.6222107	533	3545032	10445
620	PRT	portugal	47.40694237	647	4092352	13893
208	DNK	denmark	47.65258451	2063	11934319	37996
608	PHL	philippines	39.55255021	2188	15381963	47504
686	SEN	senegal	44.99193351	623	2955926	7496
498	MDA	moldova	49.26607235	644	2743879	7589
180	COD	democratic republic of the congo	49.94586957	909	5917790	13487
428	LVA	latvia	50.01068565	794	5572986	17451
191	HRV	croatia	45.59422353	1843	9363305	26635
70	BIH	bosnia and herzegovina	38.84210022	1276	9077454	26947
144	LKA	sri lanka	33.0366901	1869	11872045	31454
780	TTO	trinidad and tobago	42.07453236	216	3222597	9394
100	BGR	bulgaria	46.60362794	1797	9396414	26534
388	JAM	jamaica	45.50371208	363	3393538	9123
8	ALB	albania	41.09737474	1535	8302985	23141
24	AGO	angola	46.15990587	727	4117112	11212
384	CIV	ivory coast	37.81929684	262	2167518	5976
