id	code	country	indicator	citations	fsize	links
626	TLS	east timor	1.00000000000000E+01	287	1825108	4556
882	WSM	samoa	1.00000000000000E+00	209	1577359	4175
392	JPN	japan	1.57000000000000E+02	3366	16441329	44822
31	AZE	azerbaijan	1.08130000000000E+04	2002	9390161	24439
408	PRK	north korea	1.16600000000000E+03	2085	8090788	17766
262	DJI	djibouti	7.62000000000000E+02	155	1819059	5571
470	MLT	malta	6.00000000000000E+00	685	4545131	14276
624	GNB	guinea-bissau	1.23600000000000E+03	286	1784413	5321
348	HUN	hungary	1.22000000000000E+03	1099	6609895	16810
196	CYP	cyprus	1.00000000000000E+01	860	4993330	13832
52	BRB	barbados	6.70000000000000E+01	342	2542869	7487
64	BTN	bhutan	3.15670000000000E+04	552	3132760	8245
398	KAZ	kazakhstan	2.13600000000000E+03	760	5030223	15433
440	LTU	lithuania	2.20000000000000E+02	505	2661259	8709
178	COG	republic of the congo	1.17510000000000E+04	141	1469208	3847
583	FSM	micronesia		159	1195659	3795
20	AND	andorra	5.00000000000000E+00	394	2196134	6844
516	NAM	namibia	1.14200000000000E+03	704	4735890	11635
646	RWA	rwanda	8.39370000000000E+04	967	3336595	8388
32	ARG	argentina	3.88000000000000E+02	990	5511252	15099
288	GHA	ghana	2.13780000000000E+04	947	8538852	21475
688	SRB	serbia	4.86930000000000E+04	1151	9300724	29834
36	AUS	australia	2.80000000000000E+01	2755	11101694	28276
192	CUB	cuba	7.42800000000000E+03	1614	7528766	21710
894	ZMB	zambia	2.32000000000000E+02	402	2458163	5416
417	KGZ	kyrgyzstan	2.31100000000000E+03	533	3545032	10445
320	GTM	guatemala	6.61500000000000E+03	1322	4848474	13327
56	BEL	belgium	7.80000000000000E+01	1488	10269267	29189
332	HTI	haiti	3.86600000000000E+04	1113	5020928	12590
854	BFA	burkina faso	1.68800000000000E+03	259	1527119	4376
430	LBR	liberia	1.75760000000000E+04	365	1718839	3951
384	CIV	ivory coast	8.57290000000000E+04	262	2167518	5976
620	PRT	portugal	3.20000000000000E+01	647	4092352	13893
208	DNK	denmark	1.00000000000000E+01	2063	11934319	37996
608	PHL	philippines	7.26000000000000E+02	2188	15381963	47504
686	SEN	senegal	1.98840000000000E+04	623	2955926	7496
498	MDA	moldova	2.20700000000000E+03	644	2743879	7589
180	COD	democratic republic of the congo	4.99541000000000E+05	909	5917790	13487
428	LVA	latvia	2.33000000000000E+02	794	5572986	17451
191	HRV	croatia	4.97600000000000E+04	1843	9363305	26635
70	BIH	bosnia and herzegovina	2.68110000000000E+04	1276	9077454	26947
144	LKA	sri lanka	1.23088000000000E+05	1869	11872045	31454
780	TTO	trinidad and tobago	3.36000000000000E+02	216	3222597	9394
100	BGR	bulgaria	1.88000000000000E+03	1797	9396414	26534
388	JAM	jamaica	1.50300000000000E+03	363	3393538	9123
8	ALB	albania	1.00840000000000E+04	1535	8302985	23141
24	AGO	angola	1.02970000000000E+04	727	4117112	11212
422	LBN	lebanon	3.82400000000000E+03	2103	10491745	28502
458	MYS	malaysia	4.85000000000000E+02	1583	8991892	26779
508	MOZ	mozambique	5.60000000000000E+01	510	3320356	8927
764	THA	thailand	2.22000000000000E+02	1742	10201818	25955
300	GRC	greece	9.20000000000000E+01	3233	12349644	35028
558	NIC	nicaragua	1.53800000000000E+03	723	3757972	9785
562	NER	niger	7.33000000000000E+02	711	3238542	8754
124	CAN	canada	1.00000000000000E+02	3417	14180797	41982
4	AFG	afghanistan	2.55655600000000E+06	3010	12811496	34286
634	QAT	qatar	1.70000000000000E+01	325	2200454	5911
585	PLW	palau	1.00000000000000E+00	120	1516509	4406
226	GNQ	equatorial guinea	2.00000000000000E+02	167	1412177	3962
729	SDN	sudan	6.49331000000000E+05	748	5011562	13750
324	GIN	guinea	1.45940000000000E+04	225	1499153	3969
591	PAN	panama	1.05000000000000E+02	453	3567520	10326
524	NPL	nepal	8.11200000000000E+03	1983	12359198	31019
140	CAF	central african republic	2.52865000000000E+05	557	2733055	6687
442	LUX	luxembourg	1.00000000000000E+00	445	4297239	12666
716	ZWE	zimbabwe	1.96810000000000E+04	1994	7759641	18564
748	SWZ	swaziland	1.09000000000000E+02	174	1305466	3510
706	SOM	somalia	1.12173800000000E+06	2758	11573292	30219
798	TUV	tuvalu	2.00000000000000E+00	925	3622703	8914
862	VEN	venezuela	8.39500000000000E+03	1002	5647358	14170
662	LCA	saint lucia	7.10000000000000E+02	150	1856218	4866
96	BRN	brunei	1.00000000000000E+00	491	3348866	9852
364	IRN	iran	7.50430000000000E+04	5882	20529075	53463
784	ARE	united arab emirates	9.00000000000000E+01	556	3552603	8937
466	MLI	mali	1.52864000000000E+05	625	3401409	9256
682	SAU	saudi arabia	5.84000000000000E+02	1666	10453381	29624
659	KNA	saint kitts and nevis	1.50000000000000E+01	59	1396862	3739
756	CHE	switzerland	1.50000000000000E+01	900	7055535	23274
600	PRY	paraguay	9.50000000000000E+01	192	2667817	6873
156	CHN	china	1.95137000000000E+05	3598	15920522	47263
51	ARM	armenia	1.20210000000000E+04	3008	13593125	39051
296	KIR	kiribati	2.00000000000000E+01	112	990189	3050
84	BLZ	belize	4.00000000000000E+01	414	3294506	10922
788	TUN	tunisia	1.37100000000000E+03	1217	5287228	14404
804	UKR	ukraine	5.17200000000000E+03	3680	18180124	51204
434	LBY	libya	3.32200000000000E+03	1912	8030270	20645
270	GMB	gambia	3.43400000000000E+03	363	2260222	6453
246	FIN	finland	8.00000000000000E+00	656	5122395	13520
