id	code	country	indicator	citations	fsize	links
626	TLS	east timor		287	1825108	4556
882	WSM	samoa		209	1577359	4175
392	JPN	japan	2.58400000000000E+03	3366	16441329	44822
31	AZE	azerbaijan	1.38000000000000E+03	2002	9390161	24439
408	PRK	north korea		2085	8090788	17766
262	DJI	djibouti	2.00150000000000E+04	155	1819059	5571
470	MLT	malta	9.90600000000000E+03	685	4545131	14276
624	GNB	guinea-bissau	8.53500000000000E+03	286	1784413	5321
348	HUN	hungary	2.44000000000000E+03	1099	6609895	16810
196	CYP	cyprus	3.88300000000000E+03	860	4993330	13832
52	BRB	barbados	1.00000000000000E+00	342	2542869	7487
64	BTN	bhutan		552	3132760	8245
398	KAZ	kazakhstan	5.84000000000000E+02	760	5030223	15433
440	LTU	lithuania	9.16000000000000E+02	505	2661259	8709
178	COG	republic of the congo	5.10370000000000E+04	141	1469208	3847
583	FSM	micronesia		159	1195659	3795
20	AND	andorra		394	2196134	6844
516	NAM	namibia	2.33200000000000E+03	704	4735890	11635
646	RWA	rwanda	7.33490000000000E+04	967	3336595	8388
32	ARG	argentina	3.36200000000000E+03	990	5511252	15099
288	GHA	ghana	1.86810000000000E+04	947	8538852	21475
688	SRB	serbia	5.70830000000000E+04	1151	9300724	29834
36	AUS	australia	3.45030000000000E+04	2755	11101694	28276
192	CUB	cuba	3.84000000000000E+02	1614	7528766	21710
894	ZMB	zambia	2.35940000000000E+04	402	2458163	5416
417	KGZ	kyrgyzstan	4.66000000000000E+02	533	3545032	10445
320	GTM	guatemala	1.60000000000000E+02	1322	4848474	13327
56	BEL	belgium	2.56330000000000E+04	1488	10269267	29189
332	HTI	haiti		1113	5020928	12590
854	BFA	burkina faso	2.92340000000000E+04	259	1527119	4376
430	LBR	liberia	5.32530000000000E+04	365	1718839	3951
384	CIV	ivory coast	2.98000000000000E+03	262	2167518	5976
620	PRT	portugal	5.98000000000000E+02	647	4092352	13893
208	DNK	denmark	1.31700000000000E+04	2063	11934319	37996
608	PHL	philippines	1.82000000000000E+02	2188	15381963	47504
686	SEN	senegal	1.42470000000000E+04	623	2955926	7496
498	MDA	moldova	2.50000000000000E+02	644	2743879	7589
180	COD	democratic republic of the congo	1.13362000000000E+05	909	5917790	13487
428	LVA	latvia	1.60000000000000E+02	794	5572986	17451
191	HRV	croatia	6.84000000000000E+02	1843	9363305	26635
70	BIH	bosnia and herzegovina	6.92600000000000E+03	1276	9077454	26947
144	LKA	sri lanka	1.45000000000000E+02	1869	11872045	31454
780	TTO	trinidad and tobago	2.00000000000000E+01	216	3222597	9394
100	BGR	bulgaria	4.32000000000000E+03	1797	9396414	26534
388	JAM	jamaica	2.10000000000000E+01	363	3393538	9123
8	ALB	albania	9.30000000000000E+01	1535	8302985	23141
24	AGO	angola	2.37830000000000E+04	727	4117112	11212
422	LBN	lebanon	4.47328000000000E+05	2103	10491745	28502
458	MYS	malaysia	9.75130000000000E+04	1583	8991892	26779
508	MOZ	mozambique	4.44500000000000E+03	510	3320356	8927
764	THA	thailand	1.36499000000000E+05	1742	10201818	25955
300	GRC	greece	3.48500000000000E+03	3233	12349644	35028
558	NIC	nicaragua	1.89000000000000E+02	723	3757972	9785
562	NER	niger	5.76610000000000E+04	711	3238542	8754
124	CAN	canada	1.60349000000000E+05	3417	14180797	41982
4	AFG	afghanistan	1.68630000000000E+04	3010	12811496	34286
634	QAT	qatar	1.30000000000000E+02	325	2200454	5911
585	PLW	palau	1.00000000000000E+00	120	1516509	4406
226	GNQ	equatorial guinea		167	1412177	3962
729	SDN	sudan	1.59857000000000E+05	748	5011562	13750
324	GIN	guinea	8.56000000000000E+03	225	1499153	3969
591	PAN	panama	1.76650000000000E+04	453	3567520	10326
524	NPL	nepal	4.63050000000000E+04	1983	12359198	31019
140	CAF	central african republic	1.43220000000000E+04	557	2733055	6687
442	LUX	luxembourg	2.87300000000000E+03	445	4297239	12666
716	ZWE	zimbabwe	6.38900000000000E+03	1994	7759641	18564
748	SWZ	swaziland	5.07000000000000E+02	174	1305466	3510
706	SOM	somalia	2.42500000000000E+03	2758	11573292	30219
798	TUV	tuvalu		925	3622703	8914
862	VEN	venezuela	2.04340000000000E+05	1002	5647358	14170
662	LCA	saint lucia	5.00000000000000E+00	150	1856218	4866
96	BRN	brunei		491	3348866	9852
364	IRN	iran	8.57354000000000E+05	5882	20529075	53463
784	ARE	united arab emirates	6.03000000000000E+02	556	3552603	8937
466	MLI	mali	1.43160000000000E+04	625	3401409	9256
682	SAU	saudi arabia	5.59000000000000E+02	1666	10453381	29624
659	KNA	saint kitts and nevis		59	1396862	3739
756	CHE	switzerland	5.24640000000000E+04	900	7055535	23274
600	PRY	paraguay	1.36000000000000E+02	192	2667817	6873
156	CHN	china	3.01047000000000E+05	3598	15920522	47263
51	ARM	armenia	1.37320000000000E+04	3008	13593125	39051
296	KIR	kiribati		112	990189	3050
84	BLZ	belize	2.10000000000000E+01	414	3294506	10922
788	TUN	tunisia	7.30000000000000E+02	1217	5287228	14404
804	UKR	ukraine	2.96800000000000E+03	3680	18180124	51204
434	LBY	libya	2.55610000000000E+04	1912	8030270	20645
270	GMB	gambia	9.56300000000000E+03	363	2260222	6453
246	FIN	finland	1.12520000000000E+04	656	5122395	13520
480	MUS	mauritius		224	2507536	7547
28	ATG	antigua and barbuda		55	1282394	3375
233	EST	estonia	7.00000000000000E+01	981	5722888	17295
760	SYR	syria	5.17255000000000E+05	3049	14605831	40095
214	DOM	dominican republic	7.21000000000000E+02	428	3088770	8806
104	MMR	burma		2410	9196976	20975
586	PAK	pakistan	1.61650700000000E+06	4205	21477320	68229
642	ROU	romania	1.77000000000000E+03	789	5283644	15969
690	SYC	seychelles		66	1450952	4500
203	CZE	czech republic	3.18400000000000E+03	348	3304578	9155
818	EGY	egypt	2.30086000000000E+05	3001	11672118	30922
598	PNG	papua new guinea	9.37800000000000E+03	387	3195466	8519
840	USA	united states	2.63662000000000E+05	15304	52182114	151469
40	AUT	austria	5.55980000000000E+04	1311	10892096	32445
496	MNG	mongolia	9.00000000000000E+00	1667	8899314	27064
170	COL	colombia	2.24000000000000E+02	1023	7038812	20089
340	HND	honduras	1.60000000000000E+01	722	3315102	6948
554	NZL	new zealand	1.40300000000000E+03	1427	6201233	15155
242	FJI	fiji	5.00000000000000E+00	343	2428571	6108
174	COM	comoros		109	1375712	3984
792	TUR	turkey	6.09938000000000E+05	2857	14049568	44033
826	GBR	united kingdom	1.26055000000000E+05	8628	35289924	107339
450	MDG	madagascar	1.20000000000000E+01	635	4426741	10294
368	IRQ	iraq	2.46298000000000E+05	2568	11919538	33762
50	BGD	bangladesh	2.31145000000000E+05	3254	19238292	57315
478	MRT	mauritania	9.27670000000000E+04	494	2817073	7565
858	URY	uruguay	2.03000000000000E+02	454	3979898	10642
250	FRA	france	2.32487000000000E+05	1730	10752330	34546
44	BHS	bahamas	1.50000000000000E+01	400	2513540	6910
703	SVK	slovakia	7.01000000000000E+02	567	4087803	11688
372	IRL	ireland	6.00100000000000E+03	1615	6484724	16329
418	LAO	laos		410	2605137	6778
410	KOR	south korea	5.47000000000000E+02	1484	6604974	14929
68	BOL	bolivia	7.48000000000000E+02	402	3681253	10308
454	MWI	malawi	5.79600000000000E+03	750	3050315	7024
218	ECU	ecuador	1.23133000000000E+05	898	5252818	12692
376	ISR	israel	4.83250000000000E+04	7951	25677910	65553
604	PER	peru	1.16200000000000E+03	633	5381479	16059
12	DZA	algeria	9.41500000000000E+04	721	6797727	19565
752	SWE	sweden	1.14175000000000E+05	2004	10834574	30870
356	IND	india	1.88395000000000E+05	5042	24381167	70861
834	TZA	tanzania	1.02099000000000E+05	556	4721413	11868
499	MNE	montenegro	8.47600000000000E+03	1239	6874308	19854
762	TJK	tajikistan	2.04800000000000E+03	569	3856874	11733
768	TGO	togo	2.06130000000000E+04	74	1478904	4415
400	JOR	jordan	2.71288800000000E+06	914	5592938	15060
152	CHL	chile	1.74300000000000E+03	1430	7410887	19636
512	OMN	oman	1.38000000000000E+02	244	2740041	7050
566	NGA	nigeria	1.69400000000000E+03	1168	7926035	20332
724	ESP	spain	4.63700000000000E+03	3334	16565176	45770
268	GEO	georgia	8.47000000000000E+02	1722	7851210	21567
578	NOR	norway	4.61060000000000E+04	1151	7215017	20016
694	SLE	sierra leone	2.81700000000000E+03	610	3195183	7907
504	MAR	morocco	1.47000000000000E+03	1463	8889048	23442
266	GAB	gabon	1.59400000000000E+03	185	2259207	6708
328	GUY	guyana	1.10000000000000E+01	569	3495270	9188
308	GRD	grenada		124	1579737	4471
887	YEM	yemen	2.41288000000000E+05	925	5317491	14964
643	RUS	russia	3.45800000000000E+03	3858	19559146	53313
728	SSD	south sudan	2.29587000000000E+05	971	4079530	9758
48	BHR	bahrain	2.94000000000000E+02	984	5534198	14791
360	IDN	indonesia	3.20600000000000E+03	1109	6315182	17660
148	TCD	chad	4.34479000000000E+05	446	2572952	6902
484	MEX	mexico	1.83100000000000E+03	1935	10624402	27978
426	LSO	lesotho	3.00000000000000E+01	83	1161694	3443
112	BLR	belarus	6.04000000000000E+02	996	4888728	12776
670	VCT	saint vincent and the grenadines		47	1275427	3160
800	UGA	uganda	2.20555000000000E+05	668	3381652	9634
108	BDI	burundi	4.54900000000000E+04	210	1796598	4801
404	KEN	kenya	5.34938000000000E+05	1096	8286607	20012
72	BWA	botswana	2.77300000000000E+03	139	1154682	2889
380	ITA	italy	7.80610000000000E+04	1847	9978083	33234
116	KHM	cambodia	6.80000000000000E+01	851	5165635	13715
231	ETH	ethiopia	4.33936000000000E+05	1109	6232319	16459
548	VUT	vanuatu	2.00000000000000E+00	265	2451779	7239
584	MHL	marshall islands		97	1014048	3239
120	CMR	cameroon	1.14753000000000E+05	956	4537626	11383
204	BEN	benin	1.94000000000000E+02	86	1013683	2666
76	BRA	brazil	5.19600000000000E+03	2424	12102945	32005
702	SGP	singapore	3.00000000000000E+00	1270	7965260	19928
90	SLB	solomon islands		286	2615725	7016
352	ISL	iceland	7.90000000000000E+01	744	5735302	17749
674	SMR	san marino		66	802513	1998
492	MCO	monaco	3.40000000000000E+01	288	2060126	5928
188	CRI	costa rica	2.05690000000000E+04	273	2105051	5162
705	SVN	slovenia	2.13000000000000E+02	587	3362613	9659
276	DEU	germany	1.87567000000000E+05	809	4940123	15076
710	ZAF	south africa	6.58810000000000E+04	3528	20480119	48536
212	DMA	dominica		92	1002182	2597
795	TKM	turkmenistan	4.50000000000000E+01	707	4104779	12388
740	SUR	suriname		156	1635993	4679
232	ERI	eritrea	3.16600000000000E+03	275	2382397	6381
776	TON	tonga	3.00000000000000E+00	155	1499371	3416
462	MDV	maldives		178	1780819	5626
860	UZB	uzbekistan	1.41000000000000E+02	740	4951129	14191
222	SLV	el salvador	4.40000000000000E+01	398	2716148	7133
616	POL	poland	1.64380000000000E+04	2953	15472218	44481
132	CPV	cape verde		97	1324986	3651
438	LIE	liechtenstein	9.70000000000000E+01	175	1092252	2825
704	VNM	vietnam		2330	11515107	29006
414	KWT	kuwait	6.35000000000000E+02	837	5585031	12697
