id	code	country	indicator	citations	fsize	links
626	TLS	east timor	4.97998000000000E+01	287	1825108	4556
882	WSM	samoa	2.76596000000000E+01	209	1577359	4175
392	JPN	japan	5.46140000000000E+00	3366	16441329	44822
31	AZE	azerbaijan	3.89652000000000E+01	2002	9390161	24439
408	PRK	north korea	6.34400000000000E-01	2085	8090788	17766
262	DJI	djibouti	1.80812000000000E+01	155	1819059	5571
470	MLT	malta	1.82210000000000E+01	685	4545131	14276
624	GNB	guinea-bissau	9.70496000000000E+01	286	1784413	5321
348	HUN	hungary	1.15258000000000E+01	1099	6609895	16810
196	CYP	cyprus	5.29300000000000E+00	860	4993330	13832
52	BRB	barbados	4.79974000000000E+01	342	2542869	7487
64	BTN	bhutan	4.02110000000000E+01	552	3132760	8245
398	KAZ	kazakhstan	2.87074000000000E+01	760	5030223	15433
440	LTU	lithuania	1.01004000000000E+01	505	2661259	8709
178	COG	republic of the congo	1.24929400000000E+02	141	1469208	3847
583	FSM	micronesia	1.73932000000000E+01	159	1195659	3795
20	AND	andorra		394	2196134	6844
516	NAM	namibia	5.17130000000000E+01	704	4735890	11635
646	RWA	rwanda	3.23072000000000E+01	967	3336595	8388
32	ARG	argentina	5.38988000000000E+01	990	5511252	15099
288	GHA	ghana	5.68998000000000E+01	947	8538852	21475
688	SRB	serbia	1.65184000000000E+01	1151	9300724	29834
36	AUS	australia	1.13996000000000E+01	2755	11101694	28276
192	CUB	cuba	4.29356000000000E+01	1614	7528766	21710
894	ZMB	zambia	1.21998400000000E+02	402	2458163	5416
417	KGZ	kyrgyzstan	2.81670000000000E+01	533	3545032	10445
320	GTM	guatemala	9.54606000000000E+01	1322	4848474	13327
56	BEL	belgium	6.39980000000000E+00	1488	10269267	29189
332	HTI	haiti	4.12584000000000E+01	1113	5020928	12590
854	BFA	burkina faso	1.12297000000000E+02	259	1527119	4376
430	LBR	liberia	1.13964200000000E+02	365	1718839	3951
384	CIV	ivory coast	1.26353000000000E+02	262	2167518	5976
620	PRT	portugal	1.18556000000000E+01	647	4092352	13893
208	DNK	denmark	4.92860000000000E+00	2063	11934319	37996
608	PHL	philippines	4.64838000000000E+01	2188	15381963	47504
686	SEN	senegal	9.18982000000000E+01	623	2955926	7496
498	MDA	moldova	2.85684000000000E+01	644	2743879	7589
180	COD	democratic republic of the congo	1.34294400000000E+02	909	5917790	13487
428	LVA	latvia	1.28442000000000E+01	794	5572986	17451
191	HRV	croatia	1.25272000000000E+01	1843	9363305	26635
70	BIH	bosnia and herzegovina	1.47410000000000E+01	1276	9077454	26947
144	LKA	sri lanka	1.67532000000000E+01	1869	11872045	31454
780	TTO	trinidad and tobago	3.41452000000000E+01	216	3222597	9394
100	BGR	bulgaria	3.43246000000000E+01	1797	9396414	26534
388	JAM	jamaica	6.87654000000000E+01	363	3393538	9123
8	ALB	albania	1.43552000000000E+01	1535	8302985	23141
24	AGO	angola	1.66575600000000E+02	727	4117112	11212
422	LBN	lebanon	1.19228000000000E+01	2103	10491745	28502
458	MYS	malaysia	5.55340000000000E+00	1583	8991892	26779
508	MOZ	mozambique	1.33148000000000E+02	510	3320356	8927
764	THA	thailand	4.00002000000000E+01	1742	10201818	25955
300	GRC	greece	1.12526000000000E+01	3233	12349644	35028
558	NIC	nicaragua	9.89072000000000E+01	723	3757972	9785
562	NER	niger	2.05495400000000E+02	711	3238542	8754
124	CAN	canada	1.37182000000000E+01	3417	14180797	41982
4	AFG	afghanistan	8.31960000000000E+01	3010	12811496	34286
634	QAT	qatar	9.03940000000000E+00	325	2200454	5911
585	PLW	palau		120	1516509	4406
226	GNQ	equatorial guinea	1.10515400000000E+02	167	1412177	3962
729	SDN	sudan	8.03134000000000E+01	748	5011562	13750
324	GIN	guinea	1.26780400000000E+02	225	1499153	3969
591	PAN	panama	7.74868000000000E+01	453	3567520	10326
524	NPL	nepal	7.16226000000000E+01	1983	12359198	31019
140	CAF	central african republic	9.67028000000000E+01	557	2733055	6687
442	LUX	luxembourg	7.95680000000000E+00	445	4297239	12666
716	ZWE	zimbabwe	5.82466000000000E+01	1994	7759641	18564
748	SWZ	swaziland	6.94122000000000E+01	174	1305466	3510
706	SOM	somalia	1.07130000000000E+02	2758	11573292	30219
798	TUV	tuvalu		925	3622703	8914
862	VEN	venezuela	8.20288000000000E+01	1002	5647358	14170
662	LCA	saint lucia	5.54298000000000E+01	150	1856218	4866
96	BRN	brunei	2.26280000000000E+01	491	3348866	9852
364	IRN	iran	3.14808000000000E+01	5882	20529075	53463
784	ARE	united arab emirates	2.73440000000000E+01	556	3552603	8937
466	MLI	mali	1.74122800000000E+02	625	3401409	9256
682	SAU	saudi arabia	1.00320000000000E+01	1666	10453381	29624
659	KNA	saint kitts and nevis		59	1396862	3739
756	CHE	switzerland	1.74320000000000E+00	900	7055535	23274
600	PRY	paraguay	6.60312000000000E+01	192	2667817	6873
156	CHN	china	8.58180000000000E+00	3598	15920522	47263
51	ARM	armenia	2.68064000000000E+01	3008	13593125	39051
296	KIR	kiribati	1.56176000000000E+01	112	990189	3050
84	BLZ	belize	7.02260000000000E+01	414	3294506	10922
788	TUN	tunisia	4.37080000000000E+00	1217	5287228	14404
804	UKR	ukraine	2.46754000000000E+01	3680	18180124	51204
434	LBY	libya	2.43940000000000E+00	1912	8030270	20645
270	GMB	gambia	1.14061000000000E+02	363	2260222	6453
246	FIN	finland	8.75900000000000E+00	656	5122395	13520
480	MUS	mauritius	3.07342000000000E+01	224	2507536	7547
28	ATG	antigua and barbuda	4.81334000000000E+01	55	1282394	3375
233	EST	estonia	1.58982000000000E+01	981	5722888	17295
760	SYR	syria	4.09036000000000E+01	3049	14605831	40095
