id	code	country	indicator	citations	fsize	links
626	TLS	east timor	45.78035254	287	1825108	4556
882	WSM	samoa	37.74557183	209	1577359	4175
392	JPN	japan	13.05146464	3366	16441329	44822
31	AZE	azerbaijan	22.2119591	2002	9390161	24439
408	PRK	north korea	21.68941511	2085	8090788	17766
262	DJI	djibouti	33.69689735	155	1819059	5571
470	MLT	malta	14.67212427	685	4545131	14276
624	GNB	guinea-bissau	41.45741101	286	1784413	5321
348	HUN	hungary	14.67169921	1099	6609895	16810
196	CYP	cyprus	16.96939797	860	4993330	13832
52	BRB	barbados	18.8786695	342	2542869	7487
64	BTN	bhutan	28.06377637	552	3132760	8245
398	KAZ	kazakhstan	25.76900848	760	5030223	15433
440	LTU	lithuania	15.18422849	505	2661259	8709
178	COG	republic of the congo	42.53654529	141	1469208	3847
583	FSM	micronesia	35.09063342	159	1195659	3795
20	AND	andorra		394	2196134	6844
516	NAM	namibia	36.01352833	704	4735890	11635
646	RWA	rwanda	42.91889405	967	3336595	8388
32	ARG	argentina	24.23395354	990	5511252	15099
288	GHA	ghana	38.45565949	947	8538852	21475
688	SRB	serbia	16.22071423	1151	9300724	29834
36	AUS	australia	19.07383481	2755	11101694	28276
192	CUB	cuba	16.21675097	1614	7528766	21710
894	ZMB	zambia	46.61289502	402	2458163	5416
320	GTM	guatemala	40.42867811	1322	4848474	13327
56	BEL	belgium	16.98550206	1488	10269267	29189
332	HTI	haiti	34.95642	1113	5020928	12590
854	BFA	burkina faso	45.53976569	259	1527119	4376
430	LBR	liberia	42.88588677	365	1718839	3951
417	KGZ	kyrgyzstan	30.35039985	533	3545032	10445
620	PRT	portugal	14.77093663	647	4092352	13893
208	DNK	denmark	17.56538774	2063	11934319	37996
608	PHL	philippines	34.14097449	2188	15381963	47504
686	SEN	senegal	43.50712644	623	2955926	7496
498	MDA	moldova	16.55489613	644	2743879	7589
180	COD	democratic republic of the congo	45.02814593	909	5917790	13487
428	LVA	latvia	14.83092614	794	5572986	17451
191	HRV	croatia	14.8808522	1843	9363305	26635
70	BIH	bosnia and herzegovina	15.7116157	1276	9077454	26947
