id	code	country	indicator	citations	fsize	links
626	TLS	east timor	540240	287	1825108	4556
882	WSM	samoa	71857	209	1577359	4175
392	JPN	japan	16619555	3366	16441329	44822
31	AZE	azerbaijan	2091656	2002	9390161	24439
408	PRK	north korea	5399684	2085	8090788	17766
262	DJI	djibouti	294151	155	1819059	5571
470	MLT	malta	62118	685	4545131	14276
624	GNB	guinea-bissau	706540	286	1784413	5321
348	HUN	hungary	1451603	1099	6609895	16810
196	CYP	cyprus	193649	860	4993330	13832
52	BRB	barbados	53737	342	2542869	7487
64	BTN	bhutan	211586	552	3132760	8245
398	KAZ	kazakhstan	4389821	760	5030223	15433
440	LTU	lithuania	449102	505	2661259	8709
178	COG	republic of the congo	1891869	141	1469208	3847
583	FSM	micronesia	36336	159	1195659	3795
20	AND	andorra		394	2196134	6844
516	NAM	namibia	829505	704	4735890	11635
646	RWA	rwanda	5054353	967	3336595	8388
32	ARG	argentina	10044064	990	5511252	15099
288	GHA	ghana	9961784	947	8538852	21475
688	SRB	serbia	1162073	1151	9300724	29834
36	AUS	australia	4411644	2755	11101694	28276
192	CUB	cuba	1826919	1614	7528766	21710
894	ZMB	zambia	6776881	402	2458163	5416
320	GTM	guatemala	6253590	1322	4848474	13327
56	BEL	belgium	1899458	1488	10269267	29189
332	HTI	haiti	3606615	1113	5020928	12590
854	BFA	burkina faso	7712086	259	1527119	4376
430	LBR	liberia	1841553	365	1718839	3951
417	KGZ	kyrgyzstan	1735921	533	3545032	10445
620	PRT	portugal	1544640	647	4092352	13893
208	DNK	denmark	986285	2063	11934319	37996
608	PHL	philippines	33592525	2188	15381963	47504
686	SEN	senegal	6148984	623	2955926	7496
498	MDA	moldova	589117	644	2743879	7589
180	COD	democratic republic of the congo	30400157	909	5917790	13487
428	LVA	latvia	298494	794	5572986	17451
191	HRV	croatia	633284	1843	9363305	26635
70	BIH	bosnia and herzegovina	601646	1276	9077454	26947
144	LKA	sri lanka	5154515	1869	11872045	31454
780	TTO	trinidad and tobago	278550	216	3222597	9394
100	BGR	bulgaria	994213	1797	9396414	26534
388	JAM	jamaica	737500	363	3393538	9123
8	ALB	albania	597702	1535	8302985	23141
24	AGO	angola	10199201	727	4117112	11212
384	CIV	ivory coast	8397252	262	2167518	5976
422	LBN	lebanon	930182	2103	10491745	28502
458	MYS	malaysia	7758045	1583	8991892	26779
508	MOZ	mozambique	11723217	510	3320356	8927
764	THA	thailand	12163650	1742	10201818	25955
300	GRC	greece	1615560	3233	12349644	35028
558	NIC	nicaragua	1996346	723	3757972	9785
562	NER	niger	8932301	711	3238542	8754
