id	code	country	indicator	citations	fsize	links
626	TLS	east timor	294807	287	1825108	4556
882	WSM	samoa	52056	209	1577359	4175
392	JPN	japan	39087182	3366	16441329	44822
31	AZE	azerbaijan	3455911	2002	9390161	24439
408	PRK	north korea	8570459	2085	8090788	17766
262	DJI	djibouti	270943	155	1819059	5571
470	MLT	malta	143688	685	4545131	14276
624	GNB	guinea-bissau	478019	286	1784413	5321
348	HUN	hungary	3409792	1099	6609895	16810
196	CYP	cyprus	388353	860	4993330	13832
52	BRB	barbados	98441	342	2542869	7487
64	BTN	bhutan	229184	552	3132760	8245
398	KAZ	kazakhstan	5963520	760	5030223	15433
440	LTU	lithuania	1060167	505	2661259	8709
178	COG	republic of the congo	1205369	141	1469208	3847
583	FSM	micronesia	30625	159	1195659	3795
20	AND	andorra		394	2196134	6844
516	NAM	namibia	723789	704	4735890	11635
646	RWA	rwanda	3351958	967	3336595	8388
32	ARG	argentina	13524697	990	5511252	15099
288	GHA	ghana	7686874	947	8538852	21475
688	SRB	serbia	2498591	1151	9300724	29834
36	AUS	australia	7695699	2755	11101694	28276
192	CUB	cuba	3912412	1614	7528766	21710
894	ZMB	zambia	3695551	402	2458163	5416
320	GTM	guatemala	4470641	1322	4848474	13327
56	BEL	belgium	3621576	1488	10269267	29189
332	HTI	haiti	3191281	1113	5020928	12590
854	BFA	burkina faso	4482772	259	1527119	4376
430	LBR	liberia	1160374	365	1718839	3951
417	KGZ	kyrgyzstan	1904532	533	3545032	10445
620	PRT	portugal	3498999	647	4092352	13893
208	DNK	denmark	1797286	2063	11934319	37996
608	PHL	philippines	30489377	2188	15381963	47504
686	SEN	senegal	3925388	623	2955926	7496
498	MDA	moldova	1329983	644	2743879	7589
180	COD	democratic republic of the congo	17774637	909	5917790	13487
428	LVA	latvia	693164	794	5572986	17451
191	HRV	croatia	1422326	1843	9363305	26635
70	BIH	bosnia and herzegovina	1324048	1276	9077454	26947
144	LKA	sri lanka	6969221	1869	11872045	31454
780	TTO	trinidad and tobago	472245	216	3222597	9394
100	BGR	bulgaria	2417474	1797	9396414	26534
388	JAM	jamaica	897832	363	3393538	9123
8	ALB	albania	995040	1535	8302985	23141
24	AGO	angola	5468893	727	4117112	11212
384	CIV	ivory coast	5500948	262	2167518	5976
422	LBN	lebanon	1543396	2103	10491745	28502
458	MYS	malaysia	10545660	1583	8991892	26779
508	MOZ	mozambique	6872078	510	3320356	8927
764	THA	thailand	24635302	1742	10201818	25955
300	GRC	greece	3582019	3233	12349644	35028
558	NIC	nicaragua	1943002	723	3757972	9785
562	NER	niger	4231085	711	3238542	8754
124	CAN	canada	11963786	3417	14180797	41982
4	AFG	afghanistan	7703671	3010	12811496	34286
634	QAT	qatar	363331	325	2200454	5911
585	PLW	palau		120	1516509	4406
226	GNQ	equatorial guinea	212969	167	1412177	3962
729	SDN	sudan	10564297	748	5011562	13750
324	GIN	guinea	3205847	225	1499153	3969
591	PAN	panama	1229861	453	3567520	10326
524	NPL	nepal	8904966	1983	12359198	31019
140	CAF	central african republic	1322682	557	2733055	6687
442	LUX	luxembourg	183329	445	4297239	12666
716	ZWE	zimbabwe	4059106	1994	7759641	18564
748	SWZ	swaziland	374006	174	1305466	3510
706	SOM	somalia	2654535	2758	11573292	30219
798	TUV	tuvalu		925	3622703	8914
862	VEN	venezuela	9906001	1002	5647358	14170
96	BRN	brunei	145406	491	3348866	9852
364	IRN	iran	27379818	5882	20529075	53463
784	ARE	united arab emirates	2093873	556	3552603	8937
466	MLI	mali	3804229	625	3401409	9256
682	SAU	saudi arabia	7793189	1666	10453381	29624
659	KNA	saint kitts and nevis		59	1396862	3739
756	CHE	switzerland	2714582	900	7055535	23274
600	PRY	paraguay	2095873	192	2667817	6873
156	CHN	china	478600425	3598	15920522	47263
51	ARM	armenia	1006964	3008	13593125	39051
296	KIR	kiribati	33027	112	990189	3050
84	BLZ	belize	103440	414	3294506	10922
788	TUN	tunisia	3831449	1217	5287228	14404
804	UKR	ukraine	16736598	3680	18180124	51204
434	LBY	libya	2048692	1912	8030270	20645
270	GMB	gambia	492835	363	2260222	6453
246	FIN	finland	1734795	656	5122395	13520
480	MUS	mauritius	450768	224	2507536	7547
28	ATG	antigua and barbuda	32118	55	1282394	3375
233	EST	estonia	446701	981	5722888	17295
760	SYR	syria	6805338	3049	14605831	40095
214	DOM	dominican republic	3316041	428	3088770	8806
104	MMR	burma	19242395	2410	9196976	20975
586	PAK	pakistan	55164535	4205	21477320	68229
642	ROU	romania	6984627	789	5283644	15969
690	SYC	seychelles	30006	66	1450952	4500
203	CZE	czech republic	3544935	348	3304578	9155
818	EGY	egypt	25665541	3001	11672118	30922
598	PNG	papua new guinea	2125661	387	3195466	8519
840	USA	united states	105533792	15304	52182114	151469
40	AUT	austria	2844188	1311	10892096	32445
496	MNG	mongolia	987946	1667	8899314	27064
170	COL	colombia	16331790	1023	7038812	20089
340	HND	honduras	2458114	722	3315102	6948
554	NZL	new zealand	1487589	1427	6201233	15155
242	FJI	fiji	283528	343	2428571	6108
174	COM	comoros	201554	109	1375712	3984
792	TUR	turkey	25560077	2857	14049568	44033
826	GBR	united kingdom	20814731	8628	35289924	107339
450	MDG	madagascar	6326821	635	4426741	10294
368	IRQ	iraq	9418771	2568	11919538	33762
50	BGD	bangladesh	50751540	3254	19238292	57315
478	MRT	mauritania	1094125	494	2817073	7565
