id	code	country	indicator	citations	fsize	links
626	TLS	east timor	306920	287	1825108	4556
882	WSM	samoa	56801	209	1577359	4175
392	JPN	japan	39663756	3366	16441329	44822
31	AZE	azerbaijan	3344340	2002	9390161	24439
408	PRK	north korea	8583069	2085	8090788	17766
262	DJI	djibouti	273559	155	1819059	5571
470	MLT	malta	148616	685	4545131	14276
624	GNB	guinea-bissau	471754	286	1784413	5321
348	HUN	hungary	3331095	1099	6609895	16810
196	CYP	cyprus	419676	860	4993330	13832
52	BRB	barbados	101682	342	2542869	7487
64	BTN	bhutan	277497	552	3132760	8245
398	KAZ	kazakhstan	5559264	760	5030223	15433
440	LTU	lithuania	986680	505	2661259	8709
178	COG	republic of the congo	1204065	141	1469208	3847
583	FSM	micronesia	32257	159	1195659	3795
20	AND	andorra		394	2196134	6844
516	NAM	namibia	668005	704	4735890	11635
646	RWA	rwanda	3106316	967	3336595	8388
32	ARG	argentina	13351294	990	5511252	15099
288	GHA	ghana	7361902	947	8538852	21475
688	SRB	serbia	2477392	1151	9300724	29834
36	AUS	australia	7725228	2755	11101694	28276
192	CUB	cuba	4024567	1614	7528766	21710
894	ZMB	zambia	3687477	402	2458163	5416
320	GTM	guatemala	4038637	1322	4848474	13327
56	BEL	belgium	3653740	1488	10269267	29189
332	HTI	haiti	3054016	1113	5020928	12590
854	BFA	burkina faso	4339906	259	1527119	4376
430	LBR	liberia	1163847	365	1718839	3951
417	KGZ	kyrgyzstan	1841124	533	3545032	10445
620	PRT	portugal	3449406	647	4092352	13893
208	DNK	denmark	1828648	2063	11934319	37996
608	PHL	philippines	30464611	2188	15381963	47504
686	SEN	senegal	3639898	623	2955926	7496
498	MDA	moldova	1235049	644	2743879	7589
180	COD	democratic republic of the congo	17481318	909	5917790	13487
428	LVA	latvia	646674	794	5572986	17451
191	HRV	croatia	1423841	1843	9363305	26635
70	BIH	bosnia and herzegovina	1304805	1276	9077454	26947
144	LKA	sri lanka	6624657	1869	11872045	31454
780	TTO	trinidad and tobago	469472	216	3222597	9394
100	BGR	bulgaria	2454901	1797	9396414	26534
388	JAM	jamaica	865659	363	3393538	9123
8	ALB	albania	992511	1535	8302985	23141
24	AGO	angola	5307061	727	4117112	11212
384	CIV	ivory coast	5781954	262	2167518	5976
422	LBN	lebanon	1614352	2103	10491745	28502
458	MYS	malaysia	9810280	1583	8991892	26779
508	MOZ	mozambique	6401177	510	3320356	8927
764	THA	thailand	23717977	1742	10201818	25955
300	GRC	greece	3662710	3233	12349644	35028
558	NIC	nicaragua	1857476	723	3757972	9785
562	NER	niger	4210542	711	3238542	8754
124	CAN	canada	12085977	3417	14180797	41982
4	AFG	afghanistan	7881523	3010	12811496	34286
634	QAT	qatar	1494496	325	2200454	5911
585	PLW	palau		120	1516509	4406
226	GNQ	equatorial guinea	229415	167	1412177	3962
729	SDN	sudan	10542900	748	5011562	13750
324	GIN	guinea	3212750	225	1499153	3969
591	PAN	panama	1261394	453	3567520	10326
524	NPL	nepal	7813983	1983	12359198	31019
140	CAF	central african republic	1281117	557	2733055	6687
442	LUX	luxembourg	188373	445	4297239	12666
716	ZWE	zimbabwe	3933661	1994	7759641	18564
748	SWZ	swaziland	360455	174	1305466	3510
706	SOM	somalia	2598919	2758	11573292	30219
798	TUV	tuvalu		925	3622703	8914
862	VEN	venezuela	9946572	1002	5647358	14170
96	BRN	brunei	148574	491	3348866	9852
364	IRN	iran	27523093	5882	20529075	53463
784	ARE	united arab emirates	5812074	556	3552603	8937
466	MLI	mali	3834515	625	3401409	9256
682	SAU	saudi arabia	11771081	1666	10453381	29624
659	KNA	saint kitts and nevis		59	1396862	3739
756	CHE	switzerland	2750075	900	7055535	23274
600	PRY	paraguay	2128951	192	2667817	6873
156	CHN	china	513575743	3598	15920522	47263
51	ARM	armenia	1058917	3008	13593125	39051
296	KIR	kiribati	32540	112	990189	3050
84	BLZ	belize	102873	414	3294506	10922
788	TUN	tunisia	3748837	1217	5287228	14404
804	UKR	ukraine	15348872	3680	18180124	51204
434	LBY	libya	2026549	1912	8030270	20645
270	GMB	gambia	464416	363	2260222	6453
246	FIN	finland	1775230	656	5122395	13520
480	MUS	mauritius	449356	224	2507536	7547
28	ATG	antigua and barbuda	29028	55	1282394	3375
233	EST	estonia	425092	981	5722888	17295
760	SYR	syria	7062686	3049	14605831	40095
214	DOM	dominican republic	3287203	428	3088770	8806
104	MMR	burma	17983062	2410	9196976	20975
586	PAK	pakistan	57493561	4205	21477320	68229
642	ROU	romania	6971638	789	5283644	15969
690	SYC	seychelles	32522	66	1450952	4500
203	CZE	czech republic	3656171	348	3304578	9155
818	EGY	egypt	26143635	3001	11672118	30922
598	PNG	papua new guinea	2202815	387	3195466	8519
840	USA	united states	104677864	15304	52182114	151469
40	AUT	austria	2850116	1311	10892096	32445
496	MNG	mongolia	970475	1667	8899314	27064
170	COL	colombia	15637552	1023	7038812	20089
340	HND	honduras	2427303	722	3315102	6948
554	NZL	new zealand	1436883	1427	6201233	15155
242	FJI	fiji	295759	343	2428571	6108
174	COM	comoros	203404	109	1375712	3984
792	TUR	turkey	24622843	2857	14049568	44033
826	GBR	united kingdom	20826397	8628	35289924	107339
450	MDG	madagascar	6241058	635	4426741	10294
368	IRQ	iraq	9536414	2568	11919538	33762
50	BGD	bangladesh	51364264	3254	19238292	57315
478	MRT	mauritania	1114830	494	2817073	7565
858	URY	uruguay	1077917	454	3979898	10642
250	FRA	france	20881586	1730	10752330	34546
44	BHS	bahamas	131500	400	2513540	6910
703	SVK	slovakia	1950560	567	4087803	11688
372	IRL	ireland	1520763	1615	6484724	16329
418	LAO	laos	2044684	410	2605137	6778
410	KOR	south korea	18592515	1484	6604974	14929
68	BOL	bolivia	3200582	402	3681253	10308
454	MWI	malawi	4224622	750	3050315	7024
218	ECU	ecuador	4984177	898	5252818	12692
376	ISR	israel	2468981	7951	25677910	65553
604	PER	peru	9882264	633	5381479	16059
12	DZA	algeria	13412549	721	6797727	19565
674	SMR	san marino		66	802513	1998
834	TZA	tanzania	12796114	556	4721413	11868
499	MNE	montenegro	212276	1239	6874308	19854
762	TJK	tajikistan	2496639	569	3856874	11733
768	TGO	togo	1850964	74	1478904	4415
400	JOR	jordan	2069559	914	5592938	15060
152	CHL	chile	6068190	1430	7410887	19636
512	OMN	oman	1825607	244	2740041	7050
566	NGA	nigeria	46716691	1168	7926035	20332
724	ESP	spain	15822827	3334	16565176	45770
268	GEO	georgia	1444212	1722	7851210	21567
578	NOR	norway	1700210	1151	7215017	20016
694	SLE	sierra leone	1684175	610	3195183	7907
504	MAR	morocco	10889590	1463	8889048	23442
752	SWE	sweden	3110320	2004	10834574	30870
266	GAB	gabon	477587	185	2259207	6708
328	GUY	guyana	244371	569	3495270	9188
308	GRD	grenada	35493	124	1579737	4471
887	YEM	yemen	6966633	925	5317491	14964
643	RUS	russia	48724013	3858	19559146	53313
728	SSD	south sudan	3068106	971	4079530	9758
48	BHR	bahrain	670900	984	5534198	14791
360	IDN	indonesia	82826699	1109	6315182	17660
148	TCD	chad	3154811	446	2572952	6902
484	MEX	mexico	37981897	1935	10624402	27978
356	IND	india	425416123	5042	24381167	70861
426	LSO	lesotho	609737	83	1161694	3443
112	BLR	belarus	3239639	996	4888728	12776
670	VCT	saint vincent and the grenadines	37748	47	1275427	3160
800	UGA	uganda	9270222	668	3381652	9634
108	BDI	burundi	2655137	210	1796598	4801
404	KEN	kenya	12170823	1096	8286607	20012
72	BWA	botswana	646890	139	1154682	2889
380	ITA	italy	19496984	1847	9978083	33234
116	KHM	cambodia	4634485	851	5165635	13715
231	ETH	ethiopia	25244705	1109	6232319	16459
548	VUT	vanuatu	74703	265	2451779	7239
584	MHL	marshall islands		97	1014048	3239
120	CMR	cameroon	5989550	956	4537626	11383
