id	code	country	indicator	citations	fsize	links
626	TLS	east timor	3.28331622353314E+00	287	1825108	4556
882	WSM	samoa	5.14046183262244E+00	209	1577359	4175
392	JPN	japan	2.50775318363113E+01	3366	16441329	44822
31	AZE	azerbaijan	5.60742004499959E+00	2002	9390161	24439
408	PRK	north korea	9.45898211241559E+00	2085	8090788	17766
262	DJI	djibouti	3.98175344700389E+00	155	1819059	5571
470	MLT	malta	1.63000811181248E+01	685	4545131	14276
624	GNB	guinea-bissau	2.87973337323347E+00	286	1784413	5321
348	HUN	hungary	1.72163853105709E+01	1099	6609895	16810
196	CYP	cyprus	1.22674527632264E+01	860	4993330	13832
52	BRB	barbados	1.08686640154017E+01	342	2542869	7487
64	BTN	bhutan	4.79529728216970E+00	552	3132760	8245
398	KAZ	kazakhstan	6.66189149218890E+00	760	5030223	15433
440	LTU	lithuania	1.56707159224285E+01	505	2661259	8709
178	COG	republic of the congo	3.39290660738119E+00	141	1469208	3847
583	FSM	micronesia	4.07922819148423E+00	159	1195659	3795
20	AND	andorra		394	2196134	6844
516	NAM	namibia	3.54827715705407E+00	704	4735890	11635
646	RWA	rwanda	2.37754406606637E+00	967	3336595	8388
32	ARG	argentina	1.09479637793975E+01	990	5511252	15099
288	GHA	ghana	3.48232387161538E+00	947	8538852	21475
688	SRB	serbia	1.43438740273125E+01	1151	9300724	29834
36	AUS	australia	1.43278372335708E+01	2755	11101694	28276
192	CUB	cuba	1.33020979121539E+01	1614	7528766	21710
894	ZMB	zambia	2.62303764313581E+00	402	2458163	5416
417	KGZ	kyrgyzstan	4.17252811512402E+00	533	3545032	10445
320	GTM	guatemala	4.55477601373605E+00	1322	4848474	13327
56	BEL	belgium	1.79829917233375E+01	1488	10269267	29189
332	HTI	haiti	4.51694462426366E+00	1113	5020928	12590
854	BFA	burkina faso	2.44594589886565E+00	259	1527119	4376
430	LBR	liberia	3.03625202808427E+00	365	1718839	3951
384	CIV	ivory coast	3.17099957147258E+00	262	2167518	5976
620	PRT	portugal	1.87704253217996E+01	647	4092352	13893
208	DNK	denmark	1.78988577522078E+01	2063	11934319	37996
608	PHL	philippines	3.89992135055487E+00	2188	15381963	47504
686	SEN	senegal	2.98682966728176E+00	623	2955926	7496
498	MDA	moldova	1.14048963008760E+01	644	2743879	7589
180	COD	democratic republic of the congo	2.86120692256178E+00	909	5917790	13487
428	LVA	latvia	1.85704942211375E+01	794	5572986	17451
191	HRV	croatia	1.82855547013158E+01	1843	9363305	26635
70	BIH	bosnia and herzegovina	1.55762126149718E+01	1276	9077454	26947
144	LKA	sri lanka	8.48457977322482E+00	1869	11872045	31454
780	TTO	trinidad and tobago	9.03343471391364E+00	216	3222597	9394
100	BGR	bulgaria	1.93123910849082E+01	1797	9396414	26534
388	JAM	jamaica	7.91066307265235E+00	363	3393538	9123
8	ALB	albania	1.07277317317052E+01	1535	8302985	23141
24	AGO	angola	2.40195219568455E+00	727	4117112	11212
422	LBN	lebanon	8.65496702489501E+00	2103	10491745	28502
458	MYS	malaysia	5.35581274871105E+00	1583	8991892	26779
508	MOZ	mozambique	3.28132746648648E+00	510	3320356	8927
764	THA	thailand	9.70616665429547E+00	1742	10201818	25955
300	GRC	greece	1.96684486596411E+01	3233	12349644	35028
558	NIC	nicaragua	4.63932276376956E+00	723	3757972	9785
562	NER	niger	2.61707662998766E+00	711	3238542	8754
124	CAN	canada	1.51835539290536E+01	3417	14180797	41982
4	AFG	afghanistan	2.34856852688334E+00	3010	12811496	34286
634	QAT	qatar	1.01679690760202E+00	325	2200454	5911
585	PLW	palau		120	1516509	4406
226	GNQ	equatorial guinea	2.77920883893825E+00	167	1412177	3962
729	SDN	sudan	3.24107333873033E+00	748	5011562	13750
324	GIN	guinea	3.11068642658709E+00	225	1499153	3969
591	PAN	panama	7.22261184161152E+00	453	3567520	10326
524	NPL	nepal	5.14143793800994E+00	1983	12359198	31019
140	CAF	central african republic	3.84428009861327E+00	557	2733055	6687
442	LUX	luxembourg	1.42226328292922E+01	445	4297239	12666
716	ZWE	zimbabwe	3.86706439623092E+00	1994	7759641	18564
748	SWZ	swaziland	3.48951672410233E+00	174	1305466	3510
706	SOM	somalia	2.82574107603170E+00	2758	11573292	30219
798	TUV	tuvalu		925	3622703	8914
862	VEN	venezuela	6.17334392757135E+00	1002	5647358	14170
662	LCA	saint lucia	8.76103427276667E+00	150	1856218	4866
96	BRN	brunei	4.28187771671486E+00	491	3348866	9852
364	IRN	iran	5.28594925511027E+00	5882	20529075	53463
