id	code	country	indicator	citations	fsize	links
626	TLS	east timor	6.44585448955554E+00	287	1825108	4556
882	WSM	samoa	9.00035868995392E+00	209	1577359	4175
392	JPN	japan	4.05319618794191E+01	3366	16441329	44822
31	AZE	azerbaijan	7.76860148548536E+00	2002	9390161	24439
408	PRK	north korea	1.37382162947101E+01	2085	8090788	17766
262	DJI	djibouti	6.38906810925273E+00	155	1819059	5571
470	MLT	malta	2.36136679372857E+01	685	4545131	14276
624	GNB	guinea-bissau	5.17352791426014E+00	286	1784413	5321
348	HUN	hungary	2.52766168604958E+01	1099	6609895	16810
196	CYP	cyprus	1.73359338720163E+01	860	4993330	13832
52	BRB	barbados	1.54708206230935E+01	342	2542869	7487
64	BTN	bhutan	7.14213750501277E+00	552	3132760	8245
398	KAZ	kazakhstan	9.85937982979488E+00	760	5030223	15433
440	LTU	lithuania	2.26635326654592E+01	505	2661259	8709
178	COG	republic of the congo	6.27496248220790E+00	141	1469208	3847
583	FSM	micronesia	6.70593278191430E+00	159	1195659	3795
20	AND	andorra		394	2196134	6844
516	NAM	namibia	5.87091852347778E+00	704	4735890	11635
646	RWA	rwanda	4.34623264775246E+00	967	3336595	8388
32	ARG	argentina	1.68902925337382E+01	990	5511252	15099
288	GHA	ghana	5.99759373413475E+00	947	8538852	21475
688	SRB	serbia	2.06578623343911E+01	1151	9300724	29834
36	AUS	australia	2.15138063664722E+01	2755	11101694	28276
192	CUB	cuba	1.88732699465816E+01	1614	7528766	21710
894	ZMB	zambia	5.16711481280499E+00	402	2458163	5416
417	KGZ	kyrgyzstan	6.37250412346827E+00	533	3545032	10445
320	GTM	guatemala	8.27892035213337E+00	1322	4848474	13327
56	BEL	belgium	2.76527380267792E+01	1488	10269267	29189
332	HTI	haiti	7.46273867011529E+00	1113	5020928	12590
854	BFA	burkina faso	4.70244998714883E+00	259	1527119	4376
430	LBR	liberia	5.61459340394334E+00	365	1718839	3951
384	CIV	ivory coast	5.71392662682553E+00	262	2167518	5976
620	PRT	portugal	2.82437736122718E+01	647	4092352	13893
208	DNK	denmark	2.77347991894336E+01	2063	11934319	37996
608	PHL	philippines	6.29434754346011E+00	2188	15381963	47504
686	SEN	senegal	5.58222856726498E+00	623	2955926	7496
498	MDA	moldova	1.58313042840570E+01	644	2743879	7589
180	COD	democratic republic of the congo	5.49063786193628E+00	909	5917790	13487
428	LVA	latvia	2.78841892756906E+01	794	5572986	17451
191	HRV	croatia	2.73598156553058E+01	1843	9363305	26635
70	BIH	bosnia and herzegovina	2.26687823046519E+01	1276	9077454	26947
144	LKA	sri lanka	1.27874967587863E+01	1869	11872045	31454
780	TTO	trinidad and tobago	1.28686737146675E+01	216	3222597	9394
100	BGR	bulgaria	2.88232302087540E+01	1797	9396414	26534
388	JAM	jamaica	1.21847056420498E+01	363	3393538	9123
8	ALB	albania	1.56282902311999E+01	1535	8302985	23141
24	AGO	angola	4.79458390456757E+00	727	4117112	11212
422	LBN	lebanon	1.22724648371701E+01	2103	10491745	28502
458	MYS	malaysia	7.81439987116626E+00	1583	8991892	26779
508	MOZ	mozambique	6.39146427482188E+00	510	3320356	8927
764	THA	thailand	1.34542565174420E+01	1742	10201818	25955
300	GRC	greece	2.99452674643151E+01	3233	12349644	35028
558	NIC	nicaragua	7.41951884238957E+00	723	3757972	9785
562	NER	niger	5.53416495193311E+00	711	3238542	8754
124	CAN	canada	2.22067266590562E+01	3417	14180797	41982
4	AFG	afghanistan	4.60253461504983E+00	3010	12811496	34286
634	QAT	qatar	1.19121190185507E+00	325	2200454	5911
585	PLW	palau		120	1516509	4406
226	GNQ	equatorial guinea	4.76365143086151E+00	167	1412177	3962
729	SDN	sudan	5.83187068647146E+00	748	5011562	13750
324	GIN	guinea	5.69973624234815E+00	225	1499153	3969
591	PAN	panama	1.12040722519626E+01	453	3567520	10326
524	NPL	nepal	8.54009552527698E+00	1983	12359198	31019
140	CAF	central african republic	6.82468697880274E+00	557	2733055	6687
442	LUX	luxembourg	2.08353553981041E+01	445	4297239	12666
716	ZWE	zimbabwe	6.82339804913586E+00	1994	7759641	18564
748	SWZ	swaziland	5.94537325277449E+00	174	1305466	3510
706	SOM	somalia	5.65406957347309E+00	2758	11573292	30219
798	TUV	tuvalu		925	3622703	8914
862	VEN	venezuela	9.45600769370083E+00	1002	5647358	14170
662	LCA	saint lucia	1.30223113807613E+01	150	1856218	4866
96	BRN	brunei	6.08235610122640E+00	491	3348866	9852
364	IRN	iran	7.45510539536524E+00	5882	20529075	53463
784	ARE	united arab emirates	4.95778155016231E-01	556	3552603	8937
466	MLI	mali	5.58738099238957E+00	625	3401409	9256
682	SAU	saudi arabia	4.24276987370484E+00	1666	10453381	29624
659	KNA	saint kitts and nevis		59	1396862	3739
756	CHE	switzerland	2.62235637154447E+01	900	7055535	23274
600	PRY	paraguay	8.79136253300552E+00	192	2667817	6873
156	CHN	china	1.21427158563779E+01	3598	15920522	47263
51	ARM	armenia	1.49119201935137E+01	3008	13593125	39051
296	KIR	kiribati	6.45441919384625E+00	112	990189	3050
84	BLZ	belize	6.39521921619185E+00	414	3294506	10922
788	TUN	tunisia	1.03115716333711E+01	1217	5287228	14404
804	UKR	ukraine	2.13669183210700E+01	3680	18180124	51204
434	LBY	libya	7.28878128654168E+00	1912	8030270	20645
270	GMB	gambia	4.63155075234188E+00	363	2260222	6453
246	FIN	finland	2.95119029739409E+01	656	5122395	13520
480	MUS	mauritius	1.22192524656016E+01	224	2507536	7547
28	ATG	antigua and barbuda	1.04892015706806E+01	55	1282394	3375
233	EST	estonia	2.72686183636948E+01	981	5722888	17295
760	SYR	syria	6.67708054120494E+00	3049	14605831	40095
214	DOM	dominican republic	9.93165014563136E+00	428	3088770	8806
104	MMR	burma	7.47788647680586E+00	2410	9196976	20975
586	PAK	pakistan	7.08823305676979E+00	4205	21477320	68229
642	ROU	romania	2.16511837215648E+01	789	5283644	15969
690	SYC	seychelles	1.10371957655036E+01	66	1450952	4500
203	CZE	czech republic	2.44127378492670E+01	348	3304578	9155
818	EGY	egypt	9.14546992066824E+00	3001	11672118	30922
598	PNG	papua new guinea	4.93374512039500E+00	387	3195466	8519
840	USA	united states	2.09973985644564E+01	15304	52182114	151469
40	AUT	austria	2.73392857268291E+01	1311	10892096	32445
496	MNG	mongolia	5.52281176936541E+00	1667	8899314	27064
170	COL	colombia	9.31722685263572E+00	1023	7038812	20089
340	HND	honduras	7.36841717355828E+00	722	3315102	6948
554	NZL	new zealand	2.11947459493472E+01	1427	6201233	15155
242	FJI	fiji	8.27657211165564E+00	343	2428571	6108
174	COM	comoros	5.17425425504576E+00	109	1375712	3984
792	TUR	turkey	1.10161043912913E+01	2857	14049568	44033
826	GBR	united kingdom	2.69429250267214E+01	8628	35289924	107339
450	MDG	madagascar	5.14098723265630E+00	635	4426741	10294
368	IRQ	iraq	5.63183392017990E+00	2568	11919538	33762
50	BGD	bangladesh	7.32810810548304E+00	3254	19238292	57315
478	MRT	mauritania	5.59075965625167E+00	494	2817073	7565
858	URY	uruguay	2.20494976937043E+01	454	3979898	10642
