id	code	country	indicator	citations	fsize	links
626	TLS	east timor	8.98776210978832E+01	287	1825108	4556
882	WSM	samoa	6.60881641512384E+01	209	1577359	4175
392	JPN	japan	2.10946384763841E+01	3366	16441329	44822
31	AZE	azerbaijan	3.07727481037883E+01	2002	9390161	24439
408	PRK	north korea	3.15016851179139E+01	2085	8090788	17766
262	DJI	djibouti	5.40695889695840E+01	155	1819059	5571
470	MLT	malta	2.12553807408827E+01	685	4545131	14276
624	GNB	guinea-bissau	7.44794900472994E+01	286	1784413	5321
348	HUN	hungary	2.15405753203330E+01	1099	6609895	16810
196	CYP	cyprus	2.39805578774651E+01	860	4993330	13832
52	BRB	barbados	2.68725308796319E+01	342	2542869	7487
64	BTN	bhutan	4.17983157087911E+01	552	3132760	8245
398	KAZ	kazakhstan	3.81372636066534E+01	760	5030223	15433
440	LTU	lithuania	2.19599471125072E+01	505	2661259	8709
178	COG	republic of the congo	7.86686038557770E+01	141	1469208	3847
583	FSM	micronesia	5.76862626807855E+01	159	1195659	3795
20	AND	andorra		394	2196134	6844
516	NAM	namibia	5.95873662614702E+01	704	4735890	11635
646	RWA	rwanda	7.84572202843852E+01	967	3336595	8388
32	ARG	argentina	3.73876432913989E+01	990	5511252	15099
288	GHA	ghana	6.62320424298498E+01	947	8538852	21475
688	SRB	serbia	2.33608573418743E+01	1151	9300724	29834
36	AUS	australia	2.86401076830302E+01	2755	11101694	28276
192	CUB	cuba	2.30086352327319E+01	1614	7528766	21710
894	ZMB	zambia	9.18226167805154E+01	402	2458163	5416
417	KGZ	kyrgyzstan	4.63526965226152E+01	533	3545032	10445
320	GTM	guatemala	7.34845807984446E+01	1322	4848474	13327
56	BEL	belgium	2.61188880519293E+01	1488	10269267	29189
332	HTI	haiti	5.77537802579165E+01	1113	5020928	12590
854	BFA	burkina faso	8.75524150664764E+01	259	1527119	4376
430	LBR	liberia	7.93039625001884E+01	365	1718839	3951
384	CIV	ivory coast	7.44793057605269E+01	262	2167518	5976
620	PRT	portugal	2.22257523120170E+01	647	4092352	13893
208	DNK	denmark	2.72180810505682E+01	2063	11934319	37996
608	PHL	philippines	5.51024340240599E+01	2188	15381963	47504
686	SEN	senegal	8.13125457954534E+01	623	2955926	7496
498	MDA	moldova	2.29800850211305E+01	644	2743879	7589
180	COD	democratic republic of the congo	8.64087252578847E+01	909	5917790	13487
428	LVA	latvia	2.22691238546278E+01	794	5572986	17451
191	HRV	croatia	2.22655144420103E+01	1843	9363305	26635
70	BIH	bosnia and herzegovina	2.28658406810581E+01	1276	9077454	26947
144	LKA	sri lanka	3.79270933678513E+01	1869	11872045	31454
780	TTO	trinidad and tobago	2.95873701071434E+01	216	3222597	9394
100	BGR	bulgaria	2.04241352519416E+01	1797	9396414	26534
388	JAM	jamaica	4.18444464618038E+01	363	3393538	9123
8	ALB	albania	3.00527643724338E+01	1535	8302985	23141
24	AGO	angola	9.48173781145649E+01	727	4117112	11212
422	LBN	lebanon	2.95243666437395E+01	2103	10491745	28502
458	MYS	malaysia	3.80906240310772E+01	1583	8991892	26779
508	MOZ	mozambique	8.83914197896454E+01	510	3320356	8927
764	THA	thailand	2.51612958076132E+01	1742	10201818	25955
300	GRC	greece	2.23049959264348E+01	3233	12349644	35028
558	NIC	nicaragua	5.25072467694308E+01	723	3757972	9785
562	NER	niger	1.05929453977682E+02	711	3238542	8754
124	CAN	canada	2.40484058446504E+01	3417	14180797	41982
4	AFG	afghanistan	9.13693760346092E+01	3010	12811496	34286
634	QAT	qatar	1.59621638557862E+01	325	2200454	5911
585	PLW	palau		120	1516509	4406
226	GNQ	equatorial guinea	6.66394962606729E+01	167	1412177	3962
729	SDN	sudan	7.41045292950251E+01	748	5011562	13750
324	GIN	guinea	7.75310836060431E+01	225	1499153	3969
591	PAN	panama	4.39208672804752E+01	453	3567520	10326
524	NPL	nepal	5.75631547374800E+01	1983	12359198	31019
140	CAF	central african republic	7.07036617298298E+01	557	2733055	6687
442	LUX	luxembourg	2.56589235066378E+01	445	4297239	12666
716	ZWE	zimbabwe	6.96256431353443E+01	1994	7759641	18564
748	SWZ	swaziland	6.44327542314526E+01	174	1305466	3510
706	SOM	somalia	9.44374965445849E+01	2758	11573292	30219
798	TUV	tuvalu		925	3622703	8914
862	VEN	venezuela	4.37188000708312E+01	1002	5647358	14170
662	LCA	saint lucia	3.56166617738200E+01	150	1856218	4866
96	BRN	brunei	3.59664482698827E+01	491	3348866	9852
364	IRN	iran	3.35811595320346E+01	5882	20529075	53463
784	ARE	united arab emirates	1.81442923121001E+01	556	3552603	8937
466	MLI	mali	9.51332464162442E+01	625	3401409	9256
682	SAU	saudi arabia	4.26424510036047E+01	1666	10453381	29624
659	KNA	saint kitts and nevis		59	1396862	3739
756	CHE	switzerland	2.18812495273226E+01	900	7055535	23274
600	PRY	paraguay	5.22366104253160E+01	192	2667817	6873
156	CHN	china	2.46680956991919E+01	3598	15920522	47263
51	ARM	armenia	2.91761000717883E+01	3008	13593125	39051
296	KIR	kiribati	4.97565665969689E+01	112	990189	3050
84	BLZ	belize	5.44667177185619E+01	414	3294506	10922
788	TUN	tunisia	3.33318643300718E+01	1217	5287228	14404
804	UKR	ukraine	2.05245019384772E+01	3680	18180124	51204
434	LBY	libya	4.47692484609739E+01	1912	8030270	20645
270	GMB	gambia	8.88591042208781E+01	363	2260222	6453
246	FIN	finland	2.54925385724867E+01	656	5122395	13520
480	MUS	mauritius	2.76021844374385E+01	224	2507536	7547
28	ATG	antigua and barbuda	3.67375654450262E+01	55	1282394	3375
233	EST	estonia	2.39262607259212E+01	981	5722888	17295
760	SYR	syria	5.76712832733579E+01	3049	14605831	40095
214	DOM	dominican republic	4.75645955323568E+01	428	3088770	8806
104	MMR	burma	3.56550755585856E+01	2410	9196976	20975
586	PAK	pakistan	5.47379250521539E+01	4205	21477320	68229
642	ROU	romania	2.16001028356810E+01	789	5283644	15969
690	SYC	seychelles	3.15620302555410E+01	66	1450952	4500
203	CZE	czech republic	2.17203396025961E+01	348	3304578	9155
818	EGY	egypt	4.93657898207867E+01	3001	11672118	30922
598	PNG	papua new guinea	6.43483335641678E+01	387	3195466	8519
840	USA	united states	2.93979423969217E+01	15304	52182114	151469
40	AUT	austria	2.15728079436426E+01	1311	10892096	32445
496	MNG	mongolia	3.95665827701192E+01	1667	8899314	27064
170	COL	colombia	4.18571026154776E+01	1023	7038812	20089
340	HND	honduras	5.84146328730278E+01	722	3315102	6948
554	NZL	new zealand	3.07124292973853E+01	1427	6201233	15155
242	FJI	fiji	4.39232527246250E+01	343	2428571	6108
174	COM	comoros	7.64230434696661E+01	109	1375712	3984
792	TUR	turkey	3.83096308755279E+01	2857	14049568	44033
826	GBR	united kingdom	2.70989786876124E+01	8628	35289924	107339
450	MDG	madagascar	7.73667304857380E+01	635	4426741	10294
368	IRQ	iraq	7.05907578243968E+01	2568	11919538	33762
50	BGD	bangladesh	4.59953483730663E+01	3254	19238292	57315
478	MRT	mauritania	7.07012650815908E+01	494	2817073	7565
858	URY	uruguay	3.41204792547981E+01	454	3979898	10642
250	FRA	france	2.85105815147643E+01	1730	10752330	34546
44	BHS	bahamas	3.00484610444886E+01	400	2513540	6910
703	SVK	slovakia	2.09144801675290E+01	567	4087803	11688
372	IRL	ireland	3.25785153450111E+01	1615	6484724	16329
418	LAO	laos	5.76445268858636E+01	410	2605137	6778
410	KOR	south korea	2.04117819815170E+01	1484	6604974	14929
68	BOL	bolivia	5.78717811656224E+01	402	3681253	10308
